EC_number,Status,Protein_names,Total_Pfam_domains,Found_Pfam_domains,Total_hits,Unique_proteins_with_hits
4.2.1.153,NOT_FOUND,Mesaconyl-C(4)-CoA hydratase; Unknown,2,0,0,0
6.4.1.2,FULLY_FOUND,acetyl-CoA carboxylase; Unknown,7,7,381,28
4.2.1.116,FULLY_FOUND,Unknown,1,1,25,1
6.2.1.36,NOT_FOUND,Unknown,1,0,0,0
4.2.1.2,PARTIALLY_FOUND,"Fumarase D; Fumarate hydratase class II 2; Fumarate hydratase class I, aerobic; Fumarate hydratase class II 1; Fumarate hydratase class I, anaerobic; Fumarate hydratase class II",5,2,88,3
1.3.1.84,FULLY_FOUND,Acrylyl-CoA reductase AcuI; Probable acrylyl-CoA reductase AcuI; Unknown,2,2,736,16
1.1.1.298,FULLY_FOUND,Probable malonic semialdehyde reductase RutE; NADP-dependent 3-hydroxy acid dehydrogenase YdfG,2,2,445,59
5.1.99.1,FULLY_FOUND,methylmalonyl-CoA epimerase; Ethylmalonyl-CoA/methylmalonyl-CoA epimerase,1,1,175,7
4.1.3.25,NOT_FOUND,Unknown; Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA lyase; L-malyl-CoA/beta-methylmalyl-CoA lyase,1,0,0,0
5.4.1.3,PARTIALLY_FOUND,Unknown; 2-methylfumaryl-CoA isomerase,2,1,4,4
1.2.1.75,FULLY_FOUND,Unknown,2,2,256,53
6.4.1.3,PARTIALLY_FOUND,Propionyl-CoA carboxylase beta chain; Putative propionyl-CoA carboxylase beta chain; Biotin carboxylase; Propionyl-CoA carboxylase alpha chain,7,5,315,16
1.3.5.1,FULLY_FOUND,Succinate dehydrogenase iron-sulfur subunit; Fumarate reductase iron-sulfur subunit; Fumarate reductase flavoprotein subunit; Succinate dehydrogenase flavoprotein subunit,6,6,316,30
5.4.99.2,PARTIALLY_FOUND,Methylmalonyl-CoA mutase; Probable methylmalonyl-CoA mutase large subunit; Methylmalonyl-CoA mutase small subunit; Methylmalonyl-CoA mutase large subunit; Probable methylmalonyl-CoA mutase small subunit,2,1,65,5
4.1.3.24,NOT_FOUND,Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA lyase; L-malyl-CoA/beta-methylmalyl-CoA lyase,1,0,0,0
4.2.1.148,NOT_FOUND,Beta-methylmalyl-CoA dehydratase; Unknown; Mesaconyl-CoA hydratase,4,0,0,0
