# target_name	query_name	e_value	score	bias
WP_011130701.1	adh_short	4.09e-67	222.6	8.3
WP_011130597.1	adh_short	8.73e-46	153.0	0.0
WP_011131268.1	adh_short	2.45e-38	128.7	0.6
WP_011129927.1	adh_short	1.05e-35	120.1	0.0
WP_011129859.1	adh_short	1.21e-34	116.6	0.2
WP_011130616.1	adh_short	1.96e-26	89.8	0.0
WP_041384369.1	adh_short	1.53e-20	70.6	0.0
WP_011130588.1	adh_short	2.61e-20	69.9	0.0
WP_236066156.1	adh_short	9.15e-16	55.0	0.0
WP_011131247.1	adh_short	1.03e-15	54.9	0.0
WP_011131273.1	adh_short	1.19e-09	35.1	0.0
WP_011129494.1	adh_short	2.14e-08	31.0	0.2
WP_011130996.1	adh_short	2.76e-06	24.1	0.0
WP_011131361.1	Thiolase_N	5.17e-06	23.1	0.0
WP_041384566.1	Lyase_1	2.61e-104	346.1	0.0
WP_011129392.1	Lyase_1	1.92e-77	257.8	0.0
WP_011130852.1	Lyase_1	1.17e-57	192.8	0.0
WP_011130955.1	Biotin_carb_N	1.44e-47	157.8	0.1
WP_011129514.1	NUDIX	1.09e-15	55.0	0.2
WP_041375232.1	NUDIX	5.17e-15	52.8	0.0
WP_011130398.1	NUDIX	3.66e-11	40.3	0.1
WP_011129411.1	Biotin_lipoyl	2.66e-23	78.8	0.4
WP_011129599.1	Biotin_lipoyl	9.46e-17	57.8	0.2
WP_011130984.1	Biotin_lipoyl	6.13e-09	32.8	0.4
WP_011131508.1	Biotin_lipoyl	3.13e-07	27.3	0.0
WP_419177147.1	Biotin_lipoyl	8.14e-07	26.0	1.0
WP_011129784.1	ECH_1	6.96e-68	225.8	0.0
WP_011129556.1	FAD_binding_2	1.18e-87	291.9	7.6
WP_011129511.1	FAD_binding_2	2.43e-52	175.6	0.5
WP_011130281.1	FAD_binding_2	3.48e-13	46.6	0.5
WP_041384764.1	FAD_binding_2	3.44e-10	36.8	1.3
WP_011130918.1	FAD_binding_2	1.88e-09	34.3	5.5
WP_011129396.1	FAD_binding_2	1.93e-09	34.3	7.6
WP_157859864.1	FAD_binding_2	2.10e-09	34.2	0.4
WP_011129792.1	FAD_binding_2	1.09e-08	31.8	3.1
WP_011129714.1	FAD_binding_2	1.66e-08	31.2	7.2
WP_011130615.1	FAD_binding_2	3.03e-08	30.4	6.4
WP_011131090.1	FAD_binding_2	4.44e-07	26.5	0.7
WP_011130423.1	FAD_binding_2	1.14e-06	25.2	5.0
WP_011130924.1	FAD_binding_2	1.95e-06	24.4	0.1
WP_011131541.1	FAD_binding_2	3.89e-06	23.4	0.7
WP_011129913.1	Carboxyl_trans	1.44e-23	80.4	0.1
WP_011130598.1	Carboxyl_trans	1.16e-11	41.1	0.1
WP_157859858.1	MaoC_dehydratas	2.42e-06	24.3	0.0
WP_011130107.1	B12-binding	3.66e-18	62.7	0.0
WP_011129551.1	B12-binding	1.27e-12	44.8	0.0
WP_011130955.1	Biotin_carb_C	5.29e-42	139.5	0.0
WP_011130200.1	CPSase_L_D2	3.51e-107	353.8	0.1
WP_011130955.1	CPSase_L_D2	2.31e-81	269.5	0.0
WP_011131631.1	CPSase_L_D2	6.03e-11	39.4	0.0
WP_011129701.1	CPSase_L_D2	4.37e-06	23.5	0.0
WP_011130784.1	CPSase_L_D2	7.52e-06	22.7	0.0
WP_011129511.1	Succ_DH_flav_C	1.93e-31	105.8	0.0
WP_011129556.1	Succ_DH_flav_C	1.90e-08	31.5	0.4
WP_011130598.1	ACCA	4.82e-136	450.1	0.0
WP_041384566.1	FumaraseC_C	3.14e-23	79.1	0.0
WP_011129512.1	Fer2_3	7.03e-21	71.4	0.3
WP_011130555.1	Fer2_3	2.55e-06	24.6	0.3
WP_011131302.1	Fer4_8	1.46e-13	48.3	3.3
WP_011129512.1	Fer4_8	5.42e-09	33.6	5.0
WP_011131384.1	Fer4_8	4.33e-07	27.5	8.9
WP_011131319.1	Fer4_8	2.45e-06	25.1	13.8
WP_011131384.1	Fer4_10	6.51e-11	39.2	16.8
WP_011131319.1	Fer4_10	3.78e-10	36.7	12.0
WP_011130075.1	Fer4_10	4.85e-10	36.4	18.5
WP_011131302.1	Fer4_17	5.22e-10	36.9	2.2
WP_011131319.1	Fer4_17	3.08e-08	31.2	10.6
WP_011129512.1	Fer4_17	1.69e-06	25.7	5.6
WP_011131247.1	adh_short_C2	2.42e-81	269.9	0.1
WP_011130701.1	adh_short_C2	1.69e-64	214.8	9.4
WP_011131268.1	adh_short_C2	1.37e-37	126.7	3.0
WP_011130597.1	adh_short_C2	5.53e-33	111.6	0.0
WP_011129927.1	adh_short_C2	6.27e-30	101.6	0.0
WP_011130616.1	adh_short_C2	3.31e-22	76.3	0.0
WP_011129859.1	adh_short_C2	1.76e-17	60.9	0.0
WP_041384369.1	adh_short_C2	1.28e-12	45.0	0.0
WP_236066156.1	adh_short_C2	8.50e-09	32.4	0.0
WP_011131448.1	Glyoxalase_4	8.92e-12	42.4	0.0
