# target_name	query_name	e_value	score	bias
WP_158466135.1	adh_short	2.76e-67	222.9	5.0
WP_158466216.1	adh_short	2.04e-45	151.5	0.0
WP_158466311.1	adh_short	1.51e-42	142.1	0.0
WP_158465778.1	adh_short	4.52e-26	88.4	0.1
WP_158466313.1	adh_short	5.64e-23	78.3	0.0
WP_158466221.1	adh_short	1.04e-19	67.6	0.0
WP_158466009.1	adh_short	1.15e-17	60.9	0.0
WP_158466644.1	adh_short	9.64e-07	25.3	0.0
WP_158466159.1	adh_short	2.23e-06	24.1	0.0
WP_158466451.1	adh_short	2.45e-06	24.0	0.0
WP_158465816.1	adh_short	9.62e-06	22.0	0.1
WP_158467411.1	Thiolase_N	2.86e-06	23.7	3.1
WP_158467165.1	Lyase_1	5.53e-98	325.0	0.0
WP_158465697.1	Lyase_1	1.17e-76	255.0	0.0
WP_158467164.1	Lyase_1	4.44e-55	184.1	0.0
WP_158465793.1	Biotin_carb_N	5.13e-47	155.8	0.0
WP_158467379.1	NUDIX	2.32e-14	50.4	0.0
WP_158466738.1	NUDIX	1.05e-13	48.3	0.0
WP_158465710.1	Biotin_lipoyl	3.53e-23	78.1	0.2
WP_158466082.1	Biotin_lipoyl	1.12e-18	63.7	0.1
WP_187152541.1	ECH_1	5.32e-69	229.2	0.0
WP_158466728.1	Nitroreductase	2.51e-12	44.1	0.0
WP_158465833.1	FAD_binding_2	6.22e-89	295.9	2.5
WP_158466326.1	FAD_binding_2	2.41e-11	40.3	0.0
WP_158465724.1	FAD_binding_2	1.89e-09	34.0	0.6
WP_158466200.1	FAD_binding_2	2.30e-09	33.8	0.2
WP_158465930.1	FAD_binding_2	2.72e-09	33.5	1.4
WP_158467038.1	FAD_binding_2	2.72e-09	33.5	5.6
WP_158466369.1	FAD_binding_2	3.99e-08	29.7	1.1
WP_158466808.1	FAD_binding_2	2.82e-07	26.9	0.8
WP_158466717.1	FAD_binding_2	1.67e-06	24.3	1.3
WP_158466931.1	FAD_binding_2	1.72e-06	24.3	0.1
WP_158465850.1	FAD_binding_2	2.96e-06	23.5	0.0
WP_158466245.1	FAD_binding_2	5.31e-06	22.7	7.0
WP_158466807.1	FAD_binding_2	7.07e-06	22.3	0.1
WP_158467314.1	FAD_binding_2	7.73e-06	22.1	4.1
WP_158466426.1	Carboxyl_trans	5.14e-19	65.1	0.0
WP_158466215.1	Carboxyl_trans	4.69e-14	48.7	0.6
WP_158467271.1	MaoC_dehydratas	3.95e-06	23.3	0.0
WP_158466585.1	B12-binding	3.92e-21	72.0	0.0
WP_158465793.1	Biotin_carb_C	7.60e-45	148.3	0.0
WP_158466485.1	CPSase_L_D2	1.43e-107	354.8	0.0
WP_158465793.1	CPSase_L_D2	4.30e-82	271.6	0.0
WP_158466733.1	CPSase_L_D2	4.39e-10	36.3	0.0
WP_158467044.1	CPSase_L_D2	5.09e-08	29.5	0.2
WP_158466354.1	CPSase_L_D2	5.33e-07	26.2	0.0
WP_158465833.1	Succ_DH_flav_C	3.78e-11	39.9	0.1
WP_158466215.1	ACCA	2.75e-139	460.4	0.0
WP_158467165.1	FumaraseC_C	1.96e-19	66.7	0.1
WP_158466941.1	Fer2_3	1.56e-07	28.2	0.1
WP_110859763.1	Fer4_8	8.12e-08	29.6	9.2
WP_110859763.1	Fer4_10	1.49e-11	40.9	17.0
WP_011295528.1	Fer4_10	1.75e-09	34.3	14.2
WP_158465944.1	Fer4_10	1.79e-06	24.7	5.3
WP_011295528.1	Fer4_17	2.12e-07	28.3	13.0
WP_158466009.1	adh_short_C2	7.17e-82	271.3	0.0
WP_158466135.1	adh_short_C2	2.28e-67	223.9	2.6
WP_158466216.1	adh_short_C2	7.10e-34	114.2	0.0
WP_158466311.1	adh_short_C2	2.07e-32	109.4	0.0
WP_158465778.1	adh_short_C2	7.86e-19	65.0	0.0
WP_158466313.1	adh_short_C2	1.90e-08	31.0	0.0
WP_158466221.1	adh_short_C2	2.41e-07	27.4	0.0
