# target_name	query_name	e_value	score	bias
WP_201261451.1	adh_short	6.14e-72	239.1	6.1
WP_002741189.1	adh_short	1.26e-55	185.9	7.0
WP_004156855.1	adh_short	1.26e-53	179.4	0.1
WP_002744278.1	adh_short	8.87e-53	176.6	0.0
WP_002743823.1	adh_short	7.16e-51	170.4	0.2
WP_002740842.1	adh_short	2.08e-49	165.6	0.0
WP_002744478.1	adh_short	5.36e-49	164.3	3.0
WP_002741447.1	adh_short	2.93e-46	155.3	0.1
WP_002741181.1	adh_short	2.01e-45	152.6	0.0
WP_002740281.1	adh_short	1.68e-26	90.9	0.1
WP_002742836.1	adh_short	5.15e-24	82.8	0.0
WP_002741853.1	adh_short	1.21e-18	65.2	1.7
WP_002741311.1	adh_short	3.30e-17	60.5	0.0
WP_002746477.1	adh_short	3.40e-17	60.5	0.0
WP_002740871.1	adh_short	8.67e-17	59.2	0.1
WP_002740860.1	adh_short	2.14e-16	57.9	0.1
WP_002741171.1	adh_short	4.87e-13	46.9	0.0
WP_002746938.1	adh_short	7.31e-11	39.8	0.0
WP_002742841.1	adh_short	1.97e-08	31.9	0.1
WP_002748641.1	adh_short	8.38e-06	23.3	0.0
WP_002745377.1	ADH_zinc_N	7.87e-28	95.0	0.2
WP_002738510.1	ADH_zinc_N	2.10e-26	90.3	0.0
WP_036402188.1	ADH_zinc_N	1.88e-23	80.8	0.4
WP_002746939.1	ADH_zinc_N	8.79e-13	46.3	0.0
WP_002750051.1	ADH_zinc_N	4.50e-06	24.6	0.2
WP_002744476.1	Thiolase_N	2.03e-80	267.8	0.0
WP_002742836.1	Thiolase_N	4.64e-11	40.5	3.0
WP_002743346.1	Thiolase_N	1.97e-09	35.2	0.5
WP_002741310.1	Thiolase_N	8.45e-08	29.8	0.1
WP_002741311.1	Thiolase_N	5.44e-06	23.9	0.0
WP_002743539.1	Lyase_1	1.67e-100	334.4	0.0
WP_002747956.1	Lyase_1	3.13e-77	258.0	0.0
WP_036402472.1	Lyase_1	5.24e-62	207.9	0.0
WP_036402659.1	NUDIX	5.19e-22	76.2	0.0
WP_002743786.1	NUDIX	1.03e-20	72.0	0.0
WP_002743961.1	NUDIX	9.08e-20	69.0	0.1
WP_002746036.1	NUDIX	3.07e-17	60.8	0.0
WP_002746127.1	NUDIX	1.38e-16	58.7	0.0
WP_002748077.1	NUDIX	2.85e-12	44.7	0.0
WP_002743665.1	NUDIX	5.31e-12	43.8	0.0
WP_002745715.1	Biotin_lipoyl	6.15e-18	62.4	0.5
WP_002741302.1	Biotin_lipoyl	3.04e-07	28.1	0.0
WP_002745384.1	Biotin_lipoyl	8.54e-07	26.7	1.7
WP_002743208.1	Biotin_lipoyl	8.60e-07	26.7	0.5
WP_002743223.1	Biotin_lipoyl	3.89e-06	24.6	8.8
WP_002743375.1	ECH_1	2.41e-74	247.8	0.0
WP_002740610.1	Nitroreductase	4.24e-35	119.3	0.0
WP_002741314.1	Nitroreductase	6.31e-28	96.0	0.1
WP_002744250.1	Nitroreductase	8.67e-20	69.5	1.0
WP_002749227.1	Nitroreductase	4.86e-19	67.1	0.0
WP_002748138.1	Nitroreductase	2.32e-13	48.6	0.0
WP_002746915.1	FAD_binding_2	5.72e-115	382.7	1.1
