# target_name	query_name	e_value	score	bias
WP_002775997.1	adh_short	2.03e-71	237.5	6.2
WP_002733257.1	adh_short	7.43e-56	186.7	7.3
WP_002736620.1	adh_short	1.01e-53	179.7	0.1
WP_002734757.1	adh_short	2.15e-53	178.6	0.0
WP_002740268.1	adh_short	1.99e-50	169.0	0.3
WP_002733374.1	adh_short	2.15e-49	165.6	0.0
WP_002735163.1	adh_short	3.23e-49	165.0	3.7
WP_002732779.1	adh_short	1.13e-45	153.4	0.0
WP_002732949.1	adh_short	2.06e-45	152.6	0.0
WP_002735437.1	adh_short	6.39e-44	147.7	0.0
WP_002736732.1	adh_short	4.37e-33	112.4	0.0
WP_002740281.1	adh_short	1.70e-26	90.9	0.1
WP_002734294.1	adh_short	2.46e-17	61.0	0.0
WP_002738419.1	adh_short	4.27e-17	60.2	2.2
WP_002731967.1	adh_short	2.57e-16	57.7	0.0
WP_002734371.1	adh_short	3.67e-16	57.2	0.1
WP_002733312.1	adh_short	3.44e-14	50.7	0.2
WP_002736701.1	adh_short	2.58e-10	38.1	0.0
WP_002735864.1	ADH_zinc_N	5.31e-28	95.5	0.2
WP_002738510.1	ADH_zinc_N	2.14e-26	90.3	0.0
WP_002731833.1	ADH_zinc_N	1.36e-23	81.3	0.7
WP_002735742.1	ADH_zinc_N	8.46e-13	46.4	0.0
WP_002739521.1	ADH_zinc_N	3.57e-06	24.9	0.1
WP_002738085.1	Thiolase_N	1.65e-81	271.4	0.0
WP_002733590.1	Thiolase_N	4.34e-09	34.1	0.4
WP_238560377.1	Thiolase_N	8.63e-08	29.8	0.1
WP_002733538.1	Thiolase_N	2.55e-07	28.3	0.1
WP_002731967.1	Thiolase_N	5.47e-06	23.9	0.0
WP_042791080.1	Lyase_1	7.52e-101	335.6	0.0
WP_002735516.1	Lyase_1	2.14e-77	258.5	0.0
WP_002735353.1	Lyase_1	8.34e-61	204.0	0.0
WP_002735082.1	Lyase_1	8.48e-39	131.7	0.0
WP_002734953.1	Biotin_carb_N	1.68e-46	155.2	0.6
WP_002736967.1	NUDIX	2.44e-23	80.6	0.0
WP_002739574.1	NUDIX	9.89e-21	72.1	0.0
WP_002739488.1	NUDIX	9.23e-20	69.0	0.1
WP_002736307.1	NUDIX	7.00e-17	59.7	0.0
WP_002737562.1	NUDIX	8.27e-17	59.4	0.0
WP_042790584.1	NUDIX	4.62e-14	50.5	0.0
