strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
IITB8,GCF_036630105.1,WP_338430134.1,3-oxoacyl-[acyl-carrier-protein] reductase [Synechococcus elongatus],adh_short,adh_short,2.7166981154970933e-68,226.60775756835938,6.42095947265625,3.2818633405456728e-68,226.33993530273438
IITB8,GCF_036630105.1,WP_208672814.1,glucose 1-dehydrogenase [Synechococcus elongatus],adh_short,adh_short,4.939284020861191e-56,186.60488891601562,0.0789642333984375,9.308118512858396e-56,185.70692443847656
IITB8,GCF_036630105.1,WP_338430774.1,SDR family oxidoreductase [Synechococcus elongatus],adh_short,adh_short,2.5714915335709096e-50,167.95201110839844,0.0004730224609375,3.3825173006538577e-50,167.56353759765625
IITB8,GCF_036630105.1,WP_338429553.1,SDR family oxidoreductase [Synechococcus elongatus],adh_short,adh_short,8.481011207953254e-31,104.26436614990234,0.0006103515625,1.028115442460422e-30,103.9916000366211
IITB8,GCF_036630105.1,WP_338429401.1,SDR family NAD(P)-dependent oxidoreductase [Synechococcus elongatus],adh_short,adh_short,3.5262058476433723e-28,95.71908569335938,0.03235626220703125,1.4982786152570414e-27,93.66900634765625
IITB8,GCF_036630105.1,WP_208675278.1,enoyl-ACP reductase FabI [Synechococcus elongatus],adh_short,adh_short,5.845673354887934e-22,75.42491149902344,0.142242431640625,1.0967630511539883e-21,74.53321075439453
IITB8,GCF_036630105.1,WP_338429474.1,protochlorophyllide reductase [Synechococcus elongatus],adh_short,adh_short,6.974344527269592e-20,68.64878845214844,0.00040435791015625,3.990553356731225e-18,62.91400909423828
IITB8,GCF_036630105.1,WP_338431516.1,bifunctional sterol desaturase/short chain dehydrogenase [Synechococcus elongatus],adh_short,adh_short,4.0024427252827955e-08,30.28002166748047,0.02762603759765625,1.533009146907767e-07,28.376989364624023
IITB8,GCF_036630105.1,WP_338429960.1,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase [Synechococcus elongatus],ADH_zinc_N,ADH_zinc_N,6.67632832459885e-26,88.09689331054688,0.03723907470703125,1.2154950955388739e-25,87.25544738769531
IITB8,GCF_036630105.1,WP_338429710.1,zinc-dependent alcohol dehydrogenase family protein [Synechococcus elongatus],ADH_zinc_N,ADH_zinc_N,8.498343721005478e-23,78.05706787109375,0.02190399169921875,2.1300375962675865e-22,76.76667022705078
IITB8,GCF_036630105.1,WP_338430249.1,beta-ketoacyl-ACP synthase III [Synechococcus elongatus],Thiolase_N,Thiolase_N,3.8158023870431856e-07,27.03740692138672,1.232583999633789,8.838575347340231e-07,25.841764450073242
IITB8,GCF_036630105.1,WP_338431525.1,class II fumarate hydratase [Synechococcus elongatus],Lyase_1,Lyase_1,1.270018174203099e-109,363.72845458984375,0.002166748046875,1.5726768084602236e-109,363.42352294921875
IITB8,GCF_036630105.1,WP_338429421.1,argininosuccinate lyase [Synechococcus elongatus],Lyase_1,Lyase_1,2.1703519278595145e-78,261.13348388671875,0.00042724609375,3.8154479837455853e-78,260.3286437988281
IITB8,GCF_036630105.1,WP_338429957.1,adenylosuccinate lyase [Synechococcus elongatus],Lyase_1,Lyase_1,9.39953038977471e-63,209.76959228515625,0.0418701171875,1.2927355628320018e-62,209.31495666503906
IITB8,GCF_036630105.1,WP_208674110.1,acetyl-CoA carboxylase biotin carboxylase subunit [Synechococcus elongatus],Biotin_carb_N,Biotin_carb_N,3.0922098835975173e-46,153.73822021484375,2.4676361083984375,7.925245081674136e-46,152.42254638671875
IITB8,GCF_036630105.1,WP_338431100.1,NUDIX hydrolase [Synechococcus elongatus],NUDIX,NUDIX,1.498965919245352e-24,83.8484878540039,0.009490966796875,1.7072018983010803e-24,83.6656265258789
IITB8,GCF_036630105.1,WP_338430123.1,A/G-specific adenine glycosylase [Synechococcus elongatus],NUDIX,NUDIX,2.5743307562679843e-21,73.37760162353516,0.24678802490234375,4.366654334997726e-21,72.6347885131836
IITB8,GCF_036630105.1,WP_208678745.1,NUDIX hydrolase [Synechococcus elongatus],NUDIX,NUDIX,2.6765392454787694e-20,70.08599090576172,0.827117919921875,3.2817163513349686e-20,69.7994384765625
IITB8,GCF_036630105.1,WP_338429626.1,bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase [Synechococcus elongatus],NUDIX,NUDIX,4.1865013243329055e-20,69.45713806152344,0.0175018310546875,9.555025698433161e-20,68.29710388183594
IITB8,GCF_036630105.1,WP_208676828.1,NUDIX hydrolase [Synechococcus elongatus],NUDIX,NUDIX,4.905913326593629e-17,59.52358627319336,0.22797012329101562,6.149174388072311e-17,59.206058502197266
IITB8,GCF_036630105.1,WP_338429538.1,acetyl-CoA carboxylase biotin carboxyl carrier protein [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,2.471199581781988e-24,82.27409362792969,0.01924896240234375,4.040445127914544e-24,81.58998107910156
IITB8,GCF_036630105.1,WP_338430286.1,dihydrolipoamide acetyltransferase family protein [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,7.276664051919173e-18,61.54764175415039,0.33434295654296875,1.278597167723592e-17,60.763309478759766
