# target_name	query_name	e_value	score	bias
WP_006278496.1	adh_short	8.56e-70	231.8	8.0
WP_057179081.1	adh_short	4.42e-61	203.4	3.7
WP_057178177.1	adh_short	8.30e-52	173.2	0.0
WP_006276866.1	adh_short	1.39e-48	162.6	0.1
WP_057178218.1	adh_short	8.59e-43	143.7	0.0
WP_057178739.1	adh_short	5.26e-39	131.4	0.0
WP_057178094.1	adh_short	8.90e-23	78.4	0.0
WP_057178853.1	adh_short	1.52e-22	77.7	0.0
WP_057178787.1	adh_short	2.79e-16	57.2	0.0
WP_057178786.1	adh_short	1.40e-14	51.7	0.0
WP_057177849.1	adh_short	1.18e-13	48.7	0.9
WP_330936203.1	adh_short	1.48e-12	45.1	0.0
WP_330936674.1	adh_short	5.28e-12	43.3	0.1
WP_330936201.1	adh_short	2.17e-11	41.3	0.1
WP_057176909.1	adh_short	1.46e-09	35.3	0.1
WP_235529026.1	adh_short	1.69e-09	35.1	0.0
WP_330936497.1	adh_short	6.40e-07	26.7	0.2
WP_330936442.1	adh_short	1.14e-06	25.9	0.1
WP_057177501.1	adh_short	7.92e-06	23.1	0.1
WP_006278216.1	ADH_zinc_N	4.52e-25	85.7	0.0
WP_330936133.1	ADH_zinc_N	1.38e-23	80.9	0.0
WP_330936430.1	ADH_zinc_N	1.11e-19	68.3	0.0
WP_211941749.1	ADH_zinc_N	2.71e-16	57.4	0.7
WP_057176883.1	ADH_zinc_N	1.39e-09	35.7	0.1
WP_057176984.1	Thiolase_N	6.08e-08	30.0	0.4
WP_330936203.1	Thiolase_N	6.79e-08	29.8	0.1
WP_096543529.1	Lyase_1	3.29e-88	293.7	0.0
WP_057178368.1	Lyase_1	1.42e-75	252.2	0.0
WP_057177333.1	Lyase_1	1.60e-59	199.5	0.0
WP_006275705.1	Biotin_carb_N	9.48e-47	155.7	0.2
WP_071985343.1	NUDIX	2.96e-23	80.0	0.0
WP_211942017.1	NUDIX	1.05e-20	71.7	0.0
WP_006278462.1	NUDIX	1.52e-20	71.2	0.3
WP_057178868.1	NUDIX	3.31e-13	47.5	0.0
WP_006278700.1	NUDIX	2.45e-12	44.6	0.0
WP_330936663.1	NUDIX	3.25e-10	37.8	0.0
WP_057176863.1	NUDIX	8.20e-10	36.5	0.0
WP_006276250.1	Biotin_lipoyl	3.76e-26	88.4	0.6
WP_330936042.1	Biotin_lipoyl	4.11e-18	62.7	0.8
WP_330936087.1	Biotin_lipoyl	2.43e-07	28.2	1.0
WP_141303784.1	Biotin_lipoyl	3.09e-06	24.6	0.3
WP_006276140.1	Biotin_lipoyl	3.66e-06	24.4	0.1
WP_057178466.1	Biotin_lipoyl	5.16e-06	23.9	2.3
WP_006278636.1	Biotin_lipoyl	6.33e-06	23.6	0.3
WP_057176869.1	Biotin_lipoyl	9.47e-06	23.1	0.5
WP_057177232.1	ECH_1	1.24e-74	248.4	0.0
