strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
UTEX_2973,GCF_000817325.1,WP_011243157.1,3-oxoacyl-[acyl-carrier-protein] reductase [Synechococcus elongatus],adh_short,adh_short,3.701198109140964e-68,226.1653594970703,6.0294647216796875,4.475652323611313e-68,225.8961181640625
UTEX_2973,GCF_000817325.1,WP_011242343.1,glucose 1-dehydrogenase [Synechococcus elongatus],adh_short,adh_short,1.5218787244843008e-55,185.00604248046875,0.0848388671875,2.8679920955887353e-55,184.1080780029297
UTEX_2973,GCF_000817325.1,WP_011242366.1,SDR family oxidoreductase [Synechococcus elongatus],adh_short,adh_short,8.247329793327592e-51,169.559326171875,0.0053253173828125,1.0490515149740313e-50,169.21839904785156
UTEX_2973,GCF_000817325.1,WP_011243836.1,SDR family oxidoreductase [Synechococcus elongatus],adh_short,adh_short,3.0788865509117524e-30,102.43309783935547,0.00057220458984375,3.682002280405768e-30,102.17959594726562
UTEX_2973,GCF_000817325.1,WP_011377454.1,enoyl-ACP reductase FabI [Synechococcus elongatus],adh_short,adh_short,6.202542224191842e-21,72.07378387451172,0.1095123291015625,1.0284867267994167e-20,71.35713958740234
UTEX_2973,GCF_000817325.1,WP_011378491.1,protochlorophyllide reductase [Synechococcus elongatus],adh_short,adh_short,7.396328467219952e-21,71.8243408203125,0.0003662109375,4.2318202168174974e-19,66.0896224975586
UTEX_2973,GCF_000817325.1,WP_011378442.1,SDR family NAD(P)-dependent oxidoreductase [Synechococcus elongatus],adh_short,adh_short,8.947678540755497e-20,68.29153442382812,0.00049591064453125,1.154713254208262e-19,67.93011474609375
UTEX_2973,GCF_000817325.1,WP_011242991.1,bifunctional sterol desaturase/short chain dehydrogenase [Synechococcus elongatus],adh_short,adh_short,2.121825728980149e-09,34.438148498535156,0.03668975830078125,6.433901267239848e-09,32.86616134643555
UTEX_2973,GCF_000817325.1,WP_011243371.1,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase [Synechococcus elongatus],ADH_zinc_N,ADH_zinc_N,7.178309379902663e-26,87.9909439086914,0.0382843017578125,1.2895715107338543e-25,87.16822814941406
UTEX_2973,GCF_000817325.1,WP_423218607.1,zinc-dependent alcohol dehydrogenase family protein [Synechococcus elongatus],ADH_zinc_N,ADH_zinc_N,3.433276525148292e-24,82.5594253540039,0.0220184326171875,9.696314158020448e-24,81.10137939453125
UTEX_2973,GCF_000817325.1,WP_011377394.1,NAD(P)-dependent alcohol dehydrogenase [Synechococcus elongatus],ADH_zinc_N,ADH_zinc_N,1.0230695400427184e-12,45.45589065551758,0.00994110107421875,1.6617358785523255e-12,44.77470016479492
UTEX_2973,GCF_000817325.1,WP_011242415.1,beta-ketoacyl-ACP synthase III [Synechococcus elongatus],Thiolase_N,Thiolase_N,9.03550397628286e-08,29.083763122558594,0.9133243560791016,2.191346789170303e-07,27.82269287109375
UTEX_2973,GCF_000817325.1,WP_011242850.1,class II fumarate hydratase [Synechococcus elongatus],Lyase_1,Lyase_1,6.300887149008735e-109,361.4393310546875,0.0048828125,7.752044565069249e-109,361.1436462402344
UTEX_2973,GCF_000817325.1,WP_039755911.1,argininosuccinate lyase [Synechococcus elongatus],Lyase_1,Lyase_1,1.5335619130828739e-77,258.3398742675781,0.00054931640625,2.3962198280298653e-77,257.70318603515625
UTEX_2973,GCF_000817325.1,WP_011377532.1,adenylosuccinate lyase [Synechococcus elongatus],Lyase_1,Lyase_1,1.0775822152072093e-62,209.57044982910156,0.022552490234375,1.4443981045658105e-62,209.15249633789062
UTEX_2973,GCF_000817325.1,WP_011242491.1,acetyl-CoA carboxylase biotin carboxylase subunit [Synechococcus elongatus],Biotin_carb_N,Biotin_carb_N,1.6837795989392939e-46,154.5838165283203,2.035614013671875,7.901918385333668e-46,152.42254638671875
UTEX_2973,GCF_000817325.1,WP_011244596.1,NUDIX domain-containing protein [Synechococcus elongatus],NUDIX,NUDIX,2.0587530154429734e-25,86.63513946533203,0.01068115234375,2.2985511432036317e-25,86.48025512695312
UTEX_2973,GCF_000817325.1,WP_011243168.1,A/G-specific adenine glycosylase [Synechococcus elongatus],NUDIX,NUDIX,3.609367909666161e-21,72.89839172363281,0.17819976806640625,6.02739637781262e-21,72.17754364013672
UTEX_2973,GCF_000817325.1,WP_011244138.1,NUDIX hydrolase [Synechococcus elongatus],NUDIX,NUDIX,2.71096622402904e-20,70.06388092041016,0.8220977783203125,3.350824722726037e-20,69.76599884033203
UTEX_2973,GCF_000817325.1,WP_011377492.1,bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase [Synechococcus elongatus],NUDIX,NUDIX,4.126337574939717e-20,69.47334289550781,0.0175018310546875,9.526902002484867e-20,68.29710388183594
UTEX_2973,GCF_000817325.1,WP_011377412.1,NUDIX hydrolase [Synechococcus elongatus],NUDIX,NUDIX,6.259681321002876e-14,49.466243743896484,0.10941314697265625,7.883748668679174e-14,49.141971588134766
UTEX_2973,GCF_000817325.1,WP_011243856.1,acetyl-CoA carboxylase biotin carboxyl carrier protein [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,1.6618796467192245e-24,82.82205963134766,0.02719879150390625,3.361143354155973e-24,81.84201049804688
