# target_name	query_name	e_value	score	bias
WP_008233167.1	adh_short	1.46e-68	227.0	5.0
WP_008234506.1	adh_short	6.09e-55	182.6	0.9
WP_008232031.1	adh_short	4.34e-51	170.0	0.0
WP_008232688.1	adh_short	1.46e-27	93.2	0.0
WP_008233818.1	adh_short	4.14e-21	72.2	0.1
WP_008232378.1	adh_short	2.23e-16	56.7	0.0
WP_008232486.1	adh_short	1.31e-11	41.2	0.1
WP_044304731.1	adh_short	8.85e-06	22.2	0.1
WP_044304750.1	ADH_zinc_N	2.57e-26	89.0	0.0
WP_008235126.1	ADH_zinc_N	1.87e-21	73.2	0.0
WP_044304877.1	Lyase_1	7.25e-92	304.9	0.0
WP_008234058.1	Lyase_1	1.34e-73	244.9	0.0
WP_044304431.1	Lyase_1	3.44e-62	207.4	0.0
WP_008233084.1	Biotin_carb_N	2.18e-47	157.0	0.1
WP_008232382.1	NUDIX	1.90e-20	70.1	0.0
WP_044304415.1	NUDIX	2.01e-14	50.6	0.0
WP_008235269.1	NUDIX	1.70e-10	37.9	0.0
WP_044304888.1	Biotin_lipoyl	7.33e-25	83.5	0.1
WP_008235560.1	Biotin_lipoyl	5.39e-15	51.9	0.5
WP_044304825.1	Biotin_lipoyl	1.73e-06	24.6	5.9
WP_008232492.1	Biotin_lipoyl	2.43e-06	24.2	0.6
WP_008231387.1	ECH_1	2.16e-72	240.3	0.0
WP_008233074.1	Nitroreductase	3.42e-34	115.3	0.0
WP_044304412.1	FAD_binding_2	2.22e-117	389.6	1.5
WP_008231864.1	FAD_binding_2	1.59e-90	301.1	0.7
WP_044304372.1	FAD_binding_2	7.53e-11	38.6	0.1
WP_008232029.1	FAD_binding_2	7.53e-08	28.8	3.6
WP_008232198.1	FAD_binding_2	8.26e-06	22.0	3.1
WP_008235687.1	Carboxyl_trans	9.71e-23	77.3	0.0
WP_008234505.1	Carboxyl_trans	3.73e-14	49.0	0.0
WP_008233962.1	B12-binding	3.55e-21	72.1	0.0
WP_008231842.1	B12-binding	9.83e-20	67.5	0.1
WP_008233084.1	Biotin_carb_C	1.38e-42	141.1	0.0
WP_008232002.1	CPSase_L_D2	1.68e-112	370.9	0.2
WP_008233084.1	CPSase_L_D2	3.31e-84	278.5	0.1
WP_008232069.1	CPSase_L_D2	7.51e-09	32.2	0.3
WP_008234452.1	CPSase_L_D2	2.21e-08	30.7	0.0
WP_044304412.1	Succ_DH_flav_C	1.33e-48	161.0	0.0
WP_008231864.1	Succ_DH_flav_C	6.44e-18	61.8	0.0
WP_008234505.1	ACCA	2.08e-141	467.4	0.0
WP_008235126.1	ADH_N	2.42e-28	95.3	0.5
WP_044304750.1	ADH_N	1.70e-26	89.4	0.4
WP_044304877.1	FumaraseC_C	2.19e-23	79.3	0.5
WP_008234462.1	Fer2_3	1.31e-33	112.1	2.0
WP_008234462.1	Fer4_8	6.51e-13	45.9	6.4
WP_008232216.1	Fer4_8	1.87e-07	28.4	8.2
WP_008235899.1	Fer4_8	1.42e-06	25.6	8.1
WP_008232216.1	Fer4_10	3.40e-11	39.8	17.0
WP_008229102.1	Fer4_10	1.49e-09	34.5	14.9
WP_008235899.1	Fer4_10	3.90e-09	33.2	10.8
WP_008232550.1	Fer4_10	4.59e-08	29.8	6.2
WP_008235690.1	Fer4_10	7.74e-06	22.6	5.4
WP_008229102.1	Fer4_17	7.87e-09	32.8	9.7
WP_008234462.1	Fer4_17	1.60e-07	28.7	5.7
WP_044304437.1	Fer4_17	2.59e-07	28.0	6.0
WP_008235899.1	Fer4_17	8.36e-06	23.2	8.2
WP_008233818.1	adh_short_C2	1.42e-85	283.4	0.1
WP_008233167.1	adh_short_C2	6.55e-70	232.2	2.7
WP_008234506.1	adh_short_C2	1.81e-42	142.4	0.2
WP_008232031.1	adh_short_C2	2.27e-35	119.1	0.0
WP_008232688.1	adh_short_C2	1.40e-20	70.7	0.0
WP_008232378.1	adh_short_C2	1.58e-06	24.7	0.0
WP_008235320.1	Glyoxalase_4	1.16e-11	41.8	0.0
WP_008232091.1	Glyoxalase_4	1.24e-07	28.8	0.0
