# target_name	query_name	e_value	score	bias
WP_071247991.1	adh_short	1.32e-69	231.1	7.3
WP_009343286.1	adh_short	1.20e-61	205.1	1.1
WP_071251137.1	adh_short	1.15e-60	201.9	3.6
WP_071249261.1	adh_short	2.84e-52	174.5	0.0
WP_061546962.1	adh_short	1.40e-46	156.0	0.0
WP_211083647.1	adh_short	2.57e-46	155.1	0.6
WP_071248941.1	adh_short	1.21e-43	146.4	0.2
WP_061544953.1	adh_short	5.45e-39	131.2	0.0
WP_282097422.1	adh_short	1.13e-37	126.9	0.0
WP_071247971.1	adh_short	5.13e-23	79.1	0.0
WP_071250863.1	adh_short	1.12e-22	78.0	0.0
WP_168728411.1	adh_short	7.48e-18	62.2	0.0
WP_061545319.1	adh_short	7.35e-13	45.9	1.3
WP_071249143.1	adh_short	1.52e-12	44.9	0.1
WP_071249169.1	adh_short	1.30e-10	38.6	0.3
WP_071249019.1	adh_short	2.55e-08	31.1	0.3
WP_071249343.1	adh_short	6.82e-07	26.5	0.2
WP_071249669.1	ADH_zinc_N	2.39e-24	83.3	0.0
WP_071249862.1	ADH_zinc_N	2.57e-24	83.2	0.0
WP_211083917.1	ADH_zinc_N	3.38e-21	73.1	0.0
WP_071247977.1	ADH_zinc_N	1.07e-16	58.5	0.5
WP_061546347.1	Thiolase_N	1.26e-07	28.8	0.4
WP_100053630.1	Lyase_1	6.26e-89	296.0	0.0
WP_071249978.1	Lyase_1	1.43e-76	255.4	0.0
WP_071248304.1	Lyase_1	3.20e-59	198.4	0.0
WP_071248359.1	Biotin_carb_N	1.49e-46	155.0	0.2
WP_247650126.1	NUDIX	1.73e-23	80.6	0.0
WP_247650210.1	NUDIX	1.81e-23	80.5	0.1
WP_071249033.1	NUDIX	6.49e-21	72.3	0.1
WP_071248324.1	NUDIX	1.09e-20	71.5	0.0
WP_071250873.1	NUDIX	4.99e-13	46.7	0.0
WP_100054096.1	NUDIX	9.98e-13	45.8	0.0
WP_061545195.1	NUDIX	9.48e-10	36.1	0.0
WP_071249183.1	NUDIX	1.60e-09	35.4	0.0
WP_079290353.1	NUDIX	2.55e-09	34.7	0.0
WP_061547174.1	Biotin_lipoyl	6.20e-26	87.6	0.3
WP_071250279.1	Biotin_lipoyl	3.89e-18	62.6	0.8
WP_061545523.1	Biotin_lipoyl	5.36e-07	26.9	1.1
WP_071251383.1	Biotin_lipoyl	3.49e-06	24.3	0.1
WP_071250955.1	Biotin_lipoyl	7.83e-06	23.2	0.5
WP_071251276.1	ECH_1	5.04e-75	249.6	0.0
WP_071251257.1	Nitroreductase	1.38e-36	123.7	0.0
WP_061544954.1	Nitroreductase	1.55e-35	120.3	0.6
WP_071248237.1	FAD_binding_2	2.65e-116	386.7	3.4
WP_071251010.1	FAD_binding_2	1.99e-92	308.0	0.7
WP_071249534.1	FAD_binding_2	3.95e-12	43.5	5.2
WP_071249484.1	FAD_binding_2	2.78e-09	34.2	0.4
WP_071250361.1	FAD_binding_2	1.83e-08	31.5	0.4
WP_071249629.1	FAD_binding_2	1.99e-08	31.3	0.3
WP_071249491.1	FAD_binding_2	2.65e-08	30.9	0.2
WP_071250777.1	FAD_binding_2	8.06e-08	29.3	0.5
WP_071248720.1	FAD_binding_2	5.08e-07	26.7	2.1
WP_009343775.1	FAD_binding_2	2.18e-06	24.6	1.0
WP_071247557.1	Carboxyl_trans	5.44e-24	82.1	0.0
WP_071251139.1	Carboxyl_trans	1.25e-14	51.3	0.3
WP_071250790.1	B12-binding	1.34e-22	77.4	0.0
WP_071250250.1	B12-binding	3.48e-21	72.8	0.0
WP_071251364.1	B12-binding	1.17e-12	45.3	0.0
WP_071248359.1	Biotin_carb_C	4.24e-44	146.6	0.0
WP_061546173.1	CPSase_L_D2	3.90e-112	370.4	0.3
WP_071248359.1	CPSase_L_D2	7.57e-87	287.8	0.0
WP_071249559.1	CPSase_L_D2	6.41e-07	26.6	0.1
WP_061546946.1	CPSase_L_D2	5.16e-06	23.6	0.3
WP_071248237.1	Succ_DH_flav_C	3.26e-44	147.5	0.1
WP_071251010.1	Succ_DH_flav_C	4.81e-16	56.4	0.0
WP_071251139.1	ACCA	1.41e-141	468.6	0.0
WP_071249862.1	ADH_N	1.15e-28	97.0	0.3
WP_071249669.1	ADH_N	2.69e-24	83.0	0.2
WP_211083917.1	ADH_N	4.69e-18	62.9	1.0
WP_071247977.1	ADH_N	1.39e-07	29.3	0.0
WP_100053630.1	FumaraseC_C	3.36e-23	79.4	1.3
WP_100060187.1	Fer2_3	3.22e-34	114.7	0.1
WP_071250126.1	Fer4_8	5.69e-13	46.8	3.0
WP_100060187.1	Fer4_8	4.35e-12	43.9	6.8
WP_006277437.1	Fer4_8	3.28e-09	34.7	9.9
WP_071247455.1	Fer4_8	3.39e-08	31.5	6.8
WP_071248005.1	Fer4_8	1.19e-07	29.7	8.1
WP_006277810.1	Fer4_8	3.94e-07	28.1	9.0
WP_009341609.1	Fer4_8	8.34e-07	27.0	8.3
WP_006277702.1	Fer4_8	3.38e-06	25.1	6.3
WP_006277437.1	Fer4_10	2.12e-12	44.3	23.1
WP_006277810.1	Fer4_10	9.41e-12	42.2	16.2
WP_071248005.1	Fer4_10	4.75e-10	36.8	6.7
WP_061546285.1	Fer4_10	8.94e-10	35.9	6.2
WP_006277702.1	Fer4_10	1.46e-09	35.2	9.4
WP_071985099.1	Fer4_10	5.14e-09	33.5	15.1
WP_071250126.1	Fer4_10	3.23e-08	30.9	6.7
WP_071247455.1	Fer4_10	5.66e-08	30.1	15.7
WP_009341609.1	Fer4_10	6.63e-08	29.9	3.8
WP_071248258.1	Fer4_10	2.62e-06	24.8	4.6
WP_071247620.1	Fer4_10	2.90e-06	24.7	14.5
WP_100060187.1	Fer4_10	8.35e-06	23.2	9.6
WP_071250126.1	Fer4_17	1.37e-10	39.1	3.4
WP_071985099.1	Fer4_17	6.13e-08	30.6	12.6
WP_100060187.1	Fer4_17	3.01e-07	28.4	6.4
WP_071250402.1	Fer4_17	3.58e-07	28.2	5.1
WP_071247455.1	Fer4_17	1.59e-06	26.1	7.9
WP_009341609.1	Fer4_17	2.08e-06	25.7	9.4
WP_071250863.1	adh_short_C2	4.87e-88	292.2	0.0
WP_071247991.1	adh_short_C2	1.21e-71	238.5	4.4
WP_071251137.1	adh_short_C2	9.07e-47	157.1	4.4
WP_282097422.1	adh_short_C2	4.25e-45	151.6	0.0
WP_009343286.1	adh_short_C2	1.03e-44	150.4	1.2
WP_071248941.1	adh_short_C2	1.32e-44	150.0	0.0
WP_211083647.1	adh_short_C2	1.33e-37	127.1	0.1
WP_071249261.1	adh_short_C2	6.82e-37	124.8	0.0
