# target_name	query_name	e_value	score	bias
WP_211569829.1	adh_short	5.66e-72	239.1	6.1
WP_272013742.1	adh_short	1.34e-55	185.7	6.8
WP_271956283.1	adh_short	3.31e-55	184.4	0.1
WP_103111086.1	adh_short	8.17e-53	176.6	0.0
WP_002757862.1	adh_short	6.58e-51	170.4	0.2
WP_002751543.1	adh_short	2.82e-49	165.1	2.7
WP_271948677.1	adh_short	2.61e-48	161.9	0.0
WP_272013925.1	adh_short	3.77e-48	161.4	0.0
WP_002794051.1	adh_short	3.16e-45	151.9	0.0
WP_272013802.1	adh_short	2.07e-43	145.9	0.0
WP_002740281.1	adh_short	1.54e-26	90.9	0.1
WP_272013868.1	adh_short	6.58e-24	82.3	0.0
WP_002791703.1	adh_short	3.85e-19	66.7	1.6
WP_272013923.1	adh_short	1.62e-17	61.4	0.4
WP_272014447.1	adh_short	3.30e-17	60.4	0.0
WP_272015506.1	adh_short	1.71e-16	58.1	0.1
WP_272015842.1	adh_short	1.23e-14	52.0	0.0
WP_272013753.1	adh_short	4.21e-13	47.0	0.1
WP_272015835.1	adh_short	1.29e-12	45.4	0.0
WP_272014694.1	adh_short	5.75e-11	40.1	0.0
WP_272013872.1	adh_short	7.30e-09	33.2	0.1
WP_002793709.1	ADH_zinc_N	4.47e-28	95.6	0.2
WP_272014313.1	ADH_zinc_N	1.96e-26	90.3	0.0
WP_272014007.1	ADH_zinc_N	8.82e-23	78.5	0.8
WP_272013923.1	ADH_zinc_N	1.53e-17	61.6	0.0
WP_272014693.1	ADH_zinc_N	5.58e-13	46.8	0.0
WP_272016136.1	ADH_zinc_N	4.20e-06	24.6	0.2
WP_272015090.1	Thiolase_N	1.28e-81	271.6	0.0
WP_272013868.1	Thiolase_N	2.87e-11	41.1	1.7
WP_002793459.1	Thiolase_N	5.97e-09	33.5	1.2
WP_272014643.1	Thiolase_N	3.39e-07	27.7	1.5
WP_190537126.1	Lyase_1	8.22e-101	335.3	0.0
WP_103112634.1	Lyase_1	2.06e-77	258.4	0.0
WP_061433257.1	Lyase_1	1.86e-61	206.0	0.0
WP_272013520.1	Biotin_carb_N	1.63e-46	155.1	0.6
WP_272015209.1	NUDIX	6.03e-21	72.7	0.0
WP_272014122.1	NUDIX	1.56e-19	68.1	0.0
WP_272015317.1	NUDIX	4.06e-18	63.5	0.0
WP_272015878.1	NUDIX	1.56e-16	58.4	0.0
WP_004162051.1	NUDIX	3.11e-13	47.7	0.0
WP_272014816.1	NUDIX	4.42e-12	44.0	0.0
WP_084990127.1	Biotin_lipoyl	2.47e-22	76.4	0.1
WP_272013621.1	Biotin_lipoyl	5.81e-18	62.4	0.5
WP_272015284.1	Biotin_lipoyl	2.01e-06	25.4	0.5
WP_272015676.1	Biotin_lipoyl	4.42e-06	24.3	9.5
WP_002743375.1	ECH_1	2.22e-74	247.8	0.0
WP_272014041.1	Nitroreductase	5.28e-35	118.9	0.0
WP_272014286.1	Nitroreductase	1.28e-30	104.6	0.1
WP_272015617.1	Nitroreductase	1.07e-16	59.3	0.2
WP_272014991.1	FAD_binding_2	4.23e-96	320.4	0.6
WP_272016046.1	FAD_binding_2	1.09e-09	35.8	3.1
WP_002734584.1	FAD_binding_2	1.51e-08	32.1	4.3
WP_272015795.1	FAD_binding_2	3.29e-08	30.9	0.1
WP_002744419.1	FAD_binding_2	1.71e-07	28.6	4.7
WP_272013859.1	FAD_binding_2	1.74e-07	28.6	0.5
WP_272015723.1	FAD_binding_2	4.41e-07	27.2	0.1
WP_272015117.1	FAD_binding_2	4.44e-07	27.2	0.8
WP_272014924.1	FAD_binding_2	4.61e-06	23.9	1.1
WP_272014765.1	FAD_binding_2	4.83e-06	23.8	0.0
WP_002794617.1	Carboxyl_trans	1.60e-23	80.9	0.0
