cluster_id,cluster_name,num_strains,members,avg_completeness_percent,avg_partial_percent,avg_not_found_percent,representative,dominant_genus,diversity_score
10,Cluster 10: MIT group,1,MIT_1320_GCF_001632075.1,50.0,25.0,25.0,MIT_1320_GCF_001632075.1,MIT,1.0
12,Cluster 12: MIT group,2,MIT_1318_GCF_001632045.1; MIT_1313_GCF_001632065.1,50.0,25.0,25.0,MIT_1318_GCF_001632045.1,MIT,0.5
11,Cluster 11: MIT group,1,MIT_9211_GCF_000018585.1,43.75,31.25,25.0,MIT_9211_GCF_000018585.1,MIT,1.0
13,Cluster 13: MIT/MU1414 mixed,6,MU1414_GCF_019324905.1; XMU1414_GCF_017696035.1; MIT_9302_GCF_000759975.1; MIT_9303_GCF_000015705.1; MIT_9301_GCF_000015965.1; MIT_9302_GCF_047947085.1,43.75,31.25,25.0,MU1414_GCF_019324905.1,MIT,0.5
1,Cluster 1: PCC/UTEX mixed,31,PCC_6301_GCF_022984195.1; M14.2_GCF_050422935.1; UTEX_3055_GCF_003957805.1; PCC_6301_GCF_000010065.1; IITB8_GCF_036630105.1; IITB7_GCF_036630095.1; IITB6_GCF_036630085.1; IITB5_GCF_036630115.1; IITB4_GCF_036630075.1; IITB3_GCF_036630065.1; UTEX_2434_GCF_030544905.1; Unknown_GCF_051658205.1; GCF_036630115.1_IITB5_GCF_036630115.1_IITB5; GCF_036630095.1_IITB7_GCF_036630095.1_IITB7; GCF_036630085.1_IITB6_GCF_036630085.1_IITB6; GCF_036630075.1_IITB4_GCF_036630075.1_IITB4; GCF_036630065.1_IITB3_GCF_036630065.1_IITB3; GCA_036630115.1_IITB5_GCA_036630115.1_IITB5; GCA_036630095.1_IITB7_GCA_036630095.1_IITB7; GCA_036630085.1_IITB6_GCA_036630085.1_IITB6; GCA_036630075.1_IITB4_GCA_036630075.1_IITB4; GCA_036630065.1_IITB3_GCA_036630065.1_IITB3; FACHB-805_GCF_014698905.1; FACHB-242_GCF_014698415.1; FACHB-1061_GCF_014698895.1; PCC_7943_GCF_022984345.1; PCC_7942_GCF_000012525.1; PCC_6311_GCF_022984265.1; PCC_11801_GCF_003846445.2; PCC_11802_GCF_009498715.2; UTEX_2973_GCF_000817325.1,43.75,25.0,31.25,PCC_6301_GCF_022984195.1,PCC,0.4838709677419355
2,Cluster 2: MED4/AS9601 mixed,5,MED4_GCF_000011465.1; AS9601_GCF_000015645.1; MED4ax_substr._MED4ax_GCF_047497125.1; EQPAC1_GCF_000759875.1; MED4x_substr._MED4x_GCF_047497115.1,37.5,25.0,37.5,MED4_GCF_000011465.1,MED4,1.0
4,Cluster 4: MIT/MU1412 mixed,4,MIT_0918_GCF_027359415.1; MU1412_GCF_019324925.1; XMU1412_GCF_017696315.1; MU1411_GCF_019324985.1,37.5,31.25,31.25,MIT_0918_GCF_027359415.1,MIT,1.0
17,Cluster 17: MIT/MU1416 mixed,4,MIT_9202_GCF_000158595.1; MU1416_GCF_019324835.1; CUG1416_GCF_017695965.1; MIT_9215_GCF_000018065.1,37.5,25.0,37.5,MIT_9202_GCF_000158595.1,MIT,0.75
19,Cluster 19: MIT group,2,MIT_1312_GCF_001632005.1; MIT_1327_GCF_001632125.1,37.5,25.0,37.5,MIT_1312_GCF_001632005.1,MIT,0.5
6,Cluster 6: MIT/XMU1408 mixed,8,MIT_0917_GCF_027359575.1; MU1403_GCF_019325065.1; XMU1408_GCF_019325045.1; XMU1408_GCF_003208055.1; MIT_0915_GCF_027359475.1; MIT_1214_GCF_027359355.1; MIT_1013_GCF_027359395.1; XMU1403_GCF_003208065.1,31.25,31.25,37.5,MIT_0917_GCF_027359575.1,MIT,0.5
7,Cluster 7: MIT/PAC1 mixed,10,NATL1A_GCF_000015685.1; PAC1_GCF_047304675.1; PAC1_GCF_000760235.1; NATL2A_GCF_000012465.1; MIT_0912_GCF_027359595.1; MIT_9116_GCF_000759865.1; MIT_9107_GCF_047302795.1; MIT_9107_GCF_000759855.1; MIT_1012_GCF_047302745.1; MIT_9123_GCF_000759935.1,31.25,25.0,43.75,NATL1A_GCF_000015685.1,MIT,0.4
8,Cluster 8: MIT group,1,MIT_0913_GCF_027359525.1,31.25,31.25,37.5,MIT_0913_GCF_027359525.1,MIT,1.0
5,Cluster 5: XMU1411 group,1,XMU1411_GCF_017696075.1,31.25,37.5,31.25,XMU1411_GCF_017696075.1,XMU1411,1.0
3,Cluster 3: XMU1402/MU1402 mixed,2,XMU1402_GCF_017696205.1; MU1402_GCF_019325055.1,31.25,37.5,31.25,XMU1402_GCF_017696205.1,XMU1402,1.0
14,Cluster 14: SS35/SS51 mixed,13,SS35_GCF_000760275.1; SS35_GCF_047304605.1; SS51_GCF_000760355.1; SS51_GCF_047302855.1; LG_GCF_047302905.1; SS2_GCF_047302765.1; LG_GCF_000760155.1; SS2_GCF_000760255.1; XMU1404_GCF_017696175.1; GP2_GCF_000759885.1; MU1404_GCF_019325015.1; CCMP1375;_SS120_GCF_000007925.1; GP2_GCF_047302875.1,31.25,25.0,43.75,SS35_GCF_000760275.1,SS35,0.6153846153846154
