# target_name	query_name	e_value	score	bias
WP_023173939.1	adh_short	3.09e-66	220.6	5.7
WP_023175839.1	adh_short	1.89e-61	205.0	0.2
WP_023172835.1	adh_short	1.79e-59	198.5	0.2
WP_023172773.1	adh_short	2.63e-57	191.5	0.2
WP_023175682.1	adh_short	6.31e-57	190.2	0.4
WP_023172252.1	adh_short	3.47e-56	187.8	0.2
WP_023172127.1	adh_short	2.01e-51	172.2	0.4
WP_023174671.1	adh_short	4.86e-51	171.0	0.1
WP_023172445.1	adh_short	1.39e-48	163.0	0.0
WP_041244777.1	adh_short	2.93e-48	161.9	0.5
WP_023172258.1	adh_short	2.25e-47	159.0	0.0
WP_023175223.1	adh_short	3.77e-45	151.8	0.3
WP_023172843.1	adh_short	4.73e-45	151.5	0.1
WP_023172971.1	adh_short	2.82e-39	132.6	0.3
WP_023171793.1	adh_short	4.13e-38	128.8	0.1
WP_023174066.1	adh_short	4.51e-38	128.7	0.0
WP_223173796.1	adh_short	3.11e-33	112.9	2.4
WP_023171353.1	adh_short	3.83e-23	80.0	0.0
WP_023175208.1	adh_short	3.02e-22	77.1	0.0
WP_023173192.1	adh_short	9.91e-19	65.6	0.0
WP_023173200.1	adh_short	8.12e-17	59.3	0.0
WP_081705188.1	adh_short	1.63e-14	51.8	0.3
WP_023173190.1	adh_short	1.28e-13	48.9	0.1
WP_144080364.1	adh_short	8.23e-07	26.7	0.0
WP_023172778.1	ADH_zinc_N	6.98e-29	98.4	0.2
WP_023172792.1	ADH_zinc_N	1.03e-28	97.9	0.1
WP_023171276.1	ADH_zinc_N	1.15e-26	91.2	0.1
WP_023175563.1	ADH_zinc_N	3.55e-25	86.4	0.9
WP_041244957.1	ADH_zinc_N	1.10e-24	84.8	0.0
WP_023173193.1	ADH_zinc_N	1.57e-21	74.6	0.0
WP_023174484.1	ADH_zinc_N	1.56e-19	68.2	0.4
WP_023174039.1	ADH_zinc_N	2.44e-19	67.6	1.6
WP_023172259.1	ADH_zinc_N	5.87e-19	66.3	0.1
WP_023173978.1	ADH_zinc_N	8.53e-18	62.6	0.5
WP_023171924.1	ADH_zinc_N	1.94e-17	61.4	0.7
WP_023172283.1	ADH_zinc_N	2.39e-17	61.1	0.1
WP_223173814.1	ADH_zinc_N	1.98e-10	38.7	0.2
WP_023173192.1	Thiolase_N	6.57e-14	49.9	3.7
WP_023172052.1	Lyase_1	6.85e-112	371.9	0.0
WP_023172798.1	Lyase_1	3.53e-79	264.4	0.0
WP_023173789.1	Lyase_1	4.55e-58	195.1	0.0
