# target_name	query_name	e_value	score	bias
WP_042154758.1	adh_short	5.43e-68	226.3	6.9
WP_042153165.1	adh_short	2.50e-60	201.3	0.1
WP_042151105.1	adh_short	8.50e-59	196.3	0.4
WP_042155229.1	adh_short	8.14e-56	186.6	0.2
WP_042156184.1	adh_short	5.75e-51	170.8	0.0
WP_042151882.1	adh_short	9.38e-51	170.1	0.4
WP_026797478.1	adh_short	6.06e-50	167.4	0.0
WP_042153482.1	adh_short	5.48e-47	157.8	0.3
WP_042154905.1	adh_short	1.91e-28	97.3	0.0
WP_042153785.1	adh_short	2.49e-25	87.1	0.0
WP_026787734.1	adh_short	1.44e-21	74.8	0.0
WP_042154180.1	adh_short	5.49e-20	69.7	0.0
WP_042156018.1	adh_short	1.21e-17	62.0	1.1
WP_042158698.1	adh_short	3.72e-16	57.2	0.2
WP_042158693.1	adh_short	8.66e-14	49.4	0.1
WP_042153468.1	adh_short	1.67e-13	48.5	0.2
WP_026797344.1	adh_short	1.43e-09	35.7	0.0
WP_042154175.1	adh_short	8.03e-07	26.7	0.0
WP_227373471.1	adh_short	1.24e-06	26.1	0.1
WP_042158693.1	ADH_zinc_N	2.32e-21	74.1	0.0
WP_081846352.1	ADH_zinc_N	7.43e-21	72.5	0.1
WP_042158698.1	ADH_zinc_N	7.12e-19	66.0	0.0
WP_042155624.1	ADH_zinc_N	4.07e-13	47.4	0.2
WP_042154180.1	Thiolase_N	2.85e-11	41.3	1.2
WP_042152954.1	Thiolase_N	3.79e-06	24.5	1.0
WP_042156107.1	Lyase_1	6.39e-117	388.4	0.0
WP_042156541.1	Lyase_1	6.17e-76	253.8	0.0
WP_042155761.1	Lyase_1	1.95e-62	209.4	0.0
WP_042154621.1	Biotin_carb_N	2.96e-47	157.7	0.7
WP_042154381.1	NUDIX	6.70e-24	82.4	0.0
WP_026798273.1	NUDIX	1.42e-22	78.1	0.0
WP_026796352.1	NUDIX	7.75e-21	72.5	0.1
WP_042154245.1	NUDIX	9.98e-21	72.2	0.2
WP_042154922.1	NUDIX	1.87e-15	55.1	0.0
WP_052369682.1	NUDIX	4.12e-15	54.0	0.2
WP_042155359.1	NUDIX	2.35e-14	51.5	0.0
WP_042153134.1	Biotin_lipoyl	4.14e-25	85.4	0.1
WP_042153607.1	Biotin_lipoyl	3.42e-17	60.1	0.2
WP_144390493.1	Biotin_lipoyl	1.80e-08	32.1	4.2
WP_042155983.1	Biotin_lipoyl	3.01e-07	28.2	0.6
WP_042156197.1	Biotin_lipoyl	9.77e-06	23.4	0.2
