# target_name	query_name	e_value	score	bias
WP_061546142.1	adh_short	1.01e-69	231.5	7.1
WP_061546744.1	adh_short	1.26e-61	205.1	1.1
WP_061545384.1	adh_short	2.03e-60	201.2	3.5
WP_061545162.1	adh_short	1.52e-51	172.2	0.0
WP_061546962.1	adh_short	1.45e-46	156.0	0.0
WP_061544953.1	adh_short	5.66e-39	131.2	0.0
WP_061547052.1	adh_short	9.46e-23	78.3	0.0
WP_009343460.1	adh_short	1.74e-22	77.4	0.0
WP_061545319.1	adh_short	7.63e-13	45.9	1.3
WP_061545881.1	adh_short	4.71e-12	43.4	0.0
WP_061545905.1	adh_short	2.70e-10	37.6	0.3
WP_061545257.1	adh_short	7.06e-07	26.5	0.2
WP_061545560.1	ADH_zinc_N	2.81e-24	83.1	0.0
WP_061547140.1	ADH_zinc_N	4.26e-24	82.5	0.0
WP_061546154.1	ADH_zinc_N	1.12e-16	58.5	0.5
WP_061546347.1	Thiolase_N	1.31e-07	28.8	0.4
WP_100053630.1	Lyase_1	6.50e-89	296.0	0.0
WP_061545779.1	Lyase_1	1.24e-75	252.3	0.0
WP_061546369.1	Lyase_1	3.30e-59	198.4	0.0
WP_061546191.1	Biotin_carb_N	8.33e-47	155.8	0.2
WP_072301478.1	NUDIX	2.31e-23	80.2	0.0
WP_061546821.1	NUDIX	2.20e-20	70.6	0.1
WP_009342361.1	NUDIX	2.41e-20	70.5	0.0
WP_061546782.1	NUDIX	2.20e-13	48.0	0.0
WP_153016582.1	NUDIX	1.07e-12	45.7	0.0
WP_061545913.1	NUDIX	2.22e-10	38.2	0.0
WP_061545195.1	NUDIX	9.84e-10	36.1	0.0
WP_061547174.1	Biotin_lipoyl	6.43e-26	87.6	0.3
WP_061545139.1	Biotin_lipoyl	3.98e-18	62.6	0.8
WP_061545523.1	Biotin_lipoyl	5.56e-07	26.9	1.1
WP_061545681.1	Biotin_lipoyl	3.71e-06	24.3	0.1
WP_061545200.1	Biotin_lipoyl	8.79e-06	23.1	0.5
WP_061546443.1	ECH_1	3.29e-75	250.2	0.0
WP_061545280.1	Nitroreductase	1.43e-36	123.7	0.0
WP_061544954.1	Nitroreductase	1.61e-35	120.3	0.6
WP_176481481.1	Nitroreductase	3.83e-21	73.5	0.7
WP_061546322.1	FAD_binding_2	2.75e-116	386.7	3.4
WP_061545274.1	FAD_binding_2	1.13e-92	308.9	0.9
WP_061545987.1	FAD_binding_2	1.45e-33	114.2	0.7
WP_153016600.1	FAD_binding_2	2.63e-23	80.4	2.8
WP_061546694.1	FAD_binding_2	3.44e-12	43.8	4.9
WP_061545584.1	FAD_binding_2	4.47e-09	33.5	0.2
WP_061546714.1	FAD_binding_2	4.68e-09	33.5	0.4
WP_061546299.1	FAD_binding_2	1.77e-08	31.6	0.3
WP_061546720.1	FAD_binding_2	1.92e-08	31.5	0.2
WP_061546055.1	FAD_binding_2	8.85e-08	29.3	0.6
WP_061546753.1	FAD_binding_2	5.27e-07	26.7	2.1
WP_009343775.1	FAD_binding_2	2.26e-06	24.6	1.0
WP_061544886.1	Carboxyl_trans	5.63e-24	82.1	0.0
WP_061545383.1	Carboxyl_trans	1.35e-14	51.2	0.3
WP_061546066.1	B12-binding	1.40e-22	77.4	0.0
WP_061545024.1	B12-binding	3.74e-21	72.8	0.0
WP_061545696.1	B12-binding	1.21e-12	45.3	0.0
WP_061546191.1	Biotin_carb_C	4.42e-44	146.6	0.0
WP_061546173.1	CPSase_L_D2	4.05e-112	370.4	0.3
WP_061546191.1	CPSase_L_D2	8.31e-87	287.7	0.0
WP_061546672.1	CPSase_L_D2	7.77e-07	26.4	0.1
WP_061546946.1	CPSase_L_D2	5.36e-06	23.6	0.3
WP_061546322.1	Succ_DH_flav_C	3.41e-44	147.5	0.1
WP_061545274.1	Succ_DH_flav_C	4.95e-16	56.4	0.0
WP_061545987.1	Succ_DH_flav_C	5.57e-13	46.6	0.0
WP_061545383.1	ACCA	1.32e-141	468.8	0.0
WP_061547140.1	ADH_N	1.19e-28	97.0	0.3
WP_061545560.1	ADH_N	2.64e-24	83.0	0.2
WP_061546154.1	ADH_N	1.44e-07	29.3	0.0
WP_100053630.1	FumaraseC_C	3.49e-23	79.4	1.3
WP_100054355.1	Fer2_3	3.26e-34	114.7	3.1
WP_061545118.1	Fer4_8	5.58e-13	46.8	3.0
WP_100054355.1	Fer4_8	5.11e-12	43.8	7.0
WP_006277437.1	Fer4_8	3.41e-09	34.7	9.9
WP_061544957.1	Fer4_8	2.96e-08	31.7	6.3
WP_061546130.1	Fer4_8	1.24e-07	29.7	8.1
WP_006277810.1	Fer4_8	4.09e-07	28.1	9.0
