strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_338430134.1,3-oxoacyl-[acyl-carrier-protein] reductase [Synechococcus elongatus],adh_short,adh_short,2.7406866198281934e-68,226.60775756835938,6.42095947265625,3.3108422662900055e-68,226.33993530273438
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_208672814.1,glucose 1-dehydrogenase [Synechococcus elongatus],adh_short,adh_short,4.982898007800363e-56,186.60488891601562,0.0789642333984375,9.390309404804166e-56,185.70692443847656
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_338430774.1,SDR family oxidoreductase [Synechococcus elongatus],adh_short,adh_short,2.5941978605781587e-50,167.95201110839844,0.0004730224609375,3.4123850030878873e-50,167.56353759765625
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_338429401.1,SDR family NAD(P)-dependent oxidoreductase [Synechococcus elongatus],adh_short,adh_short,3.557342323119252e-28,95.71908569335938,0.03235626220703125,1.5115084485043441e-27,93.66900634765625
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_208675278.1,enoyl-ACP reductase FabI [Synechococcus elongatus],adh_short,adh_short,5.897290779655156e-22,75.42491149902344,0.142242431640625,1.106447493106783e-21,74.53321075439453
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_338429474.1,protochlorophyllide reductase [Synechococcus elongatus],adh_short,adh_short,7.035928143404422e-20,68.64878845214844,0.00040435791015625,4.0257900309628476e-18,62.91400909423828
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_338460753.1,SDR family NAD(P)-dependent oxidoreductase [Synechococcus elongatus],adh_short,adh_short,5.267920642111902e-09,33.1661376953125,0.005420684814453125,5.942876296094813e-09,32.995296478271484
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_338431516.1,bifunctional sterol desaturase/short chain dehydrogenase [Synechococcus elongatus],adh_short,adh_short,4.0377843829011864e-08,30.28002166748047,0.02762603759765625,1.5465456515162243e-07,28.376989364624023
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_338429960.1,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase [Synechococcus elongatus],ADH_zinc_N,ADH_zinc_N,6.735280451085374e-26,88.09689331054688,0.03723907470703125,1.2262279440646034e-25,87.25544738769531
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_338429710.1,zinc-dependent alcohol dehydrogenase family protein [Synechococcus elongatus],ADH_zinc_N,ADH_zinc_N,8.573384283663363e-23,78.05706787109375,0.02190399169921875,2.1488458752633266e-22,76.76667022705078
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_338430249.1,beta-ketoacyl-ACP synthase III [Synechococcus elongatus],Thiolase_N,Thiolase_N,3.849496006354825e-07,27.03740692138672,1.232583999633789,8.916620162769284e-07,25.841764450073242
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_338431525.1,class II fumarate hydratase [Synechococcus elongatus],Lyase_1,Lyase_1,1.2812324627170336e-109,363.72845458984375,0.002166748046875,1.5865635793958547e-109,363.42352294921875
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_338429421.1,argininosuccinate lyase [Synechococcus elongatus],Lyase_1,Lyase_1,2.1895161832931526e-78,261.13348388671875,0.00042724609375,3.8491384736682837e-78,260.3286437988281
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_338429957.1,adenylosuccinate lyase [Synechococcus elongatus],Lyase_1,Lyase_1,9.482528450611572e-63,209.76959228515625,0.0418701171875,1.3041504463890172e-62,209.31495666503906
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_208674110.1,acetyl-CoA carboxylase biotin carboxylase subunit [Synechococcus elongatus],Biotin_carb_N,Biotin_carb_N,3.1195141651303872e-46,153.73822021484375,2.4676361083984375,7.995225170695541e-46,152.42254638671875
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_338431100.1,NUDIX hydrolase [Synechococcus elongatus],NUDIX,NUDIX,1.5122018214020439e-24,83.8484878540039,0.009490966796875,1.722276528749655e-24,83.6656265258789
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_338430123.1,A/G-specific adenine glycosylase [Synechococcus elongatus],NUDIX,NUDIX,2.597062153674324e-21,73.37760162353516,0.24678802490234375,4.405211989169891e-21,72.6347885131836
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_208678745.1,NUDIX hydrolase [Synechococcus elongatus],NUDIX,NUDIX,2.7001731461010985e-20,70.08599090576172,0.827117919921875,3.310693979161326e-20,69.7994384765625
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_338429626.1,bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase [Synechococcus elongatus],NUDIX,NUDIX,4.2234682234440125e-20,69.45713806152344,0.0175018310546875,9.639396786278046e-20,68.29710388183594
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_338460782.1,NUDIX hydrolase [Synechococcus elongatus],NUDIX,NUDIX,6.768495303590347e-17,59.083518981933594,0.25414276123046875,8.976958445954936e-17,58.68655776977539
GCF_036630115.1_IITB5,GCF_036630115.1_IITB5,WP_425330116.1,acetyl-CoA carboxylase biotin carboxyl carrier protein [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,1.9599286846365656e-23,79.4049072265625,0.014404296875,3.18403612260332e-23,78.7297134399414
