strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
AS9601,GCF_000015645.1,WP_011817965.1,3-oxoacyl-[acyl-carrier-protein] reductase [Prochlorococcus marinus],adh_short,adh_short,1.0550907917886024e-67,224.13604736328125,1.605438232421875,1.2827914078655456e-67,223.859130859375
AS9601,GCF_000015645.1,WP_011818043.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,1.6164220904144303e-49,164.79794311523438,0.003570556640625,1.9567548626236134e-49,164.5271759033203
AS9601,GCF_000015645.1,WP_011817876.1,3-oxoacyl-ACP reductase [Prochlorococcus marinus],adh_short,adh_short,5.2506554837822805e-36,120.70970916748047,0.04477691650390625,6.663656591905548e-36,120.37199401855469
AS9601,GCF_000015645.1,WP_011818136.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,1.3349359528555407e-35,119.38739776611328,0.00055694580078125,1.5629175551247562e-35,119.1639633178711
AS9601,GCF_000015645.1,WP_011818978.1,oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,3.505541073348671e-35,118.01924896240234,0.02280426025390625,2.2949168422026434e-34,115.35662078857422
AS9601,GCF_000015645.1,WP_011818205.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,4.874203864941973e-26,88.18536376953125,0.00782012939453125,7.348140353901278e-26,87.6036605834961
AS9601,GCF_000015645.1,WP_011818050.1,protochlorophyllide reductase [Prochlorococcus marinus],adh_short,adh_short,1.1049041345521255e-22,77.23670196533203,0.00333404541015625,5.589465236943909e-18,61.887508392333984
AS9601,GCF_000015645.1,WP_011818050.1,protochlorophyllide reductase [Prochlorococcus marinus],adh_short,adh_short,1.1049041345521255e-22,77.23670196533203,0.00333404541015625,0.005037070967617597,13.090312004089355
AS9601,GCF_000015645.1,WP_011817774.1,enoyl-ACP reductase FabI [Prochlorococcus marinus],adh_short,adh_short,5.8099337238592514e-18,61.83268737792969,0.000732421875,7.63587857022433e-18,61.445411682128906
AS9601,GCF_000015645.1,WP_011817923.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,1.2570535882169587e-16,57.476016998291016,0.000530242919921875,1.4896953478338414e-15,53.972415924072266
AS9601,GCF_000015645.1,WP_011818138.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,8.56369373242908e-16,54.756954193115234,0.005481719970703125,2.5956634017361135e-13,46.65959167480469
AS9601,GCF_000015645.1,WP_011818138.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,8.56369373242908e-16,54.756954193115234,0.005481719970703125,0.8408162097716666,5.83827018737793
AS9601,GCF_000015645.1,WP_011817987.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,1.3789135037092346e-07,27.978105545043945,0.07231903076171875,1.8776659633179117e-06,24.277624130249023
AS9601,GCF_000015645.1,WP_011818848.1,UDP-glucose 4-epimerase GalE [Prochlorococcus marinus],adh_short,adh_short,4.378600046492444e-06,23.07777214050293,0.0024204254150390625,6.566659738032353e-06,22.50345802307129
AS9601,GCF_000015645.1,WP_167315827.1,polysaccharide biosynthesis protein [Prochlorococcus marinus],adh_short,adh_short,4.70662311866556e-06,22.975399017333984,0.010919570922851562,7.696392402050939e-06,22.278499603271484
AS9601,GCF_000015645.1,WP_011818872.1,zinc-binding dehydrogenase [Prochlorococcus marinus],ADH_zinc_N,ADH_zinc_N,1.2979645562804407e-22,76.9182357788086,0.00653076171875,3.112829412494931e-22,75.6897964477539
AS9601,GCF_000015645.1,WP_011819079.1,class II fumarate hydratase [Prochlorococcus marinus],Lyase_1,Lyase_1,1.6445292654554772e-94,313.5342712402344,0.008880615234375,2.131738851717782e-94,313.1640930175781
AS9601,GCF_000015645.1,WP_011817489.1,argininosuccinate lyase [Prochlorococcus marinus],Lyase_1,Lyase_1,8.200868258472327e-72,238.9752197265625,0.0003662109375,1.028057531109105e-71,238.6527862548828
AS9601,GCF_000015645.1,WP_011819078.1,adenylosuccinate lyase [Prochlorococcus marinus],Lyase_1,Lyase_1,2.4502203783845367e-52,175.00152587890625,0.0172119140625,3.37391078386673e-52,174.545166015625
AS9601,GCF_000015645.1,WP_011817550.1,acetyl-CoA carboxylase biotin carboxylase subunit [Prochlorococcus marinus],Biotin_carb_N,Biotin_carb_N,1.2545327611921817e-47,157.6765594482422,0.2420654296875,3.9770056374278534e-47,156.06369018554688
AS9601,GCF_000015645.1,WP_011817778.1,NUDIX hydrolase [Prochlorococcus marinus],NUDIX,NUDIX,1.6977931564125052e-14,50.760005950927734,0.014617919921875,2.3512323554509456e-14,50.302276611328125
AS9601,GCF_000015645.1,WP_011817504.1,acetyl-CoA carboxylase biotin carboxyl carrier protein [Prochlorococcus marinus],Biotin_lipoyl,Biotin_lipoyl,3.021965410250116e-23,78.2510986328125,0.2858734130859375,4.5022514208031024e-23,77.69636535644531
AS9601,GCF_000015645.1,WP_011817915.1,dihydrolipoamide acetyltransferase family protein [Prochlorococcus marinus],Biotin_lipoyl,Biotin_lipoyl,3.3529924736423833e-19,65.2906494140625,0.13280487060546875,9.295928503274292e-19,63.87174606323242
AS9601,GCF_000015645.1,WP_011818112.1,"1,4-dihydroxy-2-naphthoyl-CoA synthase [Prochlorococcus marinus]",ECH_1,ECH_1,2.6645303491112775e-67,223.5065155029297,0.000946044921875,3.3344968155705465e-67,223.18740844726562
AS9601,GCF_000015645.1,WP_011817592.1,L-aspartate oxidase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,7.094490149713204e-88,292.2899475097656,0.261474609375,8.41328366032689e-88,292.0460510253906
AS9601,GCF_000015645.1,WP_011818687.1,FAD-dependent oxidoreductase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,8.595436273647612e-82,272.2518615722656,0.001434326171875,1.0634606847713923e-81,271.94732666015625
AS9601,GCF_000015645.1,WP_011817526.1,glycine oxidase ThiO [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,3.8407096198873254e-11,39.53561019897461,0.002841949462890625,7.89936311796359e-11,38.5040168762207
AS9601,GCF_000015645.1,WP_011817703.1,NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,5.2440130737952924e-11,39.0900993347168,0.9608726501464844,1.2636509951551918e-07,27.950166702270508
AS9601,GCF_000015645.1,WP_011817703.1,NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,5.2440130737952924e-11,39.0900993347168,0.9608726501464844,0.44397031205011456,6.389035701751709
AS9601,GCF_000015645.1,WP_011818916.1,dihydrolipoyl dehydrogenase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,4.0335649190772145e-09,32.8776741027832,3.7701988220214844,5.766354940427586e-05,19.190717697143555
AS9601,GCF_000015645.1,WP_011818916.1,dihydrolipoyl dehydrogenase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,4.0335649190772145e-09,32.8776741027832,3.7701988220214844,0.009262905495536612,11.924827575683594
AS9601,GCF_000015645.1,WP_011818987.1,NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,4.850399625213822e-09,32.613868713378906,0.642486572265625,1.7591078252979835e-07,27.476943969726562
AS9601,GCF_000015645.1,WP_011818028.1,NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,9.366506085882988e-08,28.3785400390625,0.006561279296875,1.2311805964489405e-07,27.98740577697754
AS9601,GCF_000015645.1,WP_011817833.1,phytoene desaturase family protein [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,2.3427209574459595e-07,27.067087173461914,0.2339458465576172,1.670694332216872e-06,24.25678825378418
AS9601,GCF_000015645.1,WP_011818152.1,GMC oxidoreductase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,1.0438903829932625e-06,24.929546356201172,2.125701904296875,1.4337140422249061e-06,24.475618362426758
AS9601,GCF_000015645.1,WP_011819178.1,"C-3',4' desaturase CrtD [Prochlorococcus marinus]",FAD_binding_2,FAD_binding_2,1.0624464471310377e-06,24.904340744018555,3.1228675842285156,1.6850027193084741e-06,24.24458885192871
AS9601,GCF_000015645.1,WP_011818750.1,thioredoxin-disulfide reductase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,3.959506788287038e-06,23.022409439086914,3.1611099243164062,3.100345718198749e-05,20.078401565551758
AS9601,GCF_000015645.1,WP_011818652.1,carotenoid isomerase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,4.134396943871433e-06,22.96057891845703,3.6380863189697266,2.6497324997613928e-05,20.30307388305664
AS9601,GCF_000015645.1,WP_011818290.1,"acetyl-CoA carboxylase, carboxyltransferase subunit beta [Prochlorococcus marinus]",Carboxyl_trans,Carboxyl_trans,2.7806051784366935e-21,72.449462890625,0.086669921875,6.765357177513618e-21,71.17579650878906
AS9601,GCF_000015645.1,WP_011818042.1,acetyl-CoA carboxylase carboxyltransferase subunit alpha [Prochlorococcus marinus],Carboxyl_trans,Carboxyl_trans,1.936471825721324e-11,39.984127044677734,0.1005096435546875,2.278793175494202e-11,39.750953674316406
AS9601,GCF_000015645.1,WP_011818423.1,methionine synthase [Prochlorococcus marinus],B12-binding,B12-binding,7.986976833619682e-20,67.68437194824219,0.01476287841796875,5.174098095023141e-19,65.06501770019531
AS9601,GCF_000015645.1,WP_011819112.1,photosystem II high light acclimation radical SAM protein [Prochlorococcus marinus],B12-binding,B12-binding,3.4848333162542537e-06,23.65532684326172,0.0555877685546875,6.965956957853995,3.316453695297241
AS9601,GCF_000015645.1,WP_011819112.1,photosystem II high light acclimation radical SAM protein [Prochlorococcus marinus],B12-binding,B12-binding,3.4848333162542537e-06,23.65532684326172,0.0555877685546875,0.0005528694328423213,16.55234146118164
AS9601,GCF_000015645.1,WP_011817550.1,acetyl-CoA carboxylase biotin carboxylase subunit [Prochlorococcus marinus],Biotin_carb_C,Biotin_carb_C,2.7860476662805665e-44,146.45541381835938,0.000335693359375,5.063228996465928e-44,145.6208038330078
AS9601,GCF_000015645.1,WP_011818481.1,carbamoyl-phosphate synthase large subunit [Prochlorococcus marinus],CPSase_L_D2,CPSase_L_D2,3.674962657060123e-108,356.65814208984375,0.079315185546875,2.8956177259942673e-71,236.0983123779297
AS9601,GCF_000015645.1,WP_011818481.1,carbamoyl-phosphate synthase large subunit [Prochlorococcus marinus],CPSase_L_D2,CPSase_L_D2,3.674962657060123e-108,356.65814208984375,0.079315185546875,2.7284380527988673e-35,118.55216217041016
AS9601,GCF_000015645.1,WP_011817550.1,acetyl-CoA carboxylase biotin carboxylase subunit [Prochlorococcus marinus],CPSase_L_D2,CPSase_L_D2,3.740549291408774e-85,281.4801940917969,0.104766845703125,5.70388505178799e-85,280.8814697265625
AS9601,GCF_000015645.1,WP_011818924.1,D-alanine--D-alanine ligase family protein [Prochlorococcus marinus],CPSase_L_D2,CPSase_L_D2,4.825886685290487e-09,32.78752899169922,0.029575347900390625,8.91981879912512e-09,31.91582489013672
AS9601,GCF_000015645.1,WP_011818528.1,formate-dependent phosphoribosylglycinamide formyltransferase [Prochlorococcus marinus],CPSase_L_D2,CPSase_L_D2,9.527802349925832e-08,28.554738998413086,0.003337860107421875,1.6760270513062123e-07,27.75325584411621
AS9601,GCF_000015645.1,WP_011818687.1,FAD-dependent oxidoreductase [Prochlorococcus marinus],Succ_DH_flav_C,Succ_DH_flav_C,5.602743717627722e-20,68.39566040039062,0.0150909423828125,1.0472927313701048e-19,67.51699829101562
AS9601,GCF_000015645.1,WP_011817592.1,L-aspartate oxidase [Prochlorococcus marinus],Succ_DH_flav_C,Succ_DH_flav_C,3.856696544692856e-11,39.811241149902344,0.28458404541015625,2.2919296535251386e-10,37.30791473388672
AS9601,GCF_000015645.1,WP_011818042.1,acetyl-CoA carboxylase carboxyltransferase subunit alpha [Prochlorococcus marinus],ACCA,ACCA,1.917627759540985e-139,460.86322021484375,0.0020751953125,2.21444653717434e-139,460.6579284667969
AS9601,GCF_000015645.1,WP_011818872.1,zinc-binding dehydrogenase [Prochlorococcus marinus],ADH_N,ADH_N,1.0060386697502983e-13,48.25557327270508,0.26122283935546875,1.0060386697502983e-13,48.25557327270508
AS9601,GCF_000015645.1,WP_011819079.1,class II fumarate hydratase [Prochlorococcus marinus],FumaraseC_C,FumaraseC_C,3.689350341838241e-18,62.52126693725586,0.22483444213867188,8.275837021453025e-18,61.397762298583984
AS9601,GCF_000015645.1,WP_011818760.1,2Fe-2S iron-sulfur cluster-binding protein [Prochlorococcus marinus],Fer2_3,Fer2_3,4.196781686686201e-07,26.758956909179688,0.083770751953125,4.196781686686201e-07,26.758956909179688
AS9601,GCF_000015645.1,WP_011817652.1,NAD(P)H-quinone oxidoreductase subunit I [Prochlorococcus marinus],Fer4_8,Fer4_8,3.366794522349254e-07,27.539752960205078,8.903003692626953,6.549609894462412e-07,26.613943099975586
AS9601,GCF_000015645.1,WP_011817652.1,NAD(P)H-quinone oxidoreductase subunit I [Prochlorococcus marinus],Fer4_10,Fer4_10,7.138231776078005e-11,38.69242477416992,17.34280776977539,2.872946865031584e-09,33.55399703979492
AS9601,GCF_000015645.1,WP_011817652.1,NAD(P)H-quinone oxidoreductase subunit I [Prochlorococcus marinus],Fer4_10,Fer4_10,7.138231776078005e-11,38.69242477416992,17.34280776977539,0.00030423922328937287,17.46411895751953
AS9601,GCF_000015645.1,WP_007099573.1,MULTISPECIES: photosystem I iron-sulfur center protein PsaC [Cyanophyceae],Fer4_10,Fer4_10,2.6580915978639657e-09,33.66209030151367,14.854549407958984,2.685648337878183e-06,24.041635513305664
AS9601,GCF_000015645.1,WP_007099573.1,MULTISPECIES: photosystem I iron-sulfur center protein PsaC [Cyanophyceae],Fer4_10,Fer4_10,2.6580915978639657e-09,33.66209030151367,14.854549407958984,0.00010716061003314345,18.915218353271484
AS9601,GCF_000015645.1,WP_007099573.1,MULTISPECIES: photosystem I iron-sulfur center protein PsaC [Cyanophyceae],Fer4_17,Fer4_17,1.5821497439385043e-08,31.801509857177734,9.46536636352539,0.000750334251701364,16.82480239868164
AS9601,GCF_000015645.1,WP_007099573.1,MULTISPECIES: photosystem I iron-sulfur center protein PsaC [Cyanophyceae],Fer4_17,Fer4_17,1.5821497439385043e-08,31.801509857177734,9.46536636352539,7.929728053972614e-05,19.9508056640625
AS9601,GCF_000015645.1,WP_011817774.1,enoyl-ACP reductase FabI [Prochlorococcus marinus],adh_short_C2,adh_short_C2,2.5756877557830193e-83,275.9835510253906,0.002685546875,2.902552506987882e-83,275.813720703125
AS9601,GCF_000015645.1,WP_011817965.1,3-oxoacyl-[acyl-carrier-protein] reductase [Prochlorococcus marinus],adh_short_C2,adh_short_C2,1.9558826333299744e-66,220.7323455810547,0.4177703857421875,2.2325470709324307e-66,220.54428100585938
AS9601,GCF_000015645.1,WP_011817876.1,3-oxoacyl-ACP reductase [Prochlorococcus marinus],adh_short_C2,adh_short_C2,2.798303078099874e-48,161.3076171875,0.00421142578125,3.208459735140964e-48,161.11318969726562
AS9601,GCF_000015645.1,WP_011818043.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short_C2,adh_short_C2,4.884945022965481e-38,127.78475952148438,0.00079345703125,5.632722310603973e-38,127.58229064941406
AS9601,GCF_000015645.1,WP_011818136.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short_C2,adh_short_C2,9.56836952904349e-25,84.27893829345703,0.00045013427734375,1.2590149698196499e-24,83.88880920410156
AS9601,GCF_000015645.1,WP_011818205.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short_C2,adh_short_C2,2.165399464588348e-20,70.02561950683594,0.0024871826171875,2.7850849230793574e-20,69.6678695678711
AS9601,GCF_000015645.1,WP_011818978.1,oxidoreductase [Prochlorococcus marinus],adh_short_C2,adh_short_C2,8.201385149853485e-17,58.3133659362793,0.0030517578125,1.9768921080360657e-16,57.0627326965332
AS9601,GCF_000015645.1,WP_011817923.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short_C2,adh_short_C2,2.749494015261205e-11,40.228355407714844,7.62939453125e-05,4.8078761306093086e-11,39.43397521972656
AS9601,GCF_000015645.1,WP_011818050.1,protochlorophyllide reductase [Prochlorococcus marinus],adh_short_C2,adh_short_C2,1.1099652565001804e-10,38.24467849731445,0.000324249267578125,1.40696593827601e-08,31.36145782470703
AS9601,GCF_000015645.1,WP_011818050.1,protochlorophyllide reductase [Prochlorococcus marinus],adh_short_C2,adh_short_C2,1.1099652565001804e-10,38.24467849731445,0.000324249267578125,1.6684347655586256,4.934457302093506
AS9601,GCF_000015645.1,WP_011818156.1,lactoylglutathione lyase [Prochlorococcus marinus],Glyoxalase_4,Glyoxalase_4,2.698846410179786e-09,34.09257125854492,0.001773834228515625,1.9298943226510578e-08,31.34328269958496
