# target_name	query_name	e_value	score	bias
WP_002766731.1	adh_short	1.03e-71	238.6	5.9
WP_002786919.1	adh_short	2.28e-57	191.7	1.5
WP_002788508.1	adh_short	2.23e-56	188.5	6.6
WP_002789334.1	adh_short	1.29e-54	182.8	0.1
WP_002777481.1	adh_short	5.62e-53	177.4	0.0
WP_002789828.1	adh_short	7.66e-50	167.2	0.4
WP_002789741.1	adh_short	4.05e-49	164.8	3.6
WP_002790473.1	adh_short	5.38e-46	154.6	0.0
WP_002741181.1	adh_short	2.25e-45	152.6	0.0
WP_002786918.1	adh_short	4.97e-38	128.6	5.7
WP_002760333.1	adh_short	1.79e-26	90.9	0.1
WP_004161725.1	adh_short	5.02e-23	79.7	0.0
WP_002786938.1	adh_short	3.40e-19	67.2	1.5
WP_002787262.1	adh_short	1.80e-17	61.6	0.0
WP_002787595.1	adh_short	5.21e-16	56.8	0.0
WP_002787340.1	adh_short	9.47e-16	55.9	0.0
WP_002789976.1	adh_short	8.10e-15	52.9	0.0
WP_043995858.1	adh_short	9.22e-14	49.5	0.1
WP_002789970.1	adh_short	5.98e-13	46.8	0.0
WP_002786195.1	adh_short	9.99e-11	39.6	0.0
WP_004161721.1	adh_short	2.22e-08	31.9	0.1
WP_002787582.1	ADH_zinc_N	5.85e-28	95.5	0.2
WP_002786840.1	ADH_zinc_N	2.74e-26	90.1	0.0
WP_002788534.1	ADH_zinc_N	5.26e-23	79.5	0.9
WP_002786196.1	ADH_zinc_N	2.13e-13	48.4	0.0
WP_002787999.1	ADH_zinc_N	4.16e-06	24.9	0.2
WP_002789743.1	Thiolase_N	2.67e-80	267.6	0.0
WP_004161725.1	Thiolase_N	4.71e-11	40.6	3.0
WP_002787483.1	Thiolase_N	3.65e-09	34.4	0.3
WP_002787982.1	Lyase_1	9.49e-101	335.4	0.0
WP_002735516.1	Lyase_1	2.36e-77	258.5	0.0
WP_043995534.1	Lyase_1	1.72e-61	206.4	0.0
WP_004161563.1	Biotin_carb_N	1.57e-46	155.5	0.6
WP_002787499.1	NUDIX	5.52e-23	79.6	0.0
WP_002790493.1	NUDIX	2.35e-21	74.3	0.0
WP_002776703.1	NUDIX	1.42e-19	68.5	0.1
WP_002766065.1	NUDIX	1.88e-17	61.6	0.0
WP_002789432.1	NUDIX	1.94e-17	61.6	0.1
WP_002764557.1	NUDIX	3.11e-13	48.0	0.0
