strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
M14.2,GCF_050422935.1,WP_208674361.1,3-oxoacyl-[acyl-carrier-protein] reductase [Synechococcus elongatus],adh_short,adh_short,1.0831242610463579e-67,224.60984802246094,6.1629486083984375,1.3084085275284173e-67,224.34207153320312
M14.2,GCF_050422935.1,WP_208672814.1,glucose 1-dehydrogenase [Synechococcus elongatus],adh_short,adh_short,4.808442060043676e-56,186.60488891601562,0.0789642333984375,9.061545837021086e-56,185.70692443847656
M14.2,GCF_050422935.1,WP_208673027.1,SDR family oxidoreductase [Synechococcus elongatus],adh_short,adh_short,1.5397642277060506e-50,168.64073181152344,0.0003814697265625,1.9584581603278185e-50,168.2998809814453
M14.2,GCF_050422935.1,WP_208675540.1,SDR family oxidoreductase [Synechococcus elongatus],adh_short,adh_short,1.674654912678173e-30,103.2621841430664,0.0003814697265625,1.9311945805885396e-30,103.0602035522461
M14.2,GCF_050422935.1,WP_208675862.1,SDR family NAD(P)-dependent oxidoreductase [Synechococcus elongatus],adh_short,adh_short,9.066747790338071e-28,94.3427505493164,0.01361083984375,4.508257081594123e-27,92.06990051269531
M14.2,GCF_050422935.1,WP_208675278.1,enoyl-ACP reductase FabI [Synechococcus elongatus],adh_short,adh_short,5.690821080586267e-22,75.42491149902344,0.142242431640625,1.0677097252956045e-21,74.53321075439453
M14.2,GCF_050422935.1,WP_208675696.1,protochlorophyllide reductase [Synechococcus elongatus],adh_short,adh_short,8.098501780590844e-21,71.66194915771484,0.000274658203125,5.631484788232597e-19,65.65083312988281
M14.2,GCF_050422935.1,WP_208676643.1,bifunctional sterol desaturase/short chain dehydrogenase [Synechococcus elongatus],adh_short,adh_short,5.179431299757184e-09,33.13964080810547,0.020092010498046875,2.096099146457824e-08,31.15859031677246
M14.2,GCF_050422935.1,WP_208674873.1,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase [Synechococcus elongatus],ADH_zinc_N,ADH_zinc_N,6.476737211662289e-26,88.10181427001953,0.03723907470703125,1.1832965499616851e-25,87.25544738769531
M14.2,GCF_050422935.1,WP_208675196.1,zinc-dependent alcohol dehydrogenase family protein [Synechococcus elongatus],ADH_zinc_N,ADH_zinc_N,7.327396882778549e-23,78.2275619506836,0.016021728515625,1.7445483070495856e-22,77.00933837890625
M14.2,GCF_050422935.1,WP_208674141.1,beta-ketoacyl-ACP synthase III [Synechococcus elongatus],Thiolase_N,Thiolase_N,5.88107205758353e-08,29.660995483398438,1.0222454071044922,1.4947983146234e-07,28.33316993713379
M14.2,GCF_050422935.1,WP_208676621.1,class II fumarate hydratase [Synechococcus elongatus],Lyase_1,Lyase_1,9.99166757554542e-111,367.31719970703125,0.00360107421875,1.2302582336319345e-110,367.0203857421875
M14.2,GCF_050422935.1,WP_208675814.1,argininosuccinate lyase [Synechococcus elongatus],Lyase_1,Lyase_1,5.887584511413931e-79,262.95635986328125,0.000579833984375,1.539179279379868e-78,261.5854187011719
M14.2,GCF_050422935.1,WP_208674867.1,adenylosuccinate lyase [Synechococcus elongatus],Lyase_1,Lyase_1,1.60048204874741e-62,208.97201538085938,0.031951904296875,2.146673592555397e-62,208.5531463623047
M14.2,GCF_050422935.1,WP_208674110.1,acetyl-CoA carboxylase biotin carboxylase subunit [Synechococcus elongatus],Biotin_carb_N,Biotin_carb_N,3.0102970389989075e-46,153.73822021484375,2.4676361083984375,7.71530481460992e-46,152.42254638671875
M14.2,GCF_050422935.1,WP_208673349.1,NUDIX hydrolase [Synechococcus elongatus],NUDIX,NUDIX,4.378050984400203e-25,85.5408935546875,0.010894775390625,4.962733727903871e-25,85.36467742919922
M14.2,GCF_050422935.1,WP_370538807.1,A/G-specific adenine glycosylase [Synechococcus elongatus],NUDIX,NUDIX,2.740260828473212e-21,73.2520523071289,0.2168426513671875,4.579078190240415e-21,72.5302734375
M14.2,GCF_050422935.1,WP_208676013.1,NUDIX hydrolase [Synechococcus elongatus],NUDIX,NUDIX,1.9110576166203142e-20,70.52180480957031,0.59326171875,2.3515259198066213e-20,70.23023986816406
M14.2,GCF_050422935.1,WP_208675413.1,bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase [Synechococcus elongatus],NUDIX,NUDIX,3.9182009427956957e-20,69.51250457763672,0.0657196044921875,8.950441430003805e-20,68.35124969482422
M14.2,GCF_050422935.1,WP_338460782.1,NUDIX hydrolase [Synechococcus elongatus],NUDIX,NUDIX,6.531523914405563e-17,59.083518981933594,0.25414276123046875,8.662666684170956e-17,58.68655776977539
M14.2,GCF_050422935.1,WP_208675574.1,acetyl-CoA carboxylase biotin carboxyl carrier protein [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,2.0414198400132798e-24,82.5025863647461,0.04970550537109375,3.93341346889694e-24,81.58998107910156
M14.2,GCF_050422935.1,WP_338441714.1,dihydrolipoamide acetyltransferase family protein [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,7.198115338780071e-18,61.525386810302734,0.3343467712402344,1.2629207181981062e-17,60.74311828613281
M14.2,GCF_050422935.1,WP_208674746.1,efflux RND transporter periplasmic adaptor subunit [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,8.853022478649987e-08,29.197906494140625,1.0117073059082031,0.14153347677047895,9.321325302124023
M14.2,GCF_050422935.1,WP_208674746.1,efflux RND transporter periplasmic adaptor subunit [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,8.853022478649987e-08,29.197906494140625,1.0117073059082031,0.0004618608833316781,17.28746795654297
M14.2,GCF_050422935.1,WP_208676207.1,efflux RND transporter periplasmic adaptor subunit [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,2.7532709104319656e-07,27.6191349029541,0.27242469787597656,0.0067105896571259755,13.563674926757812
M14.2,GCF_050422935.1,WP_208676207.1,efflux RND transporter periplasmic adaptor subunit [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,2.7532709104319656e-07,27.6191349029541,0.27242469787597656,0.03534751518613843,11.251708030700684
M14.2,GCF_050422935.1,WP_208677108.1,"1,4-dihydroxy-2-naphthoyl-CoA synthase [Synechococcus elongatus]",ECH_1,ECH_1,1.44368442088793e-74,247.82289123535156,0.001617431640625,1.7262353780806958e-74,247.56858825683594
M14.2,GCF_050422935.1,WP_208674897.1,NAD(P)H-dependent oxidoreductase [Synechococcus elongatus],Nitroreductase,Nitroreductase,1.5915716237491657e-19,67.99343872070312,0.14035797119140625,2.4672607257447694e-19,67.37403869628906
M14.2,GCF_050422935.1,WP_261789808.1,L-aspartate oxidase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,3.631547960924868e-95,316.8211975097656,1.603424072265625,3.631547960924868e-95,316.8211975097656
M14.2,GCF_050422935.1,WP_208674430.1,fumarate reductase/succinate dehydrogenase flavoprotein subunit [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,5.244737213125986e-50,168.0687713623047,2.70343017578125,6.975877438460119e-50,167.66073608398438
M14.2,GCF_050422935.1,WP_208672781.1,phytoene desaturase family protein [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,2.3634502392878128e-11,40.74599075317383,2.4684715270996094,2.1000401048791745e-06,24.44540786743164
M14.2,GCF_050422935.1,WP_208672781.1,phytoene desaturase family protein [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,2.3634502392878128e-11,40.74599075317383,2.4684715270996094,0.0013615271805214426,15.183554649353027
M14.2,GCF_050422935.1,WP_208673662.1,carotenoid isomerase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,2.313236655605938e-09,34.18886184692383,3.18023681640625,1.3229224331711642e-05,21.812551498413086
M14.2,GCF_050422935.1,WP_208673818.1,FAD-dependent oxidoreductase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,2.642408986174728e-09,33.998538970947266,1.2805595397949219,7.361801620909577e-09,32.53279495239258
M14.2,GCF_050422935.1,WP_208674948.1,flavin monoamine oxidase family protein [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,2.8073673619501318e-08,30.61798667907715,1.5387744903564453,5.882645268896389e-08,29.559736251831055
M14.2,GCF_050422935.1,WP_208672570.1,"C-3',4' desaturase CrtD [Synechococcus elongatus]",FAD_binding_2,FAD_binding_2,8.804136911292932e-08,28.98292350769043,10.526308059692383,0.0002575691840534369,17.56549835205078
M14.2,GCF_050422935.1,WP_208672570.1,"C-3',4' desaturase CrtD [Synechococcus elongatus]",FAD_binding_2,FAD_binding_2,8.804136911292932e-08,28.98292350769043,10.526308059692383,0.02219837419530208,11.190346717834473
M14.2,GCF_050422935.1,WP_208672931.1,flavin monoamine oxidase family protein [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,1.453480418203392e-07,28.265762329101562,0.31037139892578125,2.361948444380795e-07,27.57120132446289
M14.2,GCF_050422935.1,WP_208673122.1,dihydrolipoyl dehydrogenase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,2.38465567864655e-07,27.557514190673828,7.075267791748047,5.054034288041721e-05,19.895145416259766
M14.2,GCF_050422935.1,WP_208673122.1,dihydrolipoyl dehydrogenase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,2.38465567864655e-07,27.557514190673828,7.075267791748047,0.06375066492732481,9.681190490722656
M14.2,GCF_050422935.1,WP_338440834.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,2.575120265419863e-07,27.447589874267578,0.09053421020507812,8.714093252118019e-07,25.703704833984375
M14.2,GCF_050422935.1,WP_208676351.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,3.866264135126217e-07,26.86623191833496,0.5001602172851562,4.030290634049611e-06,23.512868881225586
M14.2,GCF_050422935.1,WP_370538779.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,9.507392295246839e-07,25.579065322875977,0.3415718078613281,1.8784810110422982e-06,24.604902267456055
M14.2,GCF_050422935.1,WP_208673224.1,FADH(2)-oxidizing methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase TrmFO [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,1.2114518383318327e-06,25.232397079467773,0.08650016784667969,1.9733094536212513e-06,24.53445053100586
M14.2,GCF_050422935.1,WP_208672844.1,"9,9'-di-cis-zeta-carotene desaturase [Synechococcus elongatus]",FAD_binding_2,FAD_binding_2,1.3587508093460479e-06,25.068248748779297,0.8905239105224609,2.709241086723657e-06,24.08103370666504
M14.2,GCF_050422935.1,WP_208675679.1,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,1.8474501634477207e-06,24.62873077392578,4.860511779785156,5.4477952271822134e-05,19.78782081604004
M14.2,GCF_050422935.1,WP_261789946.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,2.0379319976596438e-06,24.488353729248047,0.6250514984130859,2.986849236502143e-06,23.941484451293945
M14.2,GCF_050422935.1,WP_208673582.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,2.401521258697755e-06,24.253507614135742,0.03912162780761719,0.000980475136687124,15.653234481811523
M14.2,GCF_050422935.1,WP_208673582.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,2.401521258697755e-06,24.253507614135742,0.03912162780761719,1.2595700813048238,5.41312837600708
M14.2,GCF_050422935.1,WP_208676495.1,FAD-dependent hydroxylase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,6.386200332614604e-06,22.854393005371094,1.7065753936767578,1.7691540307798045e-05,21.39675521850586
M14.2,GCF_050422935.1,WP_208673153.1,"acetyl-CoA carboxylase, carboxyltransferase subunit beta [Synechococcus elongatus]",Carboxyl_trans,Carboxyl_trans,3.1338868288577315e-22,76.0929946899414,0.17736053466796875,5.341862809600025e-22,75.32906341552734
M14.2,GCF_050422935.1,WP_208673026.1,acetyl-CoA carboxylase carboxyltransferase subunit alpha [Synechococcus elongatus],Carboxyl_trans,Carboxyl_trans,4.09810056080857e-11,39.42677688598633,0.084014892578125,5.856514930712652e-11,38.91534423828125
M14.2,GCF_050422935.1,WP_208673569.1,methionine synthase [Synechococcus elongatus],B12-binding,B12-binding,9.470394405722286e-19,64.7230453491211,2.8146820068359375,1.1241744043520748e-17,61.25468826293945
M14.2,GCF_050422935.1,WP_208676732.1,B12-binding domain-containing radical SAM protein [Synechococcus elongatus],B12-binding,B12-binding,2.16704639616236e-13,47.42266845703125,0.077728271484375,4.610578570736853e-13,46.364253997802734
M14.2,GCF_050422935.1,WP_208674110.1,acetyl-CoA carboxylase biotin carboxylase subunit [Synechococcus elongatus],Biotin_carb_C,Biotin_carb_C,4.97401830388643e-42,139.71543884277344,0.0003204345703125,9.813197896686045e-42,138.76609802246094
M14.2,GCF_050422935.1,WP_370538810.1,carbamoyl-phosphate synthase large subunit [Synechococcus elongatus],CPSase_L_D2,CPSase_L_D2,7.232305701549849e-113,372.5466613769531,0.513427734375,9.058396055052139e-73,241.52658081054688
M14.2,GCF_050422935.1,WP_370538810.1,carbamoyl-phosphate synthase large subunit [Synechococcus elongatus],CPSase_L_D2,CPSase_L_D2,7.232305701549849e-113,372.5466613769531,0.513427734375,1.8414949785803887e-38,129.42428588867188
