# target_name	query_name	e_value	score	bias
WP_035735013.1	adh_short	6.78e-69	229.5	6.5
WP_014276846.1	adh_short	5.60e-57	190.6	0.1
WP_006617122.1	adh_short	2.89e-55	185.1	0.1
WP_014276372.1	adh_short	2.74e-50	168.8	8.8
WP_006617155.1	adh_short	3.52e-50	168.5	0.0
WP_006620187.1	adh_short	6.41e-47	157.8	0.0
WP_014277343.1	adh_short	2.77e-46	155.8	0.0
WP_006617575.1	adh_short	1.29e-42	143.8	0.0
WP_006618617.1	adh_short	1.16e-40	137.4	0.2
WP_006620186.1	adh_short	3.71e-34	116.2	0.1
WP_006619803.1	adh_short	1.07e-27	95.1	0.0
WP_014274829.1	adh_short	5.72e-24	82.9	0.0
WP_006619211.1	adh_short	2.25e-22	77.7	0.0
WP_006617541.1	adh_short	3.27e-21	73.9	0.0
WP_006669433.1	adh_short	2.89e-09	35.0	0.0
WP_006668268.1	adh_short	2.81e-08	31.7	0.0
WP_006618043.1	adh_short	6.96e-06	23.9	0.4
WP_006618504.1	ADH_zinc_N	1.52e-29	100.8	0.1
WP_006668698.1	ADH_zinc_N	4.69e-24	83.1	0.3
WP_014276403.1	ADH_zinc_N	5.81e-24	82.8	0.2
WP_014275523.1	ADH_zinc_N	1.77e-08	32.7	0.0
WP_006617837.1	ADH_zinc_N	1.26e-06	26.7	1.3
WP_286146580.1	Thiolase_N	2.39e-56	189.3	0.2
WP_286146579.1	Thiolase_N	4.70e-21	73.6	0.0
WP_006617507.1	Thiolase_N	7.03e-06	23.8	0.9
WP_062945602.1	Lyase_1	8.61e-117	388.2	0.0
WP_006619206.1	Lyase_1	2.77e-74	248.6	0.0
WP_006619058.1	Lyase_1	8.37e-62	207.6	0.0
WP_006616582.1	Biotin_carb_N	1.12e-46	156.1	1.5
WP_006622492.1	NUDIX	2.19e-23	81.0	0.0
WP_006618279.1	NUDIX	2.37e-23	80.9	0.0
WP_006616177.1	NUDIX	1.64e-20	71.7	0.7
WP_006617775.1	NUDIX	2.76e-19	67.8	0.0
WP_014274883.1	NUDIX	2.72e-15	54.8	0.0
