# target_name	query_name	e_value	score	bias
WP_202861412.1	adh_short	1.68e-71	237.7	6.0
WP_287745660.1	adh_short	4.19e-56	187.5	0.3
WP_288136455.1	adh_short	1.50e-53	179.1	0.0
WP_104395820.1	adh_short	9.14e-51	170.0	0.4
WP_287742274.1	adh_short	3.60e-49	164.8	3.8
WP_104395926.1	adh_short	4.93e-46	154.6	0.1
WP_104398132.1	adh_short	8.37e-46	153.9	0.0
WP_287742836.1	adh_short	5.19e-43	144.7	0.0
WP_002760333.1	adh_short	1.60e-26	90.9	0.1
WP_104396037.1	adh_short	2.41e-17	61.0	0.0
WP_311131437.1	adh_short	4.39e-17	60.1	0.0
WP_311131303.1	adh_short	3.33e-16	57.3	0.1
WP_104397540.1	adh_short	9.11e-11	39.5	0.0
WP_311131459.1	adh_short	1.24e-10	39.1	0.0
WP_311131460.1	adh_short	1.34e-09	35.7	0.7
WP_311131593.1	ADH_zinc_N	5.22e-28	95.5	0.2
WP_104397714.1	ADH_zinc_N	2.46e-26	90.1	0.0
WP_104397512.1	ADH_zinc_N	1.69e-23	80.9	0.4
WP_194016219.1	ADH_zinc_N	2.88e-13	47.9	0.0
WP_104397865.1	Thiolase_N	1.21e-81	271.8	0.0
WP_287745380.1	Thiolase_N	1.84e-09	35.3	0.4
WP_311131436.1	Thiolase_N	8.28e-08	29.8	0.1
WP_311131460.1	Thiolase_N	5.44e-07	27.2	1.0
WP_311131437.1	Thiolase_N	5.38e-06	23.9	0.0
WP_104397662.1	Lyase_1	9.59e-101	335.2	0.0
WP_311131281.1	Lyase_1	2.76e-77	258.1	0.0
WP_004268608.1	Lyase_1	8.29e-61	204.0	0.0
WP_002734953.1	Biotin_carb_N	1.65e-46	155.2	0.6
WP_104397413.1	NUDIX	7.90e-24	82.1	0.0
WP_002753251.1	NUDIX	1.03e-20	72.0	0.0
WP_311131484.1	NUDIX	6.36e-20	69.5	0.0
WP_104396188.1	NUDIX	3.86e-17	60.5	0.0
WP_311130888.1	NUDIX	1.03e-16	59.1	0.0
WP_002777777.1	NUDIX	1.33e-13	49.0	0.0
WP_311131057.1	NUDIX	6.50e-12	43.6	0.0
WP_104397570.1	Biotin_lipoyl	1.55e-22	77.1	0.1
