# target_name	query_name	e_value	score	bias
WP_011612874.1	adh_short	9.42e-69	228.9	6.8
WP_011612888.1	adh_short	3.09e-61	204.4	0.0
WP_011612441.1	adh_short	1.31e-58	195.8	4.0
WP_011610090.1	adh_short	1.00e-53	179.9	0.0
WP_011613288.1	adh_short	1.42e-51	172.9	1.1
WP_011612762.1	adh_short	8.95e-49	163.7	0.0
WP_011611429.1	adh_short	3.25e-47	158.7	0.0
WP_011613345.1	adh_short	8.97e-45	150.7	0.0
WP_011610524.1	adh_short	2.07e-43	146.2	2.7
WP_011613843.1	adh_short	8.24e-43	144.3	1.4
WP_011610526.1	adh_short	3.11e-41	139.1	4.3
WP_011612187.1	adh_short	1.09e-32	111.3	0.3
WP_011611643.1	adh_short	6.52e-23	79.4	0.0
WP_011610007.1	adh_short	4.18e-20	70.2	0.1
WP_011613195.1	adh_short	1.63e-16	58.5	0.0
WP_011613193.1	adh_short	8.01e-13	46.4	0.6
WP_011611378.1	adh_short	6.13e-09	33.8	0.1
WP_011612029.1	adh_short	3.97e-07	27.9	0.0
WP_011610831.1	adh_short	4.00e-07	27.8	0.1
WP_044137007.1	adh_short	4.41e-06	24.4	0.0
WP_011612892.1	adh_short	6.03e-06	24.0	0.1
WP_196797206.1	ADH_zinc_N	1.97e-33	113.3	0.9
WP_011612375.1	ADH_zinc_N	6.19e-30	102.0	0.2
WP_011610404.1	ADH_zinc_N	1.03e-21	75.4	1.5
WP_011612025.1	ADH_zinc_N	6.97e-20	69.5	0.0
WP_011611463.1	ADH_zinc_N	1.36e-18	65.3	0.2
WP_011612437.1	ADH_zinc_N	1.19e-16	59.0	0.0
WP_011613193.1	ADH_zinc_N	1.39e-16	58.8	0.0
WP_011613196.1	Thiolase_N	2.17e-07	28.7	0.0
WP_011611449.1	Thiolase_N	2.13e-06	25.4	0.2
WP_011613195.1	Thiolase_N	9.71e-06	23.3	0.0
WP_011611026.1	Lyase_1	5.28e-115	382.2	0.0
WP_011610564.1	Lyase_1	5.14e-75	250.9	0.0
WP_011613505.1	Lyase_1	9.48e-61	204.0	0.0
WP_011613097.1	Biotin_carb_N	9.64e-46	153.0	0.2
WP_011611021.1	NUDIX	3.45e-23	80.3	0.2
WP_011613398.1	NUDIX	5.74e-21	73.1	0.2
WP_044136445.1	NUDIX	7.93e-19	66.1	0.1
WP_011613506.1	NUDIX	5.79e-16	56.9	0.0
WP_011613264.1	NUDIX	3.32e-13	47.9	0.1
WP_044136282.1	NUDIX	7.99e-12	43.5	0.0
WP_011613133.1	NUDIX	2.86e-10	38.4	0.0
WP_011613122.1	NUDIX	1.13e-09	36.5	0.0
WP_011611018.1	Biotin_lipoyl	1.41e-22	77.5	0.6
WP_011611462.1	Biotin_lipoyl	1.59e-16	58.1	0.6
WP_011610458.1	Biotin_lipoyl	1.10e-06	26.5	0.5
WP_011610108.1	Biotin_lipoyl	1.58e-06	26.0	0.5
WP_011611112.1	Biotin_lipoyl	2.11e-06	25.6	2.4
WP_011613426.1	ECH_1	1.79e-73	245.1	0.0
WP_044136979.1	Nitroreductase	2.42e-34	117.1	0.0
WP_011612213.1	Nitroreductase	2.68e-33	113.7	0.0
WP_044137913.1	Nitroreductase	5.38e-27	93.2	0.0
WP_011612983.1	Nitroreductase	1.19e-21	75.8	0.2
WP_011611946.1	Nitroreductase	4.94e-16	57.5	0.0
WP_011612047.1	FAD_binding_2	3.84e-119	396.7	2.8
WP_011612021.1	FAD_binding_2	2.06e-94	315.2	3.6
WP_011614184.1	FAD_binding_2	1.57e-11	42.2	1.5
WP_011611339.1	FAD_binding_2	2.99e-11	41.3	1.8
WP_011610832.1	FAD_binding_2	1.06e-10	39.5	0.6
WP_011612998.1	FAD_binding_2	3.47e-09	34.5	0.4
WP_011613311.1	FAD_binding_2	3.98e-08	31.0	1.4
WP_011613867.1	FAD_binding_2	4.27e-08	30.9	2.3
WP_011612735.1	FAD_binding_2	5.93e-08	30.4	0.6
WP_011613154.1	FAD_binding_2	1.08e-07	29.6	0.3
WP_011610672.1	FAD_binding_2	3.53e-07	27.9	0.0
WP_011610153.1	FAD_binding_2	7.47e-07	26.8	1.0
WP_011611792.1	FAD_binding_2	7.85e-07	26.7	4.2
WP_011612645.1	FAD_binding_2	1.46e-06	25.8	7.0
WP_011611057.1	FAD_binding_2	2.29e-06	25.2	0.0
WP_044136661.1	FAD_binding_2	9.23e-06	23.2	0.0
WP_011612235.1	Carboxyl_trans	7.70e-21	72.4	0.0
WP_011610739.1	Carboxyl_trans	2.15e-15	54.4	0.1
WP_011612063.1	B12-binding	7.44e-20	69.1	0.1
WP_044137191.1	B12-binding	9.09e-19	65.6	0.0
WP_011611362.1	B12-binding	3.93e-14	50.7	0.0
WP_011614172.1	B12-binding	2.88e-09	35.0	0.0
WP_011613097.1	Biotin_carb_C	3.31e-43	144.4	0.0
WP_011612409.1	CPSase_L_D2	2.14e-113	375.1	0.7
WP_011613097.1	CPSase_L_D2	6.33e-87	288.6	0.0
WP_011611590.1	CPSase_L_D2	5.82e-07	27.4	0.0
WP_011612047.1	Succ_DH_flav_C	8.72e-45	150.0	0.1
WP_011612021.1	Succ_DH_flav_C	1.44e-16	58.7	0.0
WP_011610739.1	ACCA	3.53e-140	464.7	0.0
WP_011612358.1	HpcH_HpaI	3.74e-36	122.6	0.0
WP_011612375.1	ADH_N	6.58e-24	82.3	0.3
WP_196797206.1	ADH_N	2.59e-23	80.4	0.2
WP_011611463.1	ADH_N	8.26e-20	69.2	0.1
WP_011612437.1	ADH_N	1.23e-19	68.6	0.0
WP_011610404.1	ADH_N	7.66e-18	62.8	0.1
WP_011612025.1	ADH_N	1.55e-15	55.4	0.1
WP_011613193.1	ADH_N	1.49e-09	36.2	1.3
WP_011611026.1	FumaraseC_C	2.67e-23	80.3	0.9
WP_011613113.1	Fer2_3	2.07e-34	115.9	0.2
WP_011611668.1	Fer4_8	7.69e-13	47.0	4.5
WP_011613113.1	Fer4_8	2.78e-10	38.8	6.4
WP_011611514.1	Fer4_8	5.78e-07	28.1	8.4
WP_011611234.1	Fer4_8	2.40e-06	26.2	9.8
WP_011610418.1	Fer4_8	7.31e-06	24.6	6.3
WP_011611234.1	Fer4_10	6.30e-11	40.2	17.1
WP_006616272.1	Fer4_10	3.58e-09	34.6	14.7
WP_011611167.1	Fer4_10	4.61e-09	34.2	8.2
WP_011611668.1	Fer4_10	7.10e-09	33.6	4.5
WP_011610418.1	Fer4_10	9.37e-09	33.3	18.7
WP_011611514.1	Fer4_10	1.74e-07	29.2	10.8
WP_011613113.1	Fer4_10	9.25e-07	26.9	5.8
WP_011614080.1	Fer4_10	5.07e-06	24.5	4.8
WP_011612128.1	Fer4_10	7.68e-06	23.9	3.5
WP_011611668.1	Fer4_17	1.72e-10	39.4	4.3
WP_006616272.1	Fer4_17	2.90e-08	32.3	9.5
WP_011613113.1	Fer4_17	3.61e-06	25.6	4.9
WP_011612128.1	Fer4_17	6.29e-06	24.8	7.2
WP_011611643.1	adh_short_C2	4.76e-86	286.3	0.0
WP_011612874.1	adh_short_C2	8.14e-69	229.9	4.6
WP_011612441.1	adh_short_C2	1.39e-67	225.9	2.3
WP_011610524.1	adh_short_C2	1.66e-48	163.4	1.4
WP_011613843.1	adh_short_C2	1.21e-46	157.3	3.3
WP_011610526.1	adh_short_C2	3.17e-46	156.0	1.2
WP_011612888.1	adh_short_C2	2.53e-41	139.9	0.0
WP_011610090.1	adh_short_C2	1.32e-39	134.3	0.0
WP_011613288.1	adh_short_C2	8.33e-37	125.1	0.2
WP_011611429.1	adh_short_C2	4.59e-31	106.3	0.0
WP_011613345.1	adh_short_C2	3.50e-30	103.5	0.0
WP_011612762.1	adh_short_C2	9.92e-29	98.7	0.0
WP_011612187.1	adh_short_C2	1.74e-22	78.3	0.0
WP_052845773.1	adh_short_C2	4.05e-16	57.4	0.0
WP_011613195.1	adh_short_C2	7.83e-12	43.4	0.0
WP_011610007.1	adh_short_C2	9.62e-10	36.6	0.0
WP_011613193.1	adh_short_C2	8.72e-08	30.1	0.2
WP_011613517.1	Glyoxalase_4	1.42e-14	52.4	0.0
WP_011612923.1	Glyoxalase_4	1.54e-11	42.7	0.0
