# target_name	query_name	e_value	score	bias
WP_271923875.1	adh_short	5.03e-69	229.7	6.7
WP_271921587.1	adh_short	2.35e-60	201.4	2.7
WP_271918820.1	adh_short	9.55e-58	192.8	6.4
WP_271921071.1	adh_short	6.56e-56	186.9	1.3
WP_063871089.1	adh_short	2.19e-54	181.9	0.2
WP_271923816.1	adh_short	3.51e-54	181.2	0.0
WP_271921576.1	adh_short	3.44e-53	178.0	0.4
WP_063873975.1	adh_short	6.09e-52	173.9	0.0
WP_271919231.1	adh_short	1.84e-49	165.8	0.2
WP_271919601.1	adh_short	1.44e-47	159.6	0.0
WP_271919300.1	adh_short	5.28e-47	157.8	0.0
WP_063871325.1	adh_short	1.17e-44	150.1	0.1
WP_006198518.1	adh_short	5.53e-43	144.7	0.2
WP_271923470.1	adh_short	9.52e-43	143.9	1.1
WP_271919302.1	adh_short	1.94e-32	110.3	0.7
WP_063871960.1	adh_short	3.82e-29	99.5	0.0
WP_063871157.1	adh_short	1.40e-25	87.9	0.0
WP_271923877.1	adh_short	1.87e-23	81.0	0.0
WP_271922866.1	adh_short	9.78e-23	78.6	0.0
WP_271919194.1	adh_short	1.39e-17	61.8	0.0
WP_271924642.1	adh_short	1.06e-16	58.9	0.0
WP_271924644.1	adh_short	2.38e-16	57.8	0.4
WP_271919192.1	adh_short	4.41e-16	56.9	0.0
WP_271923408.1	adh_short	1.83e-14	51.6	0.0
WP_271923667.1	adh_short	7.04e-12	43.2	0.4
WP_271922469.1	adh_short	6.34e-10	36.8	0.2
WP_271922864.1	adh_short	6.72e-10	36.7	0.0
WP_271922441.1	adh_short	1.65e-09	35.4	1.4
WP_271921462.1	adh_short	3.17e-09	34.5	0.2
WP_271920512.1	adh_short	1.88e-07	28.7	0.0
WP_271923019.1	adh_short	2.45e-06	25.1	0.1
WP_063872017.1	adh_short	4.95e-06	24.1	0.4
WP_271924163.1	adh_short	8.83e-06	23.3	0.2
WP_271920295.1	ADH_zinc_N	1.29e-28	97.5	0.1
WP_271924122.1	ADH_zinc_N	7.48e-28	95.0	0.0
WP_271923247.1	ADH_zinc_N	1.62e-24	84.3	0.0
WP_271919351.1	ADH_zinc_N	8.52e-24	81.9	0.1
WP_271920828.1	ADH_zinc_N	2.25e-22	77.3	0.2
WP_271924644.1	ADH_zinc_N	5.80e-20	69.5	0.0
WP_271924642.1	ADH_zinc_N	1.23e-19	68.5	1.6
WP_271921986.1	ADH_zinc_N	1.58e-16	58.4	0.0
WP_271922866.1	Thiolase_N	3.94e-11	40.8	1.3
WP_271924642.1	Thiolase_N	8.14e-07	26.6	0.1
WP_271924644.1	Thiolase_N	3.04e-06	24.7	0.4
WP_271919194.1	Thiolase_N	4.57e-06	24.2	1.5
WP_271919192.1	Thiolase_N	6.43e-06	23.7	0.4
WP_063871229.1	Lyase_1	4.47e-90	300.2	0.0
WP_271919340.1	Lyase_1	9.28e-76	253.1	0.0
WP_271920874.1	Lyase_1	6.33e-61	204.4	0.0
WP_271922734.1	Biotin_carb_N	4.49e-47	157.1	0.2
WP_063873634.1	NUDIX	9.59e-24	81.9	1.1
WP_271923960.1	NUDIX	1.50e-22	78.0	0.1
WP_063873517.1	NUDIX	9.51e-22	75.4	0.0
WP_271923948.1	NUDIX	4.65e-20	70.0	0.0
WP_271919413.1	NUDIX	2.05e-18	64.6	0.1
WP_271923275.1	NUDIX	8.98e-15	52.8	0.0
WP_271919016.1	NUDIX	4.23e-13	47.4	0.0
WP_271919650.1	NUDIX	2.56e-11	41.7	0.0
WP_271921506.1	NUDIX	5.54e-10	37.3	0.0
WP_271923616.1	Biotin_lipoyl	2.25e-24	83.0	0.3
WP_063872394.1	Biotin_lipoyl	1.51e-17	61.2	1.1
WP_271921274.1	Biotin_lipoyl	1.82e-08	32.1	0.2
WP_271921353.1	Biotin_lipoyl	5.59e-08	30.5	1.2
WP_271920820.1	Biotin_lipoyl	1.30e-07	29.3	1.9
WP_271922609.1	Biotin_lipoyl	3.73e-07	27.9	0.3
WP_271918796.1	Biotin_lipoyl	1.14e-06	26.3	1.0
WP_271920478.1	Biotin_lipoyl	8.00e-06	23.6	1.1
WP_271921358.1	Biotin_lipoyl	8.23e-06	23.6	0.7
WP_271922499.1	Biotin_lipoyl	8.60e-06	23.5	0.3
WP_271923389.1	ECH_1	1.64e-75	251.6	0.0
WP_271919157.1	Nitroreductase	2.17e-34	117.0	0.0
WP_271920510.1	Nitroreductase	1.67e-17	62.1	0.0
WP_271921845.1	Nitroreductase	4.33e-13	47.7	0.0
WP_271923041.1	FAD_binding_2	5.92e-117	389.3	3.2
WP_272074248.1	FAD_binding_2	7.92e-98	326.3	5.0
WP_271919128.1	FAD_binding_2	6.69e-09	33.4	3.8
WP_063872564.1	FAD_binding_2	7.58e-09	33.2	0.9
WP_271923191.1	FAD_binding_2	7.60e-09	33.2	7.2
WP_271923048.1	FAD_binding_2	1.04e-08	32.7	2.3
WP_271920537.1	FAD_binding_2	1.54e-08	32.2	2.1
WP_063872030.1	FAD_binding_2	5.46e-08	30.4	0.3
WP_271922230.1	FAD_binding_2	5.95e-08	30.2	0.6
WP_271922633.1	FAD_binding_2	7.94e-08	29.8	0.5
WP_271923241.1	FAD_binding_2	1.13e-07	29.3	0.1
WP_271920188.1	FAD_binding_2	1.44e-07	29.0	1.9
WP_271920931.1	FAD_binding_2	2.11e-07	28.4	4.5
WP_063871323.1	FAD_binding_2	3.46e-07	27.7	0.5
WP_271922820.1	FAD_binding_2	1.76e-06	25.4	4.6
WP_063874401.1	FAD_binding_2	5.81e-06	23.7	1.4
WP_271924513.1	FAD_binding_2	7.65e-06	23.3	0.2
WP_063874363.1	Carboxyl_trans	9.65e-23	78.5	0.0
WP_063872926.1	Carboxyl_trans	5.30e-14	49.7	0.2
WP_271920176.1	B12-binding	4.16e-20	69.8	0.0
WP_271920362.1	B12-binding	2.66e-12	44.6	0.0
WP_271922876.1	B12-binding	8.19e-07	26.9	0.0
WP_271922734.1	Biotin_carb_C	5.65e-43	143.4	0.0
WP_271923954.1	CPSase_L_D2	9.24e-112	369.6	0.2
WP_271922734.1	CPSase_L_D2	3.08e-84	279.7	0.1
WP_271918732.1	CPSase_L_D2	8.34e-10	36.5	0.0
WP_271923193.1	CPSase_L_D2	2.57e-09	34.9	0.0
WP_271919044.1	CPSase_L_D2	2.11e-07	28.6	0.5
WP_271923041.1	Succ_DH_flav_C	2.14e-47	158.3	0.1
WP_272074248.1	Succ_DH_flav_C	3.79e-17	60.4	0.0
WP_063872926.1	ACCA	7.46e-141	466.7	0.0
WP_271923247.1	ADH_N	3.52e-27	92.7	0.5
WP_271919351.1	ADH_N	3.55e-26	89.4	0.5
WP_271920295.1	ADH_N	4.40e-24	82.7	0.2
WP_271921986.1	ADH_N	2.08e-21	74.1	0.0
WP_271920828.1	ADH_N	4.50e-20	69.8	1.6
WP_271924644.1	ADH_N	2.57e-13	48.1	0.1
WP_271924122.1	ADH_N	5.92e-12	43.8	1.4
WP_271924642.1	ADH_N	1.31e-10	39.4	0.0
WP_063871229.1	FumaraseC_C	2.08e-21	74.1	0.5
WP_271922729.1	Fer2_3	6.34e-33	111.0	0.0
WP_271924139.1	Fer4_8	7.00e-13	46.9	3.0
WP_271922729.1	Fer4_8	4.94e-11	41.0	6.5
WP_063874016.1	Fer4_8	8.46e-08	30.6	9.5
WP_271920454.1	Fer4_8	9.41e-08	30.5	6.8
WP_271923067.1	Fer4_8	7.71e-07	27.6	6.3
WP_063871813.1	Fer4_8	1.01e-06	27.2	8.7
WP_271923145.1	Fer4_8	3.95e-06	25.3	7.1
WP_063874016.1	Fer4_10	5.43e-11	40.3	22.2
WP_063871813.1	Fer4_10	7.08e-11	39.9	16.4
WP_006195047.1	Fer4_10	2.20e-09	35.1	9.7
WP_006195256.1	Fer4_10	4.72e-09	34.0	15.4
WP_271923145.1	Fer4_10	1.75e-08	32.2	10.0
WP_271920454.1	Fer4_10	1.92e-08	32.1	24.9
WP_271924139.1	Fer4_10	4.34e-08	31.0	6.6
WP_006196788.1	Fer4_10	4.38e-08	30.9	10.3
WP_271924139.1	Fer4_17	5.04e-10	37.8	3.4
WP_271923067.1	Fer4_17	9.27e-09	33.7	5.5
WP_006195256.1	Fer4_17	1.90e-07	29.5	13.0
WP_271922729.1	Fer4_17	3.18e-07	28.8	6.0
WP_006195047.1	Fer4_17	6.47e-06	24.6	6.4
WP_063871157.1	adh_short_C2	1.65e-90	300.7	0.0
WP_271923875.1	adh_short_C2	4.28e-70	233.9	5.7
WP_271921576.1	adh_short_C2	1.48e-66	222.3	0.1
WP_063871089.1	adh_short_C2	4.39e-66	220.8	0.5
WP_271918820.1	adh_short_C2	3.78e-65	217.7	3.3
WP_271919231.1	adh_short_C2	2.06e-56	189.1	0.1
WP_271923470.1	adh_short_C2	1.97e-48	163.0	0.2
WP_271921587.1	adh_short_C2	4.05e-47	158.7	2.5
WP_006198518.1	adh_short_C2	6.50e-45	151.5	0.3
WP_271923816.1	adh_short_C2	1.62e-40	137.1	0.0
WP_063873975.1	adh_short_C2	2.69e-38	129.8	0.1
WP_271921071.1	adh_short_C2	7.35e-36	121.9	0.4
