# target_name	query_name	e_value	score	bias
WP_042154758.1	adh_short	5.34e-68	226.3	6.9
WP_227365981.1	adh_short	2.45e-60	201.3	0.1
WP_042151105.1	adh_short	8.36e-59	196.3	0.4
WP_227365259.1	adh_short	8.00e-56	186.6	0.2
WP_042151882.1	adh_short	9.22e-51	170.1	0.4
WP_235751969.1	adh_short	2.67e-50	168.6	0.0
WP_026797478.1	adh_short	5.95e-50	167.4	0.0
WP_235758648.1	adh_short	5.65e-48	161.0	0.1
WP_254034734.1	adh_short	1.58e-29	100.8	0.0
WP_081694468.1	adh_short	9.14e-26	88.5	0.4
WP_235765728.1	adh_short	4.48e-25	86.3	0.0
WP_026787734.1	adh_short	1.42e-21	74.8	0.0
WP_227364883.1	adh_short	8.20e-19	65.8	0.9
WP_254034232.1	adh_short	1.88e-15	54.9	0.3
WP_026797344.1	adh_short	1.41e-09	35.7	0.0
WP_254034953.1	adh_short	1.45e-07	29.1	0.4
WP_227381598.1	ADH_zinc_N	1.10e-27	94.5	0.0
WP_254034216.1	ADH_zinc_N	8.20e-21	72.3	0.2
WP_227351037.1	ADH_zinc_N	3.98e-13	47.4	0.2
WP_042152954.1	Thiolase_N	3.72e-06	24.5	1.0
WP_254034953.1	Thiolase_N	8.93e-06	23.2	0.1
WP_042156107.1	Lyase_1	6.29e-117	388.4	0.0
WP_042156541.1	Lyase_1	6.07e-76	253.8	0.0
WP_042155761.1	Lyase_1	1.91e-62	209.4	0.0
WP_042154621.1	Biotin_carb_N	2.91e-47	157.7	0.7
WP_042154381.1	NUDIX	6.58e-24	82.4	0.0
WP_026798273.1	NUDIX	1.40e-22	78.1	0.0
WP_026796352.1	NUDIX	7.62e-21	72.5	0.1
WP_042154245.1	NUDIX	9.81e-21	72.2	0.2
WP_026787847.1	NUDIX	3.41e-15	54.2	0.0
WP_052369682.1	NUDIX	4.05e-15	54.0	0.2
WP_042155359.1	NUDIX	2.31e-14	51.5	0.0
WP_042153134.1	Biotin_lipoyl	4.07e-25	85.4	0.1
WP_042153607.1	Biotin_lipoyl	3.37e-17	60.1	0.2
WP_254034893.1	Biotin_lipoyl	3.57e-09	34.3	6.2
WP_227381249.1	Biotin_lipoyl	3.04e-07	28.2	0.6
WP_254034256.1	Biotin_lipoyl	9.84e-06	23.3	0.2
WP_026787975.1	ECH_1	8.74e-75	249.2	0.0
WP_227351011.1	Nitroreductase	9.08e-30	102.0	0.0
WP_227351141.1	FAD_binding_2	2.80e-119	397.0	2.4
WP_254034363.1	FAD_binding_2	2.56e-97	324.6	1.4
WP_227357819.1	FAD_binding_2	1.52e-10	38.8	0.5
WP_254034617.1	FAD_binding_2	2.62e-10	38.0	0.1
WP_227351118.1	FAD_binding_2	1.76e-09	35.3	0.8
WP_254034412.1	FAD_binding_2	1.37e-08	32.3	0.1
WP_026794182.1	FAD_binding_2	1.24e-07	29.2	3.5
WP_042152764.1	FAD_binding_2	1.26e-07	29.2	2.2
WP_227350834.1	FAD_binding_2	2.27e-07	28.3	0.4
WP_227357972.1	FAD_binding_2	2.87e-07	28.0	1.6
WP_141293116.1	FAD_binding_2	1.11e-06	26.1	6.4
WP_235766227.1	FAD_binding_2	1.70e-06	25.5	0.0
WP_227350295.1	FAD_binding_2	2.69e-06	24.8	0.7
WP_254034253.1	FAD_binding_2	3.30e-06	24.5	0.2
WP_254034453.1	FAD_binding_2	3.37e-06	24.5	1.2
WP_026796254.1	FAD_binding_2	3.85e-06	24.3	0.3
WP_235766194.1	FAD_binding_2	3.88e-06	24.3	0.3
WP_026785851.1	FAD_binding_2	4.14e-06	24.2	0.2
WP_227365841.1	FAD_binding_2	7.78e-06	23.3	0.1
WP_026786342.1	Carboxyl_trans	1.21e-22	78.2	0.0
WP_042151111.1	Carboxyl_trans	2.24e-15	54.2	0.1
WP_254034768.1	B12-binding	1.74e-19	67.8	0.0
WP_227350743.1	B12-binding	5.25e-15	53.3	0.0
WP_042156815.1	B12-binding	3.42e-10	37.8	0.0
WP_254034802.1	B12-binding	5.86e-08	30.6	0.0
WP_042154621.1	Biotin_carb_C	1.21e-42	142.4	0.0
WP_235766053.1	CPSase_L_D2	4.68e-117	386.9	1.3
