# target_name	query_name	e_value	score	bias
WP_006278496.1	adh_short	7.34e-70	231.8	8.0
WP_006276487.1	adh_short	3.74e-61	203.4	3.7
WP_115538516.1	adh_short	7.99e-52	173.0	0.0
WP_006276866.1	adh_short	1.19e-48	162.6	0.1
WP_115539322.1	adh_short	6.38e-47	157.0	0.0
WP_057178218.1	adh_short	7.36e-43	143.7	0.0
WP_057178739.1	adh_short	4.51e-39	131.4	0.0
WP_057178094.1	adh_short	7.63e-23	78.4	0.0
WP_057178853.1	adh_short	1.30e-22	77.7	0.0
WP_057177849.1	adh_short	1.01e-13	48.7	0.9
WP_406876345.1	adh_short	1.50e-12	44.8	0.2
WP_406876435.1	adh_short	1.96e-11	41.2	0.2
WP_057176909.1	adh_short	1.25e-09	35.3	0.1
WP_235529026.1	adh_short	1.45e-09	35.1	0.0
WP_115538845.1	adh_short	3.09e-06	24.2	0.2
WP_057177501.1	adh_short	6.80e-06	23.1	0.1
WP_006278216.1	ADH_zinc_N	3.88e-25	85.7	0.0
WP_115538553.1	ADH_zinc_N	5.25e-23	78.9	0.0
WP_115538977.1	ADH_zinc_N	2.32e-16	57.4	0.7
WP_406876583.1	ADH_zinc_N	6.03e-14	49.6	0.0
WP_115538927.1	ADH_zinc_N	1.19e-09	35.7	0.1
WP_057176984.1	Thiolase_N	5.21e-08	30.0	0.4
WP_096543529.1	Lyase_1	2.82e-88	293.7	0.0
WP_057178368.1	Lyase_1	1.22e-75	252.2	0.0
WP_057177333.1	Lyase_1	1.38e-59	199.5	0.0
WP_115538852.1	Biotin_carb_N	7.23e-47	155.9	0.2
WP_071985343.1	NUDIX	2.54e-23	80.0	0.0
WP_006276737.1	NUDIX	8.91e-21	71.8	0.0
WP_006278462.1	NUDIX	1.30e-20	71.2	0.3
WP_115538393.1	NUDIX	2.83e-13	47.5	0.0
WP_006278700.1	NUDIX	2.10e-12	44.6	0.0
WP_057177352.1	NUDIX	2.14e-10	38.2	0.0
WP_006278262.1	NUDIX	7.05e-10	36.5	0.0
WP_006276250.1	Biotin_lipoyl	3.23e-26	88.4	0.6
WP_057178604.1	Biotin_lipoyl	3.44e-18	62.7	0.8
WP_406876544.1	Biotin_lipoyl	7.61e-07	26.4	1.6
WP_115539006.1	Biotin_lipoyl	2.85e-06	24.5	0.3
WP_115538530.1	Biotin_lipoyl	3.05e-06	24.4	0.1
WP_006276140.1	Biotin_lipoyl	3.14e-06	24.4	0.1
WP_006278636.1	Biotin_lipoyl	5.43e-06	23.6	0.3
WP_240869028.1	Biotin_lipoyl	8.31e-06	23.0	0.5
WP_006277396.1	ECH_1	2.87e-74	247.0	0.0
WP_115538069.1	Nitroreductase	7.60e-34	114.7	0.0
