EC_number,Status,Protein_names,Total_Pfam_domains,Found_Pfam_domains,Total_hits,Unique_proteins_with_hits
4.2.1.153,NOT_FOUND,Unknown; Mesaconyl-C(4)-CoA hydratase,2,0,0,0
6.4.1.2,FULLY_FOUND,Unknown; acetyl-CoA carboxylase,7,7,314,18
4.2.1.116,FULLY_FOUND,Unknown,1,1,25,1
6.2.1.36,NOT_FOUND,Unknown,1,0,0,0
4.2.1.2,PARTIALLY_FOUND,"Fumarate hydratase class II 2; Fumarate hydratase class II; Fumarate hydratase class I, aerobic; Fumarase D; Fumarate hydratase class I, anaerobic; Fumarate hydratase class II 1",5,2,88,3
1.3.1.84,FULLY_FOUND,Unknown; Acrylyl-CoA reductase AcuI; Probable acrylyl-CoA reductase AcuI,2,2,98,2
1.1.1.298,FULLY_FOUND,NADP-dependent 3-hydroxy acid dehydrogenase YdfG; Probable malonic semialdehyde reductase RutE,2,2,61,8
5.1.99.1,FULLY_FOUND,Ethylmalonyl-CoA/methylmalonyl-CoA epimerase; methylmalonyl-CoA epimerase,1,1,50,2
4.1.3.25,NOT_FOUND,Unknown; L-malyl-CoA/beta-methylmalyl-CoA lyase; Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA lyase,1,0,0,0
5.4.1.3,PARTIALLY_FOUND,Unknown; 2-methylfumaryl-CoA isomerase,2,1,1,1
1.2.1.75,FULLY_FOUND,Unknown,2,2,33,7
6.4.1.3,PARTIALLY_FOUND,Biotin carboxylase; Propionyl-CoA carboxylase beta chain; Putative propionyl-CoA carboxylase beta chain; Propionyl-CoA carboxylase alpha chain,7,5,258,13
1.3.5.1,FULLY_FOUND,Fumarate reductase iron-sulfur subunit; Succinate dehydrogenase flavoprotein subunit; Fumarate reductase flavoprotein subunit; Succinate dehydrogenase iron-sulfur subunit,6,6,272,26
5.4.99.2,PARTIALLY_FOUND,Methylmalonyl-CoA mutase large subunit; Probable methylmalonyl-CoA mutase small subunit; Methylmalonyl-CoA mutase small subunit; Probable methylmalonyl-CoA mutase large subunit; Methylmalonyl-CoA mutase,2,1,39,3
4.1.3.24,NOT_FOUND,L-malyl-CoA/beta-methylmalyl-CoA lyase; Malyl-CoA/beta-methylmalyl-CoA/citramalyl-CoA lyase,1,0,0,0
4.2.1.148,NOT_FOUND,Unknown; Mesaconyl-CoA hydratase; Beta-methylmalyl-CoA dehydratase,4,0,0,0
