EC_number,Status,Protein_names,Total_Pfam_domains,Found_Pfam_domains,Not_found_Pfam_domains,Found_Pfams,Not_found_Pfams,Total_hits,Unique_proteins_with_hits,Hit_protein_IDs
1.1.1.37,FULLY_FOUND,Malate dehydrogenase,2,2,0,"PF00056, PF02866",,2,1,WP_044522156.1
1.1.1.41,FULLY_FOUND,Unknown,1,1,0,PF00180,,2,2,WP_010995485.1; WP_010995995.1
1.1.1.42,FULLY_FOUND,Isocitrate dehydrogenase [NADP],1,1,0,PF00180,,2,2,WP_010995485.1; WP_010995995.1
1.1.5.4,NOT_FOUND,Malate:quinone oxidoreductase,1,0,1,,PF06039,0,0,
1.2.4.2,PARTIALLY_FOUND,2-oxoglutarate dehydrogenase E1 component,4,2,2,"PF00676, PF02779","PF16078, PF16870",7,6,WP_010994299.1; WP_010994775.1; WP_010996018.1; WP_010996861.1; WP_010997495.1; WP_010998192.1
1.2.7.11,PARTIALLY_FOUND,Unknown,2,1,1,PF02775,PF12367,5,5,WP_010996954.1; WP_010997705.1; WP_010998744.1; WP_044520618.1; WP_044521124.1
1.2.7.3,FULLY_FOUND,2-oxoglutarate oxidoreductase subunit KorB,1,1,0,PF02775,,5,5,WP_010996954.1; WP_010997705.1; WP_010998744.1; WP_044520618.1; WP_044521124.1
1.3.5.1,FULLY_FOUND,Fumarate reductase flavoprotein subunit,2,2,0,"PF00890, PF02910",,21,19,WP_010995382.1; WP_010995956.1; WP_010996225.1; WP_010996489.1; WP_010996538.1; WP_010996927.1; WP_010996936.1; WP_010997121.1; WP_010997669.1; WP_010997831.1; WP_010997885.1; WP_010998643.1; WP_010999249.1; WP_010999808.1; WP_044520713.1; WP_044522219.1; WP_044522263.1; WP_044522332.1; WP_044522801.1
1.8.1.4,FULLY_FOUND,Dihydrolipoyl dehydrogenase,2,2,0,"PF02852, PF07992",,36,32,WP_010994305.1; WP_010994568.1; WP_010995299.1; WP_010995300.1; WP_010995382.1; WP_010995526.1; WP_010995722.1; WP_010995956.1; WP_010996225.1; WP_010996362.1; WP_010996489.1; WP_010996538.1; WP_010996936.1; WP_010997115.1; WP_010997458.1; WP_010997669.1; WP_010997831.1; WP_010998078.1; WP_010998234.1; WP_010998412.1; WP_010998643.1; WP_010998645.1; WP_010998855.1; WP_010998876.1; WP_010999094.1; WP_010999309.1; WP_010999335.1; WP_010999808.1; WP_044520713.1; WP_044522219.1; WP_044522801.1; WP_044523614.1
2.3.1.61,FULLY_FOUND,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,3,3,0,"PF00198, PF00364, PF02817",,14,12,WP_010996092.1; WP_010997755.1; WP_010997791.1; WP_010997853.1; WP_010998378.1; WP_010998418.1; WP_010999183.1; WP_010999428.1; WP_010999850.1; WP_010999864.1; WP_044521187.1; WP_044523038.1
2.3.3.1,FULLY_FOUND,Unknown,1,1,0,PF00285,,1,1,WP_010994399.1
2.3.3.3,FULLY_FOUND,Citrate (Re)-synthase,2,2,0,"PF00682, PF22673",,6,6,WP_010995579.1; WP_010997119.1; WP_010997672.1; WP_010998968.1; WP_044520690.1; WP_126987344.1
2.3.3.5,FULLY_FOUND,2-methylcitrate synthase,1,1,0,PF00285,,1,1,WP_010994399.1
2.8.3.18,NOT_FOUND,Succinyl-CoA:acetate CoA-transferase,2,0,2,,"PF02550, PF13336",0,0,
4.2.1.2,FULLY_FOUND,Fumarate hydratase class II,2,2,0,"PF00206, PF10415",,4,3,WP_010997545.1; WP_010997867.1; WP_010998028.1
4.2.1.3,FULLY_FOUND,Aconitate hydratase A,2,2,0,"PF00330, PF00694",,3,3,WP_010995439.1; WP_010995588.1; WP_010995589.1
6.2.1.4,FULLY_FOUND,Succinate--CoA ligase [GDP-forming] subunit beta,2,2,0,"PF00549, PF08442",,4,4,WP_010994943.1; WP_010997950.1; WP_010998054.1; WP_010998055.1
6.2.1.5,FULLY_FOUND,Succinate--CoA ligase [ADP-forming] subunit beta,2,2,0,"PF00549, PF08442",,4,4,WP_010994943.1; WP_010997950.1; WP_010998054.1; WP_010998055.1
