EC_number	UniProt_ID	Protein_Name	Pfam_ID	Species
1.2.7.11	A0A084J4B3	Unknown	PF12367	Bacillus mycoides
1.2.7.11	A0A084J4B3	Unknown	PF02775	Bacillus mycoides
1.2.4.2	P0AFG3	2-oxoglutarate dehydrogenase E1 component	PF16078	Escherichia coli (strain K12)
1.2.4.2	P0AFG3	2-oxoglutarate dehydrogenase E1 component	PF00676	Escherichia coli (strain K12)
1.2.4.2	P0AFG3	2-oxoglutarate dehydrogenase E1 component	PF16870	Escherichia coli (strain K12)
1.2.4.2	P0AFG3	2-oxoglutarate dehydrogenase E1 component	PF02779	Escherichia coli (strain K12)
4.2.1.2	P05042	Fumarate hydratase class II	PF10415	Escherichia coli (strain K12)
4.2.1.2	P05042	Fumarate hydratase class II	PF00206	Escherichia coli (strain K12)
4.2.1.3	P25516	Aconitate hydratase A	PF00330	Escherichia coli (strain K12)
4.2.1.3	P25516	Aconitate hydratase A	PF00694	Escherichia coli (strain K12)
6.2.1.4	P25126	Succinate--CoA ligase [GDP-forming] subunit beta	PF08442	Thermus thermophilus
6.2.1.4	P25126	Succinate--CoA ligase [GDP-forming] subunit beta	PF00549	Thermus thermophilus
2.3.3.5	P31660	2-methylcitrate synthase	PF00285	Escherichia coli (strain K12)
2.8.3.18	B3EY95	Succinyl-CoA:acetate CoA-transferase	PF13336	Acetobacter aceti
2.8.3.18	B3EY95	Succinyl-CoA:acetate CoA-transferase	PF02550	Acetobacter aceti
2.3.3.3	Q2LTE1	Citrate (Re)-synthase	PF00682	Syntrophus aciditrophicus (strain SB)
2.3.3.3	Q2LTE1	Citrate (Re)-synthase	PF22673	Syntrophus aciditrophicus (strain SB)
1.3.5.1	P00363	Fumarate reductase flavoprotein subunit	PF00890	Escherichia coli (strain K12)
1.3.5.1	P00363	Fumarate reductase flavoprotein subunit	PF02910	Escherichia coli (strain K12)
1.8.1.4	P0A9P0	Dihydrolipoyl dehydrogenase	PF07992	Escherichia coli (strain K12)
1.8.1.4	P0A9P0	Dihydrolipoyl dehydrogenase	PF02852	Escherichia coli (strain K12)
2.3.3.1	A0A418L5M9	Unknown	PF00285	Mycobacteroides abscessus
1.1.1.42	P08200	Isocitrate dehydrogenase [NADP]	PF00180	Escherichia coli (strain K12)
1.1.5.4	P33940	Malate:quinone oxidoreductase	PF06039	Escherichia coli (strain K12)
1.1.1.41	A0A0H3J6J9	Unknown	PF00180	Clostridium pasteurianum DSM 525 = ATCC 6013
1.2.7.3	O53181	2-oxoglutarate oxidoreductase subunit KorB	PF02775	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
1.1.1.37	P61889	Malate dehydrogenase	PF02866	Escherichia coli (strain K12)
1.1.1.37	P61889	Malate dehydrogenase	PF00056	Escherichia coli (strain K12)
2.3.1.61	P0AFG6	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	PF00198	Escherichia coli (strain K12)
2.3.1.61	P0AFG6	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	PF00364	Escherichia coli (strain K12)
2.3.1.61	P0AFG6	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	PF02817	Escherichia coli (strain K12)
6.2.1.5	P0A836	Succinate--CoA ligase [ADP-forming] subunit beta	PF08442	Escherichia coli (strain K12)
6.2.1.5	P0A836	Succinate--CoA ligase [ADP-forming] subunit beta	PF00549	Escherichia coli (strain K12)
