EC_number	UniProt_ID	Protein_Name	Pfam_ID	Species
1.1.1.298	P39831	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	PF00106	Escherichia coli (strain K12)
1.3.1.84	P26646	Probable acrylyl-CoA reductase AcuI	PF08240	Escherichia coli (strain K12)
1.3.1.84	P26646	Probable acrylyl-CoA reductase AcuI	PF00107	Escherichia coli (strain K12)
1.2.1.75	A0A841L016	Unknown	PF00106	Polymorphobacter multimanifer
1.2.1.75	A0A841L016	Unknown	PF13561	Polymorphobacter multimanifer
5.4.99.2	O86028	Methylmalonyl-CoA mutase	PF02310	Rhizobium meliloti (strain 1021)
5.4.99.2	O86028	Methylmalonyl-CoA mutase	PF01642	Rhizobium meliloti (strain 1021)
4.2.1.153	A9WC41	Mesaconyl-C(4)-CoA hydratase	No Pfam	Chloroflexus aurantiacus (strain ATCC 29366 / DSM 635 / J-10-fl)
4.1.3.24	B6E2X2	L-malyl-CoA/beta-methylmalyl-CoA lyase	PF03328	Rhodobacter capsulatus
4.2.1.116	A0A1K0JS59	Unknown	PF00378	Cupriavidus necator
6.4.1.3	Q5LUF3	Propionyl-CoA carboxylase alpha chain	PF02785	Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3)
6.4.1.3	Q5LUF3	Propionyl-CoA carboxylase alpha chain	PF00289	Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3)
6.4.1.3	Q5LUF3	Propionyl-CoA carboxylase alpha chain	PF00364	Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3)
6.4.1.3	Q5LUF3	Propionyl-CoA carboxylase alpha chain	PF02786	Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3)
6.4.1.3	Q5LUF3	Propionyl-CoA carboxylase alpha chain	PF18140	Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3)
1.3.5.1	P00363	Fumarate reductase flavoprotein subunit	PF00890	Escherichia coli (strain K12)
1.3.5.1	P00363	Fumarate reductase flavoprotein subunit	PF02910	Escherichia coli (strain K12)
4.1.3.25	Q3J5L6	L-malyl-CoA/beta-methylmalyl-CoA lyase	PF03328	Cereibacter sphaeroides (strain ATCC 17023 / DSM 158 / JCM 6121 / CCUG 31486 / LMG 2827 / NBRC 12203 / NCIMB 8253 / ATH 2.4.1.)
4.2.1.148	A9WC34	Beta-methylmalyl-CoA dehydratase	PF19315	Chloroflexus aurantiacus (strain ATCC 29366 / DSM 635 / J-10-fl)
6.2.1.36	A0ABS4SQI2	Unknown	No Pfam	Azospirillum rugosum
5.1.99.1	Q3IZP4	Ethylmalonyl-CoA/methylmalonyl-CoA epimerase	PF13669	Cereibacter sphaeroides (strain ATCC 17023 / DSM 158 / JCM 6121 / CCUG 31486 / LMG 2827 / NBRC 12203 / NCIMB 8253 / ATH 2.4.1.)
6.4.1.2	A0A024JXA5	acetyl-CoA carboxylase	PF02785	Mycobacterium triplex
6.4.1.2	A0A024JXA5	acetyl-CoA carboxylase	PF00289	Mycobacterium triplex
6.4.1.2	A0A024JXA5	acetyl-CoA carboxylase	PF00364	Mycobacterium triplex
6.4.1.2	A0A024JXA5	acetyl-CoA carboxylase	PF01039	Mycobacterium triplex
6.4.1.2	A0A024JXA5	acetyl-CoA carboxylase	PF02786	Mycobacterium triplex
4.2.1.2	P05042	Fumarate hydratase class II	PF10415	Escherichia coli (strain K12)
4.2.1.2	P05042	Fumarate hydratase class II	PF00206	Escherichia coli (strain K12)
5.4.1.3	A9WC36	2-methylfumaryl-CoA isomerase	PF02515	Chloroflexus aurantiacus (strain ATCC 29366 / DSM 635 / J-10-fl)
