# target_name	query_name	e_value	score	bias
WP_002782849.1	adh_short	2.59e-72	240.6	5.9
WP_012267917.1	adh_short	8.43e-56	186.7	7.3
WP_002756865.1	adh_short	3.56e-53	178.2	0.1
WP_012264659.1	adh_short	3.78e-53	178.1	0.0
WP_002743823.1	adh_short	8.58e-51	170.4	0.2
WP_002735163.1	adh_short	3.81e-49	165.0	3.7
WP_079207766.1	adh_short	2.50e-48	162.3	0.0
WP_079208552.1	adh_short	1.38e-45	153.4	0.0
WP_012267920.1	adh_short	2.74e-45	152.4	0.0
WP_079209565.1	adh_short	3.68e-43	145.5	0.0
WP_002797558.1	adh_short	3.07e-26	90.3	0.1
WP_079206637.1	adh_short	3.75e-19	67.1	1.6
WP_079209512.1	adh_short	5.17e-18	63.4	0.0
WP_079209465.1	adh_short	8.51e-16	56.2	0.0
WP_079209224.1	adh_short	1.92e-15	55.0	0.0
WP_079207764.1	adh_short	2.02e-15	55.0	0.0
WP_249267845.1	adh_short	5.80e-15	53.5	0.0
WP_079205603.1	adh_short	2.54e-14	51.4	0.2
WP_249268185.1	adh_short	4.63e-14	50.5	0.0
WP_079209236.1	adh_short	1.68e-12	45.4	0.0
WP_079206464.1	adh_short	1.09e-10	39.5	0.0
WP_249268186.1	adh_short	1.12e-09	36.2	0.0
WP_079210279.1	adh_short	2.70e-08	31.7	0.1
WP_079205714.1	adh_short	7.48e-07	27.0	0.2
WP_249267875.1	adh_short	2.54e-06	25.3	0.0
WP_079207790.1	ADH_zinc_N	5.82e-28	95.6	0.2
WP_079209724.1	ADH_zinc_N	9.65e-27	91.7	0.0
WP_079205581.1	ADH_zinc_N	4.85e-23	79.7	0.3
WP_079207764.1	ADH_zinc_N	1.25e-16	59.0	0.0
WP_079206466.1	ADH_zinc_N	1.66e-12	45.6	0.0
WP_079207139.1	ADH_zinc_N	4.41e-06	24.9	0.2
WP_079205853.1	Thiolase_N	1.31e-80	268.7	0.0
WP_249268186.1	Thiolase_N	2.49e-11	41.6	2.1
WP_079209703.1	Thiolase_N	1.08e-08	33.0	0.5
WP_079209917.1	Thiolase_N	4.89e-06	24.3	0.2
WP_079207116.1	Lyase_1	9.81e-101	335.4	0.0
WP_079209692.1	Lyase_1	5.74e-78	260.6	0.0
WP_079208674.1	Lyase_1	2.42e-61	206.0	0.0
WP_002734953.1	Biotin_carb_N	1.98e-46	155.2	0.6
WP_079209690.1	NUDIX	4.33e-23	80.0	0.0
WP_002799564.1	NUDIX	1.77e-21	74.8	0.0
WP_079209288.1	NUDIX	3.58e-19	67.3	0.1
WP_079206307.1	NUDIX	1.66e-17	61.9	0.0
WP_079209581.1	NUDIX	4.29e-17	60.6	0.0
WP_079209860.1	NUDIX	1.02e-13	49.7	0.0
WP_079210191.1	NUDIX	4.77e-12	44.3	0.0
WP_079205692.1	Biotin_lipoyl	3.72e-22	76.2	0.1
WP_079206603.1	Biotin_lipoyl	7.65e-18	62.3	0.5
WP_079209202.1	Biotin_lipoyl	1.06e-06	26.6	0.5
WP_079209205.1	Biotin_lipoyl	2.72e-06	25.3	8.3
WP_079209910.1	ECH_1	5.28e-73	243.6	0.0
WP_079209001.1	Nitroreductase	2.74e-34	116.9	0.0
WP_079205434.1	Nitroreductase	9.13e-31	105.5	0.1
WP_012267896.1	FAD_binding_2	1.34e-113	378.5	1.0
WP_079208982.1	FAD_binding_2	1.71e-95	318.8	0.9
WP_079207227.1	FAD_binding_2	7.60e-10	36.7	3.5
WP_079205918.1	FAD_binding_2	2.70e-08	31.6	5.1
WP_079209197.1	FAD_binding_2	7.16e-08	30.2	0.3
WP_079205880.1	FAD_binding_2	2.56e-07	28.4	0.5
WP_079205898.1	FAD_binding_2	5.14e-07	27.4	4.6
WP_079209307.1	FAD_binding_2	5.52e-07	27.3	0.7
WP_079207192.1	FAD_binding_2	1.24e-06	26.1	0.3
WP_079206535.1	FAD_binding_2	3.58e-06	24.6	1.2
WP_079208609.1	FAD_binding_2	4.52e-06	24.3	0.0
WP_079206334.1	Carboxyl_trans	1.33e-23	81.5	0.0
WP_079206907.1	Carboxyl_trans	1.52e-15	55.0	0.0
WP_079207803.1	B12-binding	1.74e-19	68.0	0.0
WP_079208652.1	B12-binding	1.33e-11	42.6	0.0
WP_079208979.1	B12-binding	2.69e-11	41.6	0.0
WP_079206931.1	B12-binding	5.35e-10	37.4	0.1
WP_002734953.1	Biotin_carb_C	4.22e-44	147.3	0.0
WP_079205896.1	CPSase_L_D2	4.66e-113	374.1	0.1
WP_002734953.1	CPSase_L_D2	2.86e-83	276.8	0.0
WP_079207957.1	CPSase_L_D2	5.85e-10	37.2	0.1
WP_079208339.1	CPSase_L_D2	2.70e-06	25.2	0.0
WP_012267896.1	Succ_DH_flav_C	3.32e-47	157.9	0.0
WP_079208982.1	Succ_DH_flav_C	2.01e-16	58.3	0.0
WP_079206907.1	ACCA	1.31e-142	472.7	0.0
WP_079209025.1	HpcH_HpaI	6.23e-12	43.4	0.3
WP_002758171.1	HpcH_HpaI	2.27e-06	25.3	1.0
WP_079209724.1	ADH_N	3.38e-30	102.6	0.3
WP_079207790.1	ADH_N	4.52e-24	82.9	0.1
WP_079205581.1	ADH_N	1.25e-19	68.6	0.4
WP_079206466.1	ADH_N	4.87e-17	60.3	0.0
WP_079207764.1	ADH_N	1.44e-10	39.5	0.5
WP_079207116.1	FumaraseC_C	3.03e-20	70.6	0.2
WP_002795461.1	Fer2_3	1.43e-33	113.3	0.9
WP_079209971.1	Fer4_8	1.73e-13	49.1	3.4
WP_002795461.1	Fer4_8	3.96e-11	41.5	6.7
WP_079209079.1	Fer4_8	1.91e-09	36.1	5.3
WP_002752680.1	Fer4_8	2.67e-07	29.3	8.1
WP_012267911.1	Fer4_8	4.49e-06	25.3	9.7
WP_012267911.1	Fer4_10	6.83e-11	40.2	16.3
WP_002752680.1	Fer4_10	2.20e-09	35.3	23.2
WP_079205495.1	Fer4_10	3.45e-09	34.7	7.9
WP_002734319.1	Fer4_10	3.91e-09	34.5	28.0
WP_079209079.1	Fer4_10	7.29e-09	33.7	21.6
WP_016516721.1	Fer4_10	8.93e-09	33.4	5.5
WP_079209971.1	Fer4_10	1.11e-08	33.1	16.1
WP_079209971.1	Fer4_17	5.22e-10	38.0	3.9
WP_079208779.1	Fer4_17	3.44e-07	28.9	6.4
WP_002734319.1	Fer4_17	3.69e-07	28.8	13.1
WP_012267911.1	Fer4_17	6.02e-07	28.1	3.6
WP_079209079.1	Fer4_17	1.99e-06	26.5	5.8
WP_002797558.1	adh_short_C2	3.94e-88	293.2	0.1
WP_002782849.1	adh_short_C2	3.12e-70	234.6	4.3
WP_012267917.1	adh_short_C2	1.19e-64	216.3	4.2
WP_002735163.1	adh_short_C2	2.68e-52	175.9	0.8
WP_012267920.1	adh_short_C2	2.79e-49	166.0	0.0
WP_002756865.1	adh_short_C2	2.43e-43	146.6	0.1
WP_002743823.1	adh_short_C2	2.57e-37	126.9	0.2
WP_079209565.1	adh_short_C2	1.51e-36	124.3	0.0
WP_012264659.1	adh_short_C2	4.13e-32	109.8	0.0
WP_079207766.1	adh_short_C2	2.73e-29	100.6	0.0
WP_079208552.1	adh_short_C2	1.07e-25	88.8	0.0
WP_079206637.1	adh_short_C2	7.45e-25	86.1	0.9
WP_079207764.1	adh_short_C2	2.35e-13	48.4	0.0
WP_079209465.1	adh_short_C2	8.11e-13	46.7	0.0
WP_249268185.1	adh_short_C2	3.37e-11	41.4	0.0
WP_249267845.1	adh_short_C2	2.42e-10	38.6	0.0
WP_079205603.1	adh_short_C2	1.17e-09	36.3	0.0
WP_079209224.1	adh_short_C2	1.22e-09	36.3	0.0
WP_079209236.1	adh_short_C2	1.49e-07	29.4	0.0
WP_079209512.1	adh_short_C2	1.61e-06	26.1	0.0
WP_079210279.1	adh_short_C2	2.19e-06	25.6	0.0
WP_002796773.1	Glyoxalase_4	5.69e-11	40.9	0.0
WP_079208903.1	Glyoxalase_4	2.27e-10	39.0	0.0
WP_079208068.1	Glyoxalase_4	3.07e-08	32.1	0.0
WP_079206408.1	Glyoxalase_4	9.95e-07	27.2	0.0
WP_039900611.1	Glyoxalase_4	2.97e-06	25.7	0.0
