strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
FACHB-1061,GCF_014698895.1,WP_011243157.1,3-oxoacyl-[acyl-carrier-protein] reductase [Synechococcus elongatus],adh_short,adh_short,3.69163781882215e-68,226.1653594970703,6.0294647216796875,4.464091598052169e-68,225.8961181640625
FACHB-1061,GCF_014698895.1,WP_011242343.1,glucose 1-dehydrogenase [Synechococcus elongatus],adh_short,adh_short,1.5179476724284374e-55,185.00604248046875,0.0848388671875,2.860583997924853e-55,184.1080780029297
FACHB-1061,GCF_014698895.1,WP_011242366.1,SDR family oxidoreductase [Synechococcus elongatus],adh_short,adh_short,8.226026727440768e-51,169.559326171875,0.0053253173828125,1.0463417878135818e-50,169.21839904785156
FACHB-1061,GCF_014698895.1,WP_011243836.1,SDR family oxidoreductase [Synechococcus elongatus],adh_short,adh_short,3.0709337074223127e-30,102.43309783935547,0.00057220458984375,3.67249157340841e-30,102.17959594726562
FACHB-1061,GCF_014698895.1,WP_272948005.1,enoyl-ACP reductase FabI [Synechococcus elongatus],adh_short,adh_short,6.272377652842807e-21,72.05425262451172,0.10962677001953125,1.038908165058108e-20,71.33918762207031
FACHB-1061,GCF_014698895.1,WP_011378491.1,protochlorophyllide reductase [Synechococcus elongatus],adh_short,adh_short,7.377223559740048e-21,71.8243408203125,0.0003662109375,4.2208893158884487e-19,66.0896224975586
FACHB-1061,GCF_014698895.1,WP_011378442.1,SDR family NAD(P)-dependent oxidoreductase [Synechococcus elongatus],adh_short,adh_short,8.924566455963878e-20,68.29153442382812,0.00049591064453125,1.1517306000461003e-19,67.93011474609375
FACHB-1061,GCF_014698895.1,WP_011242991.1,bifunctional sterol desaturase/short chain dehydrogenase [Synechococcus elongatus],adh_short,adh_short,2.1163449983148864e-09,34.438148498535156,0.03668975830078125,6.417282334077237e-09,32.86616134643555
FACHB-1061,GCF_014698895.1,WP_011243371.1,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase [Synechococcus elongatus],ADH_zinc_N,ADH_zinc_N,7.15976762135679e-26,87.9909439086914,0.0382843017578125,1.2862405142116635e-25,87.16822814941406
FACHB-1061,GCF_014698895.1,WP_011377499.1,zinc-dependent alcohol dehydrogenase family protein [Synechococcus elongatus],ADH_zinc_N,ADH_zinc_N,3.5112350298560846e-24,82.52426147460938,0.02201080322265625,9.957784352452746e-24,81.06037902832031
FACHB-1061,GCF_014698895.1,WP_234910060.1,NAD(P)-dependent alcohol dehydrogenase [Synechococcus elongatus],ADH_zinc_N,ADH_zinc_N,9.638268687940768e-13,45.53602981567383,0.00994110107421875,1.5643623518380615e-12,44.85586929321289
FACHB-1061,GCF_014698895.1,WP_011242415.1,beta-ketoacyl-ACP synthase III [Synechococcus elongatus],Thiolase_N,Thiolase_N,9.012165036122718e-08,29.083763122558594,0.9133243560791016,2.1856864838108226e-07,27.82269287109375
FACHB-1061,GCF_014698895.1,WP_011242850.1,class II fumarate hydratase [Synechococcus elongatus],Lyase_1,Lyase_1,6.284611794749303e-109,361.4393310546875,0.0048828125,7.732020833720362e-109,361.1436462402344
FACHB-1061,GCF_014698895.1,WP_039755911.1,argininosuccinate lyase [Synechococcus elongatus],Lyase_1,Lyase_1,1.5296006830490805e-77,258.3398742675781,0.00054931640625,2.390030330319087e-77,257.70318603515625
FACHB-1061,GCF_014698895.1,WP_011377532.1,adenylosuccinate lyase [Synechococcus elongatus],Lyase_1,Lyase_1,1.074798792511102e-62,209.57044982910156,0.022552490234375,1.4406671869525408e-62,209.15249633789062
FACHB-1061,GCF_014698895.1,WP_011242491.1,acetyl-CoA carboxylase biotin carboxylase subunit [Synechococcus elongatus],Biotin_carb_N,Biotin_carb_N,1.6794303527427718e-46,154.5838165283203,2.035614013671875,7.881507526035757e-46,152.42254638671875
FACHB-1061,GCF_014698895.1,WP_011244596.1,NUDIX domain-containing protein [Synechococcus elongatus],NUDIX,NUDIX,2.053435203225962e-25,86.63513946533203,0.01068115234375,2.292613926228567e-25,86.48025512695312
FACHB-1061,GCF_014698895.1,WP_011243168.1,A/G-specific adenine glycosylase [Synechococcus elongatus],NUDIX,NUDIX,3.600044819124588e-21,72.89839172363281,0.17819976806640625,6.011827457279524e-21,72.17754364013672
FACHB-1061,GCF_014698895.1,WP_011244138.1,NUDIX hydrolase [Synechococcus elongatus],NUDIX,NUDIX,2.7039637282474156e-20,70.06388092041016,0.8220977783203125,3.3421694559145674e-20,69.76599884033203
FACHB-1061,GCF_014698895.1,WP_011377492.1,bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase [Synechococcus elongatus],NUDIX,NUDIX,4.115679138399283e-20,69.47334289550781,0.0175018310546875,9.502293768530108e-20,68.29710388183594
FACHB-1061,GCF_014698895.1,WP_011377412.1,NUDIX hydrolase [Synechococcus elongatus],NUDIX,NUDIX,6.24351240246154e-14,49.466243743896484,0.10941314697265625,7.863384742228711e-14,49.141971588134766
FACHB-1061,GCF_014698895.1,WP_011243856.1,acetyl-CoA carboxylase biotin carboxyl carrier protein [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,1.6575869686649683e-24,82.82205963134766,0.02719879150390625,3.352461434052987e-24,81.84201049804688
FACHB-1061,GCF_014698895.1,WP_011377850.1,dihydrolipoamide acetyltransferase family protein [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,7.047531642248242e-18,61.5844612121582,0.3343391418457031,1.2854873770543737e-17,60.748130798339844
FACHB-1061,GCF_014698895.1,WP_011377875.1,HlyD family efflux transporter periplasmic adaptor subunit [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,9.73129079801936e-06,22.68804168701172,1.5846900939941406,0.0029391284409145697,14.742083549499512
FACHB-1061,GCF_014698895.1,WP_011377875.1,HlyD family efflux transporter periplasmic adaptor subunit [Synechococcus elongatus],Biotin_lipoyl,Biotin_lipoyl,9.73129079801936e-06,22.68804168701172,1.5846900939941406,1.3657572868922352,6.196643829345703
FACHB-1061,GCF_014698895.1,WP_011377638.1,"1,4-dihydroxy-2-naphthoyl-CoA synthase [Synechococcus elongatus]",ECH_1,ECH_1,3.3280830004346543e-74,246.6649627685547,0.00213623046875,4.017606325263489e-74,246.39707946777344
FACHB-1061,GCF_014698895.1,WP_011244739.1,NAD(P)H-dependent oxidoreductase [Synechococcus elongatus],Nitroreductase,Nitroreductase,7.618814658186769e-21,72.31776428222656,0.5951995849609375,1.3055590940161404e-20,71.55677795410156
FACHB-1061,GCF_014698895.1,WP_011378229.1,L-aspartate oxidase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,1.7378854289897296e-95,317.9059753417969,1.261474609375,2.916545496803919e-95,317.16534423828125
FACHB-1061,GCF_014698895.1,WP_011377658.1,fumarate reductase/succinate dehydrogenase flavoprotein subunit [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,1.808851306278654e-49,166.32818603515625,1.4263916015625,2.541165457366846e-49,165.84190368652344
FACHB-1061,GCF_014698895.1,WP_011378159.1,phytoene desaturase family protein [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,9.480445643944303e-13,45.37716293334961,3.1938018798828125,3.4718593796324756e-06,23.7567195892334
FACHB-1061,GCF_014698895.1,WP_011378159.1,phytoene desaturase family protein [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,9.480445643944303e-13,45.37716293334961,3.1938018798828125,2.184542572648606e-05,21.125537872314453
FACHB-1061,GCF_014698895.1,WP_011377880.1,FAD-dependent oxidoreductase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,1.323635324493867e-10,38.311893463134766,1.1323318481445312,5.88763978642434e-10,36.17686080932617
FACHB-1061,GCF_014698895.1,WP_011377549.1,flavin monoamine oxidase family protein [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,4.001770361999146e-09,33.4352912902832,3.1187973022460938,4.765937124104067e-09,33.18529510498047
FACHB-1061,GCF_014698895.1,WP_011244229.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,3.5632927582681805e-08,30.307382583618164,0.15941238403320312,5.286436351515346e-08,29.74309539794922
FACHB-1061,GCF_014698895.1,WP_011377934.1,carotenoid isomerase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,4.9493225098510674e-08,29.837358474731445,7.070913314819336,6.655024408070543e-05,19.531972885131836
FACHB-1061,GCF_014698895.1,WP_011242885.1,"C-3',4' desaturase CrtD [Synechococcus elongatus]",FAD_binding_2,FAD_binding_2,6.960097591055592e-08,29.349628448486328,11.54446029663086,0.0007381766414893006,16.089786529541016
FACHB-1061,GCF_014698895.1,WP_011242885.1,"C-3',4' desaturase CrtD [Synechococcus elongatus]",FAD_binding_2,FAD_binding_2,6.960097591055592e-08,29.349628448486328,11.54446029663086,0.003657076681283947,13.8005952835083
FACHB-1061,GCF_014698895.1,WP_011378298.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,8.919980037563853e-08,28.994712829589844,1.7869644165039062,1.8584588930322976e-05,21.356796264648438
FACHB-1061,GCF_014698895.1,WP_011378298.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,8.919980037563853e-08,28.994712829589844,1.7869644165039062,0.918614370148421,5.89517879486084
FACHB-1061,GCF_014698895.1,WP_011242908.1,flavin monoamine oxidase family protein [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,1.681873360666945e-07,28.08746910095215,0.3653907775878906,2.6940413024987235e-07,27.413496017456055
FACHB-1061,GCF_014698895.1,WP_011377912.1,dihydrolipoyl dehydrogenase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,3.812027158797929e-07,26.91693115234375,5.555362701416016,5.0274005816268596e-05,19.93319320678711
FACHB-1061,GCF_014698895.1,WP_011377912.1,dihydrolipoyl dehydrogenase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,3.812027158797929e-07,26.91693115234375,5.555362701416016,0.5531363260888044,6.620833873748779
FACHB-1061,GCF_014698895.1,WP_011242552.1,FADH(2)-oxidizing methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase TrmFO [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,7.114210428021715e-07,26.02437400817871,0.14622879028320312,1.1755500427864702e-06,25.30592155456543
FACHB-1061,GCF_014698895.1,WP_011243397.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,7.264682545694571e-07,25.99443244934082,0.7314796447753906,9.959535660469055e-07,25.5430908203125
FACHB-1061,GCF_014698895.1,WP_011242603.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,1.0420014488597925e-06,25.47843360900879,0.06982612609863281,0.0009013534186247773,15.804088592529297
FACHB-1061,GCF_014698895.1,WP_011242603.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,1.0420014488597925e-06,25.47843360900879,0.06982612609863281,0.5682389863741787,6.582298755645752
FACHB-1061,GCF_014698895.1,WP_011378061.1,"9,9'-di-cis-zeta-carotene desaturase [Synechococcus elongatus]",FAD_binding_2,FAD_binding_2,2.1023153518395342e-06,24.474348068237305,2.538116455078125,2.3825421369511507e-06,24.295347213745117
FACHB-1061,GCF_014698895.1,WP_011377457.1,NAD(P)/FAD-dependent oxidoreductase [Synechococcus elongatus],FAD_binding_2,FAD_binding_2,2.220069393929898e-06,24.396385192871094,0.5269451141357422,4.213636305834755e-06,23.479717254638672
