# target_name	query_name	e_value	score	bias
WP_006278496.1	adh_short	8.50e-70	231.8	8.0
WP_006276487.1	adh_short	4.33e-61	203.4	3.7
WP_006278092.1	adh_short	3.44e-50	167.9	0.0
WP_071242035.1	adh_short	7.06e-49	163.6	0.1
WP_006276682.1	adh_short	1.40e-42	143.0	0.0
WP_071242336.1	adh_short	7.88e-39	130.8	0.0
WP_219727030.1	adh_short	2.61e-27	93.2	0.0
WP_057178853.1	adh_short	1.51e-22	77.7	0.0
WP_040009970.1	adh_short	2.12e-22	77.2	0.0
WP_102947456.1	adh_short	2.75e-16	57.2	0.0
WP_102938398.1	adh_short	1.40e-14	51.7	0.0
WP_102939035.1	adh_short	1.14e-13	48.7	0.9
WP_040008736.1	adh_short	2.02e-12	44.6	0.0
WP_102939230.1	adh_short	5.47e-12	43.2	0.1
WP_102947457.1	adh_short	2.12e-11	41.3	0.1
WP_071242477.1	adh_short	1.41e-09	35.3	0.1
WP_102947348.1	adh_short	4.85e-07	27.1	0.2
WP_102947680.1	adh_short	5.39e-07	26.9	0.2
WP_006276587.1	adh_short	5.60e-06	23.6	0.0
WP_006278216.1	ADH_zinc_N	4.49e-25	85.7	0.0
WP_006278853.1	ADH_zinc_N	2.72e-23	80.0	0.0
WP_040009923.1	ADH_zinc_N	6.78e-14	49.6	0.5
WP_040008736.1	Thiolase_N	6.72e-08	29.8	0.1
WP_006276069.1	Thiolase_N	1.89e-07	28.4	0.5
WP_102938893.1	Lyase_1	3.07e-88	293.8	0.0
WP_006276552.1	Lyase_1	1.69e-75	252.0	0.0
WP_006277977.1	Lyase_1	6.25e-60	200.8	0.0
WP_102947683.1	Biotin_carb_N	8.42e-47	155.9	0.2
WP_102947724.1	NUDIX	6.85e-24	82.0	0.3
WP_006276560.1	NUDIX	2.61e-23	80.2	0.0
WP_006276737.1	NUDIX	1.03e-20	71.8	0.0
WP_006278462.1	NUDIX	1.51e-20	71.2	0.3
WP_006276438.1	NUDIX	4.37e-13	47.1	0.0
WP_006278700.1	NUDIX	2.44e-12	44.6	0.0
WP_006277511.1	NUDIX	2.77e-10	38.0	0.0
WP_006278262.1	NUDIX	8.16e-10	36.5	0.0
WP_006276250.1	Biotin_lipoyl	3.74e-26	88.4	0.6
WP_040007998.1	Biotin_lipoyl	4.02e-18	62.7	0.8
WP_006275889.1	Biotin_lipoyl	1.58e-07	28.7	1.5
WP_006276660.1	Biotin_lipoyl	2.41e-06	25.0	0.1
WP_006276140.1	Biotin_lipoyl	3.64e-06	24.4	0.1
WP_006278636.1	Biotin_lipoyl	6.29e-06	23.6	0.3
WP_065179888.1	Biotin_lipoyl	6.61e-06	23.6	3.5
WP_006278256.1	Biotin_lipoyl	9.33e-06	23.1	0.5
WP_102947494.1	ECH_1	3.32e-74	247.0	0.0
WP_006276484.1	Nitroreductase	8.78e-34	114.7	0.0
WP_099046613.1	Nitroreductase	1.04e-20	72.2	0.4
WP_006276098.1	FAD_binding_2	2.20e-115	383.8	3.3
WP_102943601.1	FAD_binding_2	2.23e-91	304.7	1.4
WP_006278090.1	FAD_binding_2	1.28e-23	81.5	6.1
WP_006277451.1	FAD_binding_2	5.39e-11	39.9	5.3
WP_006277623.1	FAD_binding_2	3.10e-09	34.1	0.4
WP_102947712.1	FAD_binding_2	9.72e-09	32.5	0.1
WP_006276197.1	FAD_binding_2	2.19e-08	31.3	1.3
WP_102947370.1	FAD_binding_2	7.43e-08	29.6	0.5
WP_006275633.1	FAD_binding_2	1.12e-07	29.0	0.1
WP_102947403.1	FAD_binding_2	5.26e-07	26.8	1.2
WP_102943420.1	FAD_binding_2	6.66e-07	26.5	0.3
WP_006278060.1	FAD_binding_2	1.76e-06	25.1	0.4
WP_177169542.1	FAD_binding_2	6.30e-06	23.2	2.3
WP_006276218.1	FAD_binding_2	7.05e-06	23.1	1.7
WP_006276581.1	Carboxyl_trans	5.36e-24	82.3	0.0
WP_102943861.1	Carboxyl_trans	3.63e-14	49.9	0.2
WP_040008579.1	B12-binding	4.09e-22	75.9	0.0
WP_102947379.1	B12-binding	7.39e-21	71.9	0.0
WP_006276124.1	B12-binding	1.02e-12	45.6	0.0
WP_102947683.1	Biotin_carb_C	4.65e-44	146.6	0.0
WP_006276734.1	CPSase_L_D2	2.28e-112	371.3	0.2
WP_102947683.1	CPSase_L_D2	2.70e-87	289.4	0.1
WP_006277172.1	CPSase_L_D2	2.79e-08	31.2	0.1
WP_006276828.1	CPSase_L_D2	1.17e-06	25.9	0.0
WP_040008781.1	CPSase_L_D2	3.01e-06	24.5	0.6
WP_006276098.1	Succ_DH_flav_C	5.05e-44	147.0	0.0
WP_102943601.1	Succ_DH_flav_C	4.39e-16	56.7	0.0
WP_006278090.1	Succ_DH_flav_C	3.60e-11	40.8	0.0
WP_102943861.1	ACCA	1.87e-141	468.4	0.0
WP_006278853.1	ADH_N	1.17e-28	97.1	0.3
WP_006278216.1	ADH_N	9.11e-25	84.6	0.6
WP_040009923.1	ADH_N	2.87e-08	31.6	0.0
WP_102938893.1	FumaraseC_C	2.86e-23	79.7	1.2
WP_177169519.1	Fer2_3	3.59e-34	114.7	0.1
WP_006278769.1	Fer4_8	6.00e-13	46.8	3.0
WP_177169519.1	Fer4_8	4.79e-12	43.9	7.1
WP_006277437.1	Fer4_8	3.60e-09	34.7	9.9
WP_071242437.1	Fer4_8	1.34e-07	29.7	7.9
WP_102947644.1	Fer4_8	1.73e-07	29.3	8.3
WP_006277810.1	Fer4_8	4.32e-07	28.1	9.0
WP_102947367.1	Fer4_8	2.02e-06	25.9	9.0
WP_006277702.1	Fer4_8	3.71e-06	25.1	6.3
WP_006277437.1	Fer4_10	2.33e-12	44.3	23.1
WP_006277810.1	Fer4_10	1.03e-11	42.2	16.2
WP_071242437.1	Fer4_10	5.43e-10	36.7	9.1
WP_102947644.1	Fer4_10	9.46e-10	36.0	6.8
WP_006277148.1	Fer4_10	1.12e-09	35.7	6.0
WP_006277702.1	Fer4_10	1.60e-09	35.2	9.4
WP_071985099.1	Fer4_10	5.64e-09	33.5	15.1
WP_006278089.1	Fer4_10	1.41e-08	32.2	10.1
WP_006278769.1	Fer4_10	3.18e-08	31.1	6.6
WP_102947367.1	Fer4_10	8.53e-08	29.7	4.0
WP_177169519.1	Fer4_10	3.94e-06	24.4	9.1
WP_006276080.1	Fer4_10	4.37e-06	24.2	5.3
WP_006278581.1	Fer4_10	5.95e-06	23.8	16.5
WP_006278769.1	Fer4_17	3.95e-10	37.8	3.4
WP_071985099.1	Fer4_17	6.72e-08	30.6	12.6
WP_177169519.1	Fer4_17	3.71e-07	28.3	7.0
WP_102938981.1	Fer4_17	5.25e-07	27.8	4.9
WP_102947367.1	Fer4_17	1.88e-06	26.0	9.1
WP_102947644.1	Fer4_17	2.25e-06	25.8	5.1
WP_057178853.1	adh_short_C2	1.10e-87	291.2	0.0
WP_006278496.1	adh_short_C2	1.92e-70	234.7	5.2
WP_006278092.1	adh_short_C2	4.01e-51	171.5	0.0
WP_006276487.1	adh_short_C2	1.51e-46	156.5	4.8
WP_006276682.1	adh_short_C2	5.12e-46	154.8	0.0
WP_071242336.1	adh_short_C2	3.95e-35	119.1	0.0
WP_071242035.1	adh_short_C2	1.31e-34	117.4	0.0
WP_219727030.1	adh_short_C2	6.97e-26	88.9	0.0
WP_040009970.1	adh_short_C2	3.24e-13	47.4	0.0
WP_102938398.1	adh_short_C2	1.80e-11	41.7	0.1
WP_102947456.1	adh_short_C2	1.69e-10	38.5	0.0
WP_102939035.1	adh_short_C2	3.64e-08	30.9	0.0
WP_040008736.1	adh_short_C2	6.68e-07	26.8	0.1
WP_006276864.1	Glyoxalase_4	9.86e-20	68.5	0.0
WP_050784611.1	Glyoxalase_4	1.76e-10	38.8	0.0
