strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
GP2,GCF_047302875.1,WP_011817965.1,3-oxoacyl-[acyl-carrier-protein] reductase [Prochlorococcus marinus],adh_short,adh_short,1.0339317894600504e-67,224.13604736328125,1.605438232421875,1.2570660517186484e-67,223.859130859375
GP2,GCF_047302875.1,WP_032523673.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,3.2226315815581143e-48,160.5284881591797,0.010650634765625,3.77482422673823e-48,160.3043670654297
GP2,GCF_047302875.1,WP_032524942.1,oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,1.4039024581710442e-35,119.28730773925781,0.02620697021484375,9.201201036928133e-35,116.62306213378906
GP2,GCF_047302875.1,WP_032523759.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,3.4118687521221257e-35,118.02892303466797,0.000946044921875,4.0024082759862464e-35,117.80270385742188
GP2,GCF_047302875.1,WP_032524251.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,2.3904388580824337e-28,95.6922607421875,0.0131988525390625,3.9763424878796963e-28,94.97112274169922
GP2,GCF_047302875.1,WP_032523794.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,1.6704775445548876e-21,73.35926055908203,0.00426483154296875,1.3908274667634738e-17,60.566978454589844
GP2,GCF_047302875.1,WP_032523794.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,1.6704775445548876e-21,73.35926055908203,0.00426483154296875,0.026750050005892652,10.695467948913574
GP2,GCF_047302875.1,WP_032524039.1,enoyl-ACP reductase FabI [Prochlorococcus marinus],adh_short,adh_short,3.934033062385541e-18,62.356510162353516,0.00083160400390625,5.196387239144399e-18,61.962135314941406
GP2,GCF_047302875.1,WP_032524129.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,3.683136139735499e-17,59.186920166015625,0.0004425048828125,2.60567564258085e-16,56.41436004638672
GP2,GCF_047302875.1,WP_032523761.1,SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,1.1592116066712948e-15,54.29916000366211,0.008563995361328125,8.89560122999531e-14,48.148406982421875
GP2,GCF_047302875.1,WP_032524727.1,NAD-dependent epimerase [Prochlorococcus marinus],adh_short,adh_short,3.948904610194104e-08,29.721391677856445,0.18140602111816406,2.6804845753597543e-07,27.00745391845703
GP2,GCF_047302875.1,WP_032524180.1,SDR family oxidoreductase [Prochlorococcus marinus],adh_short,adh_short,4.589783984198473e-08,29.508268356323242,0.23481369018554688,4.5773542709223787e-07,26.249134063720703
GP2,GCF_047302875.1,WP_032524709.1,UDP-glucose 4-epimerase GalE [Prochlorococcus marinus],adh_short,adh_short,2.7287509133445003e-06,23.719186782836914,0.05970954895019531,1.596359997739978e-05,21.215938568115234
GP2,GCF_047302875.1,WP_032525002.1,class II fumarate hydratase [Prochlorococcus marinus],Lyase_1,Lyase_1,6.51459393742522e-94,311.5415344238281,0.00384521484375,8.202999586749569e-94,311.2127685546875
GP2,GCF_047302875.1,WP_032523803.1,argininosuccinate lyase [Prochlorococcus marinus],Lyase_1,Lyase_1,3.327561381642452e-72,240.2331085205078,0.000518798828125,4.1274352817655295e-72,239.92579650878906
GP2,GCF_047302875.1,WP_032525001.1,adenylosuccinate lyase [Prochlorococcus marinus],Lyase_1,Lyase_1,3.5912665538791e-52,174.4272003173828,0.0193939208984375,4.889832574541199e-52,173.98687744140625
GP2,GCF_047302875.1,WP_025923813.1,acetyl-CoA carboxylase biotin carboxylase subunit [Prochlorococcus marinus],Biotin_carb_N,Biotin_carb_N,1.269105836441158e-47,157.63209533691406,0.23138427734375,3.897249968818189e-47,156.06369018554688
GP2,GCF_047302875.1,WP_032524042.1,NUDIX hydrolase [Prochlorococcus marinus],NUDIX,NUDIX,1.1647248862688755e-14,51.26128005981445,0.011932373046875,1.5662639566101405e-14,50.84488296508789
GP2,GCF_047302875.1,WP_032523817.1,acetyl-CoA carboxylase biotin carboxyl carrier protein [Prochlorococcus marinus],Biotin_lipoyl,Biotin_lipoyl,9.378532229715978e-22,73.44310760498047,0.204498291015625,1.499940875749163e-21,72.7896957397461
GP2,GCF_047302875.1,WP_032524121.1,dihydrolipoamide acetyltransferase family protein [Prochlorococcus marinus],Biotin_lipoyl,Biotin_lipoyl,1.7578134704214894e-19,66.16104125976562,0.1646270751953125,4.906993612200079e-19,64.73258209228516
GP2,GCF_047302875.1,WP_032523736.1,"1,4-dihydroxy-2-naphthoyl-CoA synthase [Prochlorococcus marinus]",ECH_1,ECH_1,8.475154510896371e-67,221.83145141601562,0.0008087158203125,1.0608526735536785e-66,221.51202392578125
GP2,GCF_047302875.1,WP_032523881.1,L-aspartate oxidase [Prochlorococcus marinus],FAD_binding_2,FAD_binding_2,2.954689277651474e-88,293.5140075683594,0.23785400390625,3.532154773758706e-88,293.2586364746094
