# target_name	query_name	e_value	score	bias
WP_026787955.1	adh_short	2.52e-68	227.5	7.0
WP_026794484.1	adh_short	1.00e-60	202.7	0.2
WP_026793679.1	adh_short	8.81e-59	196.4	0.3
WP_026794990.1	adh_short	1.69e-55	185.7	0.1
WP_026795686.1	adh_short	4.32e-51	171.3	0.0
WP_027250248.1	adh_short	1.15e-50	169.9	0.3
WP_026793603.1	adh_short	6.67e-50	167.4	0.0
WP_026796161.1	adh_short	2.27e-45	152.6	0.0
WP_026795166.1	adh_short	1.45e-29	101.1	0.0
WP_081694784.1	adh_short	2.58e-25	87.2	0.7
WP_026785557.1	adh_short	1.24e-24	85.0	0.0
WP_026787734.1	adh_short	1.58e-21	74.8	0.0
WP_026795533.1	adh_short	1.66e-20	71.5	0.0
WP_026795604.1	adh_short	7.78e-17	59.5	1.5
WP_026796166.1	adh_short	2.95e-15	54.4	0.2
WP_026793411.1	adh_short	2.79e-09	34.9	0.1
WP_026795535.1	adh_short	1.01e-06	26.5	0.0
WP_026785773.1	ADH_zinc_N	4.58e-30	102.4	0.2
WP_026785332.1	ADH_zinc_N	2.42e-27	93.6	0.0
WP_026796109.1	ADH_zinc_N	4.27e-21	73.4	0.1
WP_026794777.1	ADH_zinc_N	4.68e-13	47.4	0.2
WP_026795533.1	Thiolase_N	3.13e-11	41.3	1.2
WP_026794385.1	Thiolase_N	4.19e-06	24.4	1.0
WP_026795646.1	Lyase_1	6.37e-117	388.5	0.0
WP_026787546.1	Lyase_1	4.80e-76	254.3	0.0
WP_026794692.1	Lyase_1	5.12e-62	208.2	0.0
WP_026795290.1	Biotin_carb_N	3.39e-47	157.6	0.6
WP_026787757.1	NUDIX	8.94e-24	82.1	0.0
WP_202806342.1	NUDIX	9.68e-23	78.8	0.0
WP_026787659.1	NUDIX	1.08e-20	72.2	0.2
WP_026793341.1	NUDIX	1.58e-20	71.6	0.0
WP_026785427.1	NUDIX	1.72e-20	71.5	0.1
WP_026795160.1	NUDIX	3.72e-15	54.2	0.0
WP_026788494.1	NUDIX	1.74e-14	52.1	0.0
WP_026788966.1	Biotin_lipoyl	1.28e-24	84.0	0.2
WP_036832416.1	Biotin_lipoyl	3.66e-17	60.1	0.2
WP_026793926.1	Biotin_lipoyl	8.45e-10	36.5	0.1
WP_026795575.1	Biotin_lipoyl	6.01e-08	30.6	6.2
WP_026795579.1	Biotin_lipoyl	3.38e-07	28.2	0.6
WP_026795690.1	Biotin_lipoyl	5.49e-06	24.3	0.3
WP_026795240.1	ECH_1	7.35e-75	249.6	0.0
WP_027250340.1	Nitroreductase	3.22e-14	51.6	0.0
WP_036834404.1	Nitroreductase	2.32e-13	48.8	0.0
WP_026785767.1	FAD_binding_2	3.19e-121	403.5	2.6
WP_026794235.1	FAD_binding_2	2.33e-97	324.9	0.8
WP_026796194.1	FAD_binding_2	6.56e-93	310.3	0.3
WP_026793346.1	FAD_binding_2	1.54e-10	38.9	0.1
WP_026794275.1	FAD_binding_2	1.59e-10	38.9	0.5
WP_330949362.1	FAD_binding_2	1.96e-09	35.3	0.8
WP_026798471.1	FAD_binding_2	1.52e-08	32.4	0.1
WP_036831187.1	FAD_binding_2	4.17e-08	30.9	1.7
WP_026794182.1	FAD_binding_2	1.39e-07	29.2	3.5
WP_026795300.1	FAD_binding_2	4.37e-07	27.6	6.2
WP_051319704.1	FAD_binding_2	1.09e-06	26.2	0.3
WP_026794307.1	FAD_binding_2	1.11e-06	26.2	3.0
WP_026796095.1	FAD_binding_2	1.44e-06	25.9	0.3
WP_026794341.1	FAD_binding_2	1.55e-06	25.7	0.7
WP_026793946.1	FAD_binding_2	2.34e-06	25.2	0.9
WP_026795698.1	FAD_binding_2	3.63e-06	24.5	0.2
WP_026795632.1	FAD_binding_2	4.51e-06	24.2	0.3
WP_036834549.1	FAD_binding_2	4.51e-06	24.2	0.0
WP_026785851.1	FAD_binding_2	4.62e-06	24.2	0.2
WP_026794327.1	FAD_binding_2	5.03e-06	24.1	0.0
WP_026794248.1	FAD_binding_2	7.61e-06	23.5	0.8
WP_026793541.1	FAD_binding_2	9.73e-06	23.1	0.0
WP_026786342.1	Carboxyl_trans	1.35e-22	78.2	0.0
WP_026787167.1	Carboxyl_trans	2.58e-15	54.1	0.1
WP_026795271.1	B12-binding	1.94e-19	67.8	0.0
WP_026788028.1	B12-binding	1.53e-14	52.0	0.0
WP_026795451.1	B12-binding	4.46e-11	40.8	0.0
WP_026793562.1	B12-binding	6.13e-10	37.1	0.0
WP_026795290.1	Biotin_carb_C	1.35e-42	142.4	0.0
WP_026794619.1	CPSase_L_D2	6.74e-117	386.6	1.3
WP_026795290.1	CPSase_L_D2	3.67e-87	289.4	0.0
WP_026794104.1	CPSase_L_D2	2.77e-07	28.4	0.1
WP_026785767.1	Succ_DH_flav_C	1.41e-47	159.0	0.0
WP_026796194.1	Succ_DH_flav_C	8.77e-18	62.7	0.0
WP_026794235.1	Succ_DH_flav_C	4.58e-15	53.9	0.0
WP_026787167.1	ACCA	4.14e-141	467.7	0.0
WP_330943331.1	HpcH_HpaI	7.27e-06	23.5	0.4
WP_026785773.1	ADH_N	1.00e-23	81.7	0.4
WP_026785332.1	ADH_N	6.69e-22	75.9	0.2
WP_026794777.1	ADH_N	5.82e-21	72.9	0.3
WP_026796109.1	ADH_N	4.85e-19	66.7	0.4
WP_026795646.1	FumaraseC_C	1.18e-23	81.5	1.6
WP_026793334.1	Fer2_3	3.84e-33	111.8	0.0
WP_026793625.1	Fer4_8	7.63e-14	50.2	3.2
WP_026793334.1	Fer4_8	1.66e-12	45.9	6.9
WP_027250235.1	Fer4_8	3.62e-09	35.2	5.0
