# target_name	query_name	e_value	score	bias
WP_190385891.1	adh_short	1.21e-68	228.2	7.8
WP_190387025.1	adh_short	5.29e-61	203.3	0.8
WP_190387818.1	adh_short	2.32e-60	201.2	3.3
WP_190386972.1	adh_short	8.16e-56	186.4	0.9
WP_190385605.1	adh_short	9.12e-56	186.2	6.5
WP_190387570.1	adh_short	2.56e-50	168.5	0.0
WP_190388033.1	adh_short	4.90e-49	164.3	0.3
WP_190385607.1	adh_short	1.52e-43	146.4	0.0
WP_190384882.1	adh_short	1.68e-43	146.2	0.2
WP_190385683.1	adh_short	4.43e-41	138.3	0.0
WP_190385933.1	adh_short	4.85e-32	108.8	0.9
WP_190386544.1	adh_short	2.28e-24	83.8	0.0
WP_190387117.1	adh_short	2.26e-19	67.5	0.0
WP_190384887.1	adh_short	1.51e-13	48.5	0.8
WP_190386906.1	adh_short	2.13e-13	48.0	0.4
WP_190385604.1	adh_short	1.11e-11	42.4	0.2
WP_190387686.1	adh_short	3.22e-09	34.3	0.4
WP_190387172.1	ADH_zinc_N	8.95e-31	104.3	0.1
WP_190386778.1	ADH_zinc_N	5.05e-24	82.5	0.0
WP_190386879.1	ADH_zinc_N	1.40e-21	74.6	0.0
WP_190387003.1	ADH_zinc_N	2.34e-10	38.3	0.0
WP_190388146.1	Lyase_1	8.21e-89	295.9	0.0
WP_190387510.1	Lyase_1	6.11e-76	253.6	0.0
WP_190386968.1	Lyase_1	1.28e-60	203.3	0.0
WP_190385536.1	Biotin_carb_N	1.72e-46	155.0	0.7
WP_190385330.1	NUDIX	4.11e-23	79.7	0.0
WP_242031697.1	NUDIX	1.33e-22	78.0	0.0
WP_190384831.1	NUDIX	2.36e-20	70.8	0.4
WP_190384926.1	NUDIX	7.24e-19	65.9	0.1
WP_190387583.1	NUDIX	2.39e-15	54.5	0.0
WP_190388143.1	NUDIX	4.68e-14	50.4	0.0
WP_190386066.1	NUDIX	4.59e-10	37.5	0.0
WP_190385512.1	Biotin_lipoyl	2.10e-26	89.4	0.8
WP_190385681.1	Biotin_lipoyl	3.47e-17	59.9	1.1
WP_190387080.1	Biotin_lipoyl	2.27e-08	31.6	2.2
WP_190384888.1	Biotin_lipoyl	6.64e-07	26.9	0.1
WP_190387164.1	Biotin_lipoyl	1.18e-06	26.1	0.0
WP_190386097.1	Biotin_lipoyl	1.68e-06	25.6	0.3
WP_190386418.1	Biotin_lipoyl	2.76e-06	24.9	0.1
WP_190387427.1	Biotin_lipoyl	3.63e-06	24.6	1.1
WP_190385324.1	ECH_1	1.37e-74	248.4	0.0
WP_190386088.1	Nitroreductase	3.87e-33	112.8	0.0
WP_190385954.1	Nitroreductase	2.16e-32	110.4	0.0
WP_190386501.1	FAD_binding_2	4.64e-119	396.1	3.7
WP_190386324.1	FAD_binding_2	2.17e-94	314.8	0.6
WP_190387625.1	FAD_binding_2	8.25e-09	32.9	0.4
WP_190387416.1	FAD_binding_2	3.95e-08	30.7	0.1
WP_190387000.1	FAD_binding_2	4.11e-08	30.6	1.2
