strain,accession,target_name,target_description,query_name,pfam_id,evalue,score,bias,domain_evalue,domain_score
SS2,GCF_047302765.1,WP_011124607.1,MULTISPECIES: 3-oxoacyl-[acyl-carrier-protein] reductase [Prochlorococcus],adh_short,adh_short,3.1125237737310485e-67,222.61297607421875,7.0013580322265625,3.992273576181035e-67,222.26022338867188
SS2,GCF_047302765.1,WP_011124689.1,MULTISPECIES: SDR family oxidoreductase [Prochlorococcus],adh_short,adh_short,7.921994968478467e-47,156.02957153320312,0.01104736328125,1.0115393755867852e-46,155.68321228027344
SS2,GCF_047302765.1,WP_011124941.1,MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus],adh_short,adh_short,1.0050761481323292e-39,132.85145568847656,0.01324462890625,1.2719239916577992e-39,132.5177764892578
SS2,GCF_047302765.1,WP_011125687.1,MULTISPECIES: oxidoreductase [Prochlorococcus],adh_short,adh_short,8.263697834728856e-35,116.81400299072266,0.00963592529296875,8.64441663241804e-34,113.48719787597656
SS2,GCF_047302765.1,WP_011124862.1,MULTISPECIES: SDR family oxidoreductase [Prochlorococcus],adh_short,adh_short,9.033446985230507e-27,90.58397674560547,0.02153778076171875,1.35118098732805e-26,90.01341247558594
SS2,GCF_047302765.1,WP_011124697.1,MULTISPECIES: protochlorophyllide reductase [Prochlorococcus],adh_short,adh_short,9.490690020030324e-20,67.67316436767578,0.0001068115234375,7.173455794935521e-18,61.543888092041016
SS2,GCF_047302765.1,WP_011124943.1,MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus],adh_short,adh_short,1.3743102032692487e-16,57.359588623046875,0.000164031982421875,1.0992292340858355e-15,54.413108825683594
SS2,GCF_047302765.1,WP_011124469.1,MULTISPECIES: enoyl-ACP reductase FabI [Prochlorococcus],adh_short,adh_short,8.008825212807089e-16,54.86183166503906,0.00328826904296875,1.0553215766623777e-15,54.47087478637695
SS2,GCF_047302765.1,WP_011125465.1,MULTISPECIES: UDP-glucose 4-epimerase GalE [Prochlorococcus],adh_short,adh_short,1.590466990103007e-11,40.83769989013672,0.003864288330078125,2.7698676908523053e-11,40.051536560058594
SS2,GCF_047302765.1,WP_011125770.1,MULTISPECIES: class II fumarate hydratase [Prochlorococcus],Lyase_1,Lyase_1,8.46589232436553e-97,321.0612487792969,0.05364990234375,1.0384303085021312e-96,320.7698669433594
SS2,GCF_047302765.1,WP_011124167.1,MULTISPECIES: argininosuccinate lyase [Prochlorococcus],Lyase_1,Lyase_1,3.078136522743549e-79,263.3771667480469,0.000457763671875,4.240263466685043e-79,262.92022705078125
SS2,GCF_047302765.1,WP_011125769.1,MULTISPECIES: adenylosuccinate lyase [Prochlorococcus],Lyase_1,Lyase_1,1.2246357096338864e-58,195.71006774902344,0.0226287841796875,2.1044212463602974e-58,194.93771362304688
SS2,GCF_047302765.1,WP_011124229.1,MULTISPECIES: acetyl-CoA carboxylase biotin carboxylase subunit [Prochlorococcus],Biotin_carb_N,Biotin_carb_N,1.0379445197076287e-47,157.95130920410156,0.013031005859375,2.184953301357125e-47,156.9107666015625
SS2,GCF_047302765.1,WP_225866391.1,MULTISPECIES: 8-oxo-dGTP diphosphatase MutT [Prochlorococcus],NUDIX,NUDIX,2.6252721781113968e-18,63.104679107666016,0.001903533935546875,4.477976651019077e-18,62.35402297973633
SS2,GCF_047302765.1,WP_011124472.1,MULTISPECIES: NUDIX hydrolase [Prochlorococcus],NUDIX,NUDIX,6.11038384056369e-15,52.20645523071289,0.0249176025390625,7.30581649079671e-15,51.95527267456055
SS2,GCF_047302765.1,WP_036892082.1,MULTISPECIES: acetyl-CoA carboxylase biotin carboxyl carrier protein [Prochlorococcus],Biotin_lipoyl,Biotin_lipoyl,9.971771841347986e-24,79.80362701416016,0.49594879150390625,1.5271633145842822e-23,79.21053314208984
SS2,GCF_047302765.1,WP_011124556.1,MULTISPECIES: dihydrolipoamide acetyltransferase family protein [Prochlorococcus],Biotin_lipoyl,Biotin_lipoyl,4.931950825283129e-19,64.76348114013672,0.234161376953125,1.059076298273989e-18,63.7000617980957
SS2,GCF_047302765.1,WP_011125205.1,"MULTISPECIES: 1,4-dihydroxy-2-naphthoyl-CoA synthase [Prochlorococcus]",ECH_1,ECH_1,1.115651929425315e-68,228.03103637695312,0.001220703125,1.3353904787075635e-68,227.77525329589844
SS2,GCF_047302765.1,WP_011124274.1,MULTISPECIES: L-aspartate oxidase [Prochlorococcus],FAD_binding_2,FAD_binding_2,1.1868917060924102e-88,294.8577575683594,3.201385498046875,1.425137669231403e-88,294.5960693359375
SS2,GCF_047302765.1,WP_011124851.1,MULTISPECIES: fumarate reductase/succinate dehydrogenase flavoprotein subunit [Prochlorococcus],FAD_binding_2,FAD_binding_2,3.4342373264741604e-60,201.1079864501953,0.01324462890625,4.2721941084127286e-60,200.795654296875
SS2,GCF_047302765.1,WP_011124206.1,MULTISPECIES: glycine oxidase ThiO [Prochlorococcus],FAD_binding_2,FAD_binding_2,1.901762530027594e-10,37.25721740722656,0.44271087646484375,0.007836109375803304,12.174164772033691
SS2,GCF_047302765.1,WP_011124206.1,MULTISPECIES: glycine oxidase ThiO [Prochlorococcus],FAD_binding_2,FAD_binding_2,1.901762530027594e-10,37.25721740722656,0.44271087646484375,5.216921077003018e-06,22.637929916381836
SS2,GCF_047302765.1,WP_011124531.1,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus],FAD_binding_2,FAD_binding_2,4.88556057916705e-10,35.90750503540039,0.018543243408203125,8.390139207619232e-10,35.1339111328125
SS2,GCF_047302765.1,WP_011124394.1,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus],FAD_binding_2,FAD_binding_2,1.7086686422713536e-09,34.116455078125,2.5695877075195312,8.360264081642335e-08,28.551164627075195
SS2,GCF_047302765.1,WP_011125523.1,MULTISPECIES: dihydrolipoyl dehydrogenase [Prochlorococcus],FAD_binding_2,FAD_binding_2,2.7702647034926404e-08,30.131256103515625,2.2696685791015625,6.553502709715173e-05,19.017711639404297
SS2,GCF_047302765.1,WP_011125523.1,MULTISPECIES: dihydrolipoyl dehydrogenase [Prochlorococcus],FAD_binding_2,FAD_binding_2,2.7702647034926404e-08,30.131256103515625,2.2696685791015625,0.07447623527059258,8.95297908782959
SS2,GCF_047302765.1,WP_011124674.1,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Prochlorococcus],FAD_binding_2,FAD_binding_2,3.5687001813363295e-07,26.47503662109375,1.7307014465332031,5.803690517183874e-07,25.77937889099121
SS2,GCF_047302765.1,WP_011125869.1,"MULTISPECIES: C-3',4' desaturase CrtD [Prochlorococcus]",FAD_binding_2,FAD_binding_2,8.305864840083256e-07,25.266578674316406,2.218778610229492,1.3118755122674974e-06,24.612709045410156
SS2,GCF_047302765.1,WP_011124737.1,MULTISPECIES: carotenoid isomerase [Prochlorococcus],FAD_binding_2,FAD_binding_2,1.9226644663121307e-06,24.065881729125977,1.8987274169921875,1.3248405017699948e-05,21.304716110229492
SS2,GCF_047302765.1,WP_011124722.1,MULTISPECIES: glutathione-disulfide reductase [Prochlorococcus],FAD_binding_2,FAD_binding_2,3.5970943858721527e-06,23.169775009155273,7.118295669555664,0.0002953651677134538,16.863861083984375
SS2,GCF_047302765.1,WP_011125397.1,MULTISPECIES: thioredoxin-disulfide reductase [Prochlorococcus],FAD_binding_2,FAD_binding_2,3.666228391014194e-06,23.142541885375977,2.853792190551758,0.00013866634568473725,17.945547103881836
SS2,GCF_047302765.1,WP_011124291.1,"MULTISPECIES: 9,9'-di-cis-zeta-carotene desaturase [Prochlorococcus]",FAD_binding_2,FAD_binding_2,4.602022942726829e-06,22.81733512878418,0.1699962615966797,3.248971168103608e-05,20.021461486816406
SS2,GCF_047302765.1,WP_011125011.1,"MULTISPECIES: acetyl-CoA carboxylase, carboxyltransferase subunit beta [Prochlorococcus]",Carboxyl_trans,Carboxyl_trans,4.031432056047489e-21,71.92742919921875,0.01981353759765625,2.067168487320748e-20,69.58586883544922
SS2,GCF_047302765.1,WP_011124688.1,MULTISPECIES: acetyl-CoA carboxylase carboxyltransferase subunit alpha [Prochlorococcus],Carboxyl_trans,Carboxyl_trans,1.2270067256837557e-13,47.24452209472656,0.46173095703125,1.637732131932781e-13,46.8309211730957
SS2,GCF_047302765.1,WP_011125111.1,MULTISPECIES: methionine synthase [Prochlorococcus],B12-binding,B12-binding,2.054937864265095e-20,69.59738159179688,0.00720977783203125,2.5778916413036586e-19,66.05155181884766
SS2,GCF_047302765.1,WP_011124229.1,MULTISPECIES: acetyl-CoA carboxylase biotin carboxylase subunit [Prochlorococcus],Biotin_carb_C,Biotin_carb_C,1.819873488230667e-43,143.8432159423828,0.0002593994140625,3.458097556623208e-43,142.9463348388672
SS2,GCF_047302765.1,WP_011125049.1,MULTISPECIES: carbamoyl-phosphate synthase large subunit [Prochlorococcus],CPSase_L_D2,CPSase_L_D2,4.338143372062412e-108,356.43267822265625,0.03179931640625,1.744029887075163e-70,233.5602264404297
SS2,GCF_047302765.1,WP_011125049.1,MULTISPECIES: carbamoyl-phosphate synthase large subunit [Prochlorococcus],CPSase_L_D2,CPSase_L_D2,4.338143372062412e-108,356.43267822265625,0.03179931640625,5.155464778185121e-36,120.92665100097656
SS2,GCF_047302765.1,WP_011124229.1,MULTISPECIES: acetyl-CoA carboxylase biotin carboxylase subunit [Prochlorococcus],CPSase_L_D2,CPSase_L_D2,4.875676525971486e-82,271.3115234375,0.0133056640625,7.867105487128061e-82,270.6325988769531
SS2,GCF_047302765.1,WP_011125336.1,MULTISPECIES: formate-dependent phosphoribosylglycinamide formyltransferase [Prochlorococcus],CPSase_L_D2,CPSase_L_D2,2.218212700547901e-11,40.435550689697266,0.00582122802734375,4.818560716790992e-11,39.334678649902344
SS2,GCF_047302765.1,WP_011125572.1,MULTISPECIES: phosphoribosylamine--glycine ligase [Prochlorococcus],CPSase_L_D2,CPSase_L_D2,3.052167237906714e-10,36.71514129638672,0.00484466552734375,4.889393027415321e-10,36.04645538330078
SS2,GCF_047302765.1,WP_011125160.1,MULTISPECIES: 5-(carboxyamino)imidazole ribonucleotide synthase [Prochlorococcus],CPSase_L_D2,CPSase_L_D2,1.053452142518905e-08,31.689682006835938,0.0002155303955078125,1.7019374947557492e-08,31.00896453857422
SS2,GCF_047302765.1,WP_011125531.1,MULTISPECIES: D-alanine--D-alanine ligase family protein [Prochlorococcus],CPSase_L_D2,CPSase_L_D2,5.5376416664277336e-08,29.33475112915039,0.00536346435546875,8.620459605107073e-08,28.706716537475586
SS2,GCF_047302765.1,WP_011124851.1,MULTISPECIES: fumarate reductase/succinate dehydrogenase flavoprotein subunit [Prochlorococcus],Succ_DH_flav_C,Succ_DH_flav_C,2.178026232956398e-31,105.31033325195312,0.0052032470703125,3.4587319234035708e-31,104.66070556640625
SS2,GCF_047302765.1,WP_011124274.1,MULTISPECIES: L-aspartate oxidase [Prochlorococcus],Succ_DH_flav_C,Succ_DH_flav_C,3.2181066321818413e-09,33.60670852661133,0.06559371948242188,4.384930819042251e-08,29.93780517578125
SS2,GCF_047302765.1,WP_011124688.1,MULTISPECIES: acetyl-CoA carboxylase carboxyltransferase subunit alpha [Prochlorococcus],ACCA,ACCA,1.92911618909139e-139,460.8647155761719,0.0086669921875,2.2091092080809603e-139,460.67138671875
SS2,GCF_047302765.1,WP_011125770.1,MULTISPECIES: class II fumarate hydratase [Prochlorococcus],FumaraseC_C,FumaraseC_C,2.4495712381024077e-20,69.50481414794922,0.02019500732421875,5.643619974424701e-20,68.34414672851562
