# target_name	query_name	e_value	score	bias
WP_269604731.1	adh_short	1.58e-67	223.7	4.3
WP_269604951.1	adh_short	6.07e-47	156.6	0.0
WP_269605127.1	adh_short	1.17e-41	139.3	0.0
WP_269606341.1	adh_short	1.09e-31	106.8	0.0
WP_269604058.1	adh_short	1.26e-26	90.3	0.1
WP_269605131.1	adh_short	6.85e-22	74.8	0.0
WP_269604960.1	adh_short	7.45e-18	61.7	0.0
WP_269604454.1	adh_short	2.10e-17	60.2	0.0
WP_269605398.1	adh_short	6.41e-09	32.5	0.0
WP_269605713.1	adh_short	2.28e-08	30.7	0.0
WP_269604232.1	Thiolase_N	9.35e-06	22.1	0.1
WP_269603305.1	Lyase_1	2.71e-98	326.1	0.0
WP_269603888.1	Lyase_1	4.18e-75	250.0	0.0
WP_269603303.1	Lyase_1	4.81e-56	187.4	0.0
WP_269604087.1	Biotin_carb_N	5.38e-47	155.8	0.0
WP_269603659.1	NUDIX	2.82e-16	56.7	0.0
WP_269606971.1	NUDIX	3.15e-15	53.3	0.0
WP_269606514.1	NUDIX	6.27e-11	39.4	0.0
WP_269603915.1	Biotin_lipoyl	5.94e-23	77.5	0.2
WP_269604591.1	Biotin_lipoyl	2.59e-19	65.8	0.3
WP_269605082.1	ECH_1	9.37e-69	228.5	0.0
WP_269605903.1	Nitroreductase	2.57e-11	41.0	0.0
WP_269604161.1	FAD_binding_2	5.94e-89	296.0	1.1
WP_269606798.1	FAD_binding_2	3.37e-84	280.4	0.1
WP_269606634.1	FAD_binding_2	4.65e-10	36.1	5.4
WP_269605148.1	FAD_binding_2	6.52e-10	35.7	0.6
WP_269604360.1	FAD_binding_2	3.80e-09	33.1	1.7
WP_269605010.1	FAD_binding_2	2.13e-08	30.7	0.0
WP_269604005.1	FAD_binding_2	2.66e-08	30.4	0.2
WP_269606203.1	FAD_binding_2	7.60e-08	28.9	0.8
WP_269605878.1	FAD_binding_2	2.19e-07	27.3	1.7
WP_269604929.1	FAD_binding_2	4.67e-07	26.3	0.1
WP_269603555.1	FAD_binding_2	7.80e-07	25.5	5.8
WP_269605249.1	FAD_binding_2	8.17e-07	25.5	2.4
WP_269605348.1	Carboxyl_trans	1.19e-19	67.3	0.0
WP_269604949.1	Carboxyl_trans	5.83e-12	41.9	0.7
WP_269606920.1	MaoC_dehydratas	9.51e-06	22.2	0.0
WP_269605589.1	B12-binding	7.58e-22	74.4	0.0
WP_269604087.1	Biotin_carb_C	2.30e-44	146.9	0.0
WP_269605409.1	CPSase_L_D2	9.09e-108	355.6	0.0
WP_269604087.1	CPSase_L_D2	3.51e-82	271.9	0.0
WP_269605908.1	CPSase_L_D2	1.27e-10	38.1	0.0
WP_269605213.1	CPSase_L_D2	9.40e-08	28.8	0.0
WP_269606651.1	CPSase_L_D2	1.82e-07	27.8	1.2
WP_269606714.1	CPSase_L_D2	3.73e-06	23.5	0.0
WP_269606798.1	Succ_DH_flav_C	1.64e-20	70.3	0.1
WP_269604161.1	Succ_DH_flav_C	2.97e-10	37.1	0.0
WP_269604949.1	ACCA	9.38e-139	458.8	0.0
WP_269603305.1	FumaraseC_C	2.23e-19	66.6	0.1
WP_269606401.1	Fer2_3	3.39e-07	27.2	0.4
WP_269604274.1	Fer4_8	8.42e-08	29.6	9.2
WP_269604274.1	Fer4_10	1.50e-11	41.0	16.9
WP_011295528.1	Fer4_10	1.87e-09	34.3	14.2
WP_269603882.1	Fer4_10	3.09e-06	24.0	5.2
WP_011295528.1	Fer4_17	2.27e-07	28.3	13.0
WP_269604454.1	adh_short_C2	7.55e-82	271.4	0.0
WP_269604731.1	adh_short_C2	4.43e-67	223.0	2.7
WP_269604951.1	adh_short_C2	4.06e-34	115.1	0.0
WP_269605127.1	adh_short_C2	1.12e-33	113.7	0.0
WP_269604058.1	adh_short_C2	2.90e-19	66.5	0.0
WP_269606341.1	adh_short_C2	5.43e-15	52.5	0.0
WP_269605131.1	adh_short_C2	6.24e-09	32.7	0.0
