target,EC_number,Protein_Name,Pfam_ID,UniProt_ID,Species,query_hmm,evalue,score
WP_011243157.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P39831,Escherichia coli (strain K12),adh_short,3.7e-68,226.2
WP_011243157.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P69936,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),adh_short,3.7e-68,226.2
WP_011243157.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q83RE8,Shigella flexneri,adh_short,3.7e-68,226.2
WP_011243157.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q8FHD2,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),adh_short,3.7e-68,226.2
WP_011243157.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q8X505,Escherichia coli O157:H7,adh_short,3.7e-68,226.2
WP_011243157.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P69935,Salmonella typhi,adh_short,3.7e-68,226.2
WP_011242343.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P39831,Escherichia coli (strain K12),adh_short,1.52e-55,185.0
WP_011242343.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P69936,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),adh_short,1.52e-55,185.0
WP_011242343.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q83RE8,Shigella flexneri,adh_short,1.52e-55,185.0
WP_011242343.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q8FHD2,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),adh_short,1.52e-55,185.0
WP_011242343.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q8X505,Escherichia coli O157:H7,adh_short,1.52e-55,185.0
WP_011242343.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P69935,Salmonella typhi,adh_short,1.52e-55,185.0
WP_011242366.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P39831,Escherichia coli (strain K12),adh_short,8.24e-51,169.6
WP_011242366.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P69936,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),adh_short,8.24e-51,169.6
WP_011242366.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q83RE8,Shigella flexneri,adh_short,8.24e-51,169.6
WP_011242366.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q8FHD2,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),adh_short,8.24e-51,169.6
WP_011242366.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q8X505,Escherichia coli O157:H7,adh_short,8.24e-51,169.6
WP_011242366.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P69935,Salmonella typhi,adh_short,8.24e-51,169.6
WP_011243836.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P39831,Escherichia coli (strain K12),adh_short,3.08e-30,102.4
WP_011243836.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P69936,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),adh_short,3.08e-30,102.4
WP_011243836.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q83RE8,Shigella flexneri,adh_short,3.08e-30,102.4
WP_011243836.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q8FHD2,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),adh_short,3.08e-30,102.4
WP_011243836.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q8X505,Escherichia coli O157:H7,adh_short,3.08e-30,102.4
WP_011243836.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P69935,Salmonella typhi,adh_short,3.08e-30,102.4
WP_272948005.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P39831,Escherichia coli (strain K12),adh_short,6.28e-21,72.1
WP_272948005.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P69936,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),adh_short,6.28e-21,72.1
WP_272948005.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q83RE8,Shigella flexneri,adh_short,6.28e-21,72.1
WP_272948005.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q8FHD2,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),adh_short,6.28e-21,72.1
WP_272948005.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q8X505,Escherichia coli O157:H7,adh_short,6.28e-21,72.1
WP_272948005.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P69935,Salmonella typhi,adh_short,6.28e-21,72.1
WP_011378491.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P39831,Escherichia coli (strain K12),adh_short,7.39e-21,71.8
WP_011378491.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P69936,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),adh_short,7.39e-21,71.8
WP_011378491.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q83RE8,Shigella flexneri,adh_short,7.39e-21,71.8
WP_011378491.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q8FHD2,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),adh_short,7.39e-21,71.8
WP_011378491.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q8X505,Escherichia coli O157:H7,adh_short,7.39e-21,71.8
WP_011378491.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P69935,Salmonella typhi,adh_short,7.39e-21,71.8
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,P75894,Escherichia coli (strain K12),Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,A7MFX7,Cronobacter sakazakii (strain ATCC BAA-894),Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,B7LFB8,Escherichia coli (strain 55989 / EAEC),Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,B7NLB8,Escherichia coli O7:K1 (strain IAI39 / ExPEC),Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,Q0TJ59,Escherichia coli O6:K15:H31 (strain 536 / UPEC),Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,Q1RDK9,Escherichia coli (strain UTI89 / UPEC),Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,Q3Z3A5,Shigella sonnei (strain Ss046),Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,A1A9R3,Escherichia coli O1:K1 / APEC,Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,A6T798,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,B5YU50,Escherichia coli O157:H7 (strain EC4115 / EHEC),Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,B7M8Z3,Escherichia coli O8 (strain IAI1),Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,B7MIF5,Escherichia coli O45:K1 (strain S88 / ExPEC),Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,B7N3G4,Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC),Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,C4ZQD6,Escherichia coli (strain K12 / MC4100 / BW2952),Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,Q8FJ44,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,A7ZKB3,Escherichia coli O139:H28 (strain E24377A / ETEC),Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,A7ZYW3,Escherichia coli O9:H4 (strain HS),Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,B1IV89,Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks),Nitroreductase,7.63e-21,72.3
WP_011244739.1,1.1.1.298,Probable malonic semialdehyde reductase RutE,PF00881,B1X9C9,Escherichia coli (strain K12 / DH10B),Nitroreductase,7.63e-21,72.3
WP_011378442.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P39831,Escherichia coli (strain K12),adh_short,8.94e-20,68.3
WP_011378442.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P69936,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),adh_short,8.94e-20,68.3
WP_011378442.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q83RE8,Shigella flexneri,adh_short,8.94e-20,68.3
WP_011378442.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q8FHD2,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),adh_short,8.94e-20,68.3
WP_011378442.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q8X505,Escherichia coli O157:H7,adh_short,8.94e-20,68.3
WP_011378442.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P69935,Salmonella typhi,adh_short,8.94e-20,68.3
WP_011242991.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P39831,Escherichia coli (strain K12),adh_short,2.12e-09,34.4
WP_011242991.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P69936,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),adh_short,2.12e-09,34.4
WP_011242991.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q83RE8,Shigella flexneri,adh_short,2.12e-09,34.4
WP_011242991.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q8FHD2,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),adh_short,2.12e-09,34.4
WP_011242991.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,Q8X505,Escherichia coli O157:H7,adh_short,2.12e-09,34.4
WP_011242991.1,1.1.1.298,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,PF00106,P69935,Salmonella typhi,adh_short,2.12e-09,34.4
WP_272948005.1,1.2.1.75,Unknown,PF13561,A0A7C2PIX3,Chloroflexus sp,adh_short_C2,1.1e-83,277.7
WP_272948005.1,1.2.1.75,Unknown,PF13561,A0A841L016,Polymorphobacter multimanifer,adh_short_C2,1.1e-83,277.7
WP_011243157.1,1.2.1.75,Unknown,PF13561,A0A7C2PIX3,Chloroflexus sp,adh_short_C2,3.23e-69,230.4
WP_011243157.1,1.2.1.75,Unknown,PF13561,A0A841L016,Polymorphobacter multimanifer,adh_short_C2,3.23e-69,230.4
WP_011243157.1,1.2.1.75,Unknown,PF00106,A0A7C2PIX3,Chloroflexus sp,adh_short,3.7e-68,226.2
WP_011243157.1,1.2.1.75,Unknown,PF00106,A0A841L016,Polymorphobacter multimanifer,adh_short,3.7e-68,226.2
WP_011243157.1,1.2.1.75,Unknown,PF00106,A0A0P8CE70,Porphyrobacter sp. HL-46,adh_short,3.7e-68,226.2
WP_011242343.1,1.2.1.75,Unknown,PF13561,A0A7C2PIX3,Chloroflexus sp,adh_short_C2,3.76e-63,210.5
WP_011242343.1,1.2.1.75,Unknown,PF13561,A0A841L016,Polymorphobacter multimanifer,adh_short_C2,3.76e-63,210.5
WP_011242343.1,1.2.1.75,Unknown,PF00106,A0A7C2PIX3,Chloroflexus sp,adh_short,1.52e-55,185.0
WP_011242343.1,1.2.1.75,Unknown,PF00106,A0A841L016,Polymorphobacter multimanifer,adh_short,1.52e-55,185.0
WP_011242343.1,1.2.1.75,Unknown,PF00106,A0A0P8CE70,Porphyrobacter sp. HL-46,adh_short,1.52e-55,185.0
WP_011242366.1,1.2.1.75,Unknown,PF00106,A0A7C2PIX3,Chloroflexus sp,adh_short,8.24e-51,169.6
WP_011242366.1,1.2.1.75,Unknown,PF00106,A0A841L016,Polymorphobacter multimanifer,adh_short,8.24e-51,169.6
WP_011242366.1,1.2.1.75,Unknown,PF00106,A0A0P8CE70,Porphyrobacter sp. HL-46,adh_short,8.24e-51,169.6
WP_011242366.1,1.2.1.75,Unknown,PF13561,A0A7C2PIX3,Chloroflexus sp,adh_short_C2,4.43e-42,141.6
WP_011242366.1,1.2.1.75,Unknown,PF13561,A0A841L016,Polymorphobacter multimanifer,adh_short_C2,4.43e-42,141.6
WP_011243836.1,1.2.1.75,Unknown,PF00106,A0A7C2PIX3,Chloroflexus sp,adh_short,3.08e-30,102.4
WP_011243836.1,1.2.1.75,Unknown,PF00106,A0A841L016,Polymorphobacter multimanifer,adh_short,3.08e-30,102.4
WP_011243836.1,1.2.1.75,Unknown,PF00106,A0A0P8CE70,Porphyrobacter sp. HL-46,adh_short,3.08e-30,102.4
WP_011243836.1,1.2.1.75,Unknown,PF13561,A0A7C2PIX3,Chloroflexus sp,adh_short_C2,9.79e-24,81.5
WP_011243836.1,1.2.1.75,Unknown,PF13561,A0A841L016,Polymorphobacter multimanifer,adh_short_C2,9.79e-24,81.5
WP_272948005.1,1.2.1.75,Unknown,PF00106,A0A7C2PIX3,Chloroflexus sp,adh_short,6.28e-21,72.1
WP_272948005.1,1.2.1.75,Unknown,PF00106,A0A841L016,Polymorphobacter multimanifer,adh_short,6.28e-21,72.1
WP_272948005.1,1.2.1.75,Unknown,PF00106,A0A0P8CE70,Porphyrobacter sp. HL-46,adh_short,6.28e-21,72.1
WP_011378491.1,1.2.1.75,Unknown,PF00106,A0A7C2PIX3,Chloroflexus sp,adh_short,7.39e-21,71.8
